split,n_galaxies,hard_beats_wrong_fraction,hard_rank1_fraction,hard_beats_tpg_v6_fraction,hard_beats_mond_fraction,tau_l2_beats_old_l2_fraction,tau_l2_beats_tpg_v6_fraction,tau_l2_beats_mond_fraction,median_hard_minus_wrong,median_tau_l2_minus_tpg_v6,median_tau_l2_minus_mond
all,75,0.9066666666666666,0.29333333333333333,0.52,0.5333333333333333,0.6266666666666667,0.4,0.49333333333333335,-9.883997440812623,0.4840455815042688,0.0286790837713084
holdout,21,0.9523809523809523,0.23809523809523808,0.5238095238095238,0.5714285714285714,0.6190476190476191,0.38095238095238093,0.6190476190476191,-14.677899972044314,0.4575569647423165,-0.5406507436899313
train,54,0.8888888888888888,0.3148148148148148,0.5185185185185185,0.5185185185185185,0.6296296296296297,0.4074074074074074,0.4444444444444444,-8.760993974234985,0.5178974611042855,0.21627576317801275
