galaxy,scale_multiplier,narrow_dry_run_lane,external_family_label_status,external_family_label_caveat,beta_leave_one_galaxy_out,rmse_tau,rmse_tpg_v6,rmse_mond,tau_minus_tpg_v6,tau_minus_mond,beats_tpg_v6,beats_mond,claim_boundary,failure_class
NGC0100,1.25,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_EDGEON,edgedisk_component_orientation_caveat;large_distance_error,48.01145202096555,7.548046215104123,7.537919334963079,6.061732881040405,0.010126880141044126,1.486313334063718,False,False,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_neither
NGC0247,0.75,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_BAR,bar_component_present,837.2592135226038,3.581196167992543,3.866312004062215,5.475417572666649,-0.2851158360696724,-1.8942214046741066,True,True,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_both
NGC4010,1.25,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_EDGEON,edgedisk_component_orientation_caveat,194.46822516216633,11.078984675234526,10.799199499954586,11.798351296716529,0.2797851752799403,-0.7193666214820027,False,True,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_mond_only
NGC4183,0.75,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_EDGEON,edgedisk_component_orientation_caveat,688.3513758238064,6.35864559659363,6.489693491114096,10.354993594406714,-0.13104789452046628,-3.9963479978130847,True,True,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_both
NGC4559,1.0,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_BAR,bar_component_present;large_distance_error,1143.7837830012418,16.519976268189016,15.385306161864646,18.985298676354127,1.1346701063243696,-2.465322408165111,False,True,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_mond_only
UGC06930,0.75,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_BAR,bar_component_present;low_inclination,665.772016680264,7.168116785882662,7.129942401878801,10.615359911067321,0.038174384003861306,-3.4472431251846585,False,True,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_mond_only
UGC07089,1.25,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_EDGEON,edgedisk_component_orientation_caveat,164.97698082325329,12.196537923750796,11.854626156035648,15.11002549298317,0.341911767715148,-2.913487569232373,False,True,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_mond_only
NGC0300,0.75,STRICT_NARROW_DRY_RUN_READY_CANDIDATE,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_STRONG,none,405.1448839414105,9.598850974122907,9.83189803567648,5.607034629923943,-0.23304706155357202,3.9918163441989645,True,False,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_tpg_only
NGC3917,0.75,STRICT_NARROW_DRY_RUN_READY_CANDIDATE,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_STRONG,none,362.63784554475563,6.680308149413554,6.899654025227952,6.637702160319162,-0.21934587581439846,0.04260598909439128,True,False,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_tpg_only
NGC5585,1.25,STRICT_NARROW_DRY_RUN_READY_CANDIDATE,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_STRONG,large_distance_error,82.08056690086063,7.972973061055182,7.910184029247681,8.365260361585127,0.06278903180750106,-0.3922873005299454,False,True,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_mond_only
NGC6015,0.75,STRICT_NARROW_DRY_RUN_READY_CANDIDATE,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_STRONG,large_distance_error,-1174.7458032681304,14.349369581824545,13.450865436024902,10.82252972156713,0.8985041457996434,3.5268398602574145,False,False,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_neither
NGC6503,0.75,STRICT_NARROW_DRY_RUN_READY_CANDIDATE,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_STRONG,none,600.7525013623667,7.507081623966896,7.537023161651215,4.239120184630891,-0.029941537684318398,3.2679614393360055,True,False,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_tpg_only
NGC7793,1.25,STRICT_NARROW_DRY_RUN_READY_CANDIDATE,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_STRONG,none,50.90525025095614,5.7222778577178905,5.722342289485416,6.0568332273601175,-6.44317675257966e-05,-0.334555369642227,True,True,scale_sensitivity_diagnostic_not_endpoint_not_validation,beats_both
