zone,error_floor_km_s,chi2,dof,max_absolute_z
0,0.0,7228.393847770524,5,65.25092883426393
0,1.0,3251.302677015297,5,47.88971063632479
0,3.0,973.0198560913599,5,23.74602657274777
0,5.0,421.63901396081667,5,14.887726838570996
0,10.0,116.78927957907398,5,7.625649240547752
1,0.0,98108.97316184918,5,135.84582414988586
1,1.0,17463.773738849643,5,78.54837988517887
1,3.0,3977.9521875206465,5,41.051508571280955
1,5.0,1668.9669195572335,5,27.33190093744639
1,10.0,461.7172066862329,5,14.62041705006833
2,0.0,19960.093929296905,5,102.24753395468841
2,1.0,4396.846795466989,5,48.42135170208328
2,3.0,1064.680066520234,5,22.613383681718954
2,5.0,473.4538770109657,5,14.651640044493526
2,10.0,136.91775936687765,5,7.762625756498232
3,0.0,11635.497112841867,5,83.0324503183917
3,1.0,1835.0624974571417,5,36.334715602196475
3,3.0,570.8082481020991,5,18.625000238583297
3,5.0,260.48462204451863,5,12.66948553848123
3,10.0,74.40615502694772,5,6.84719563349608
4,0.0,4595.146928483031,5,27.567767764595207
4,1.0,548.4791009794185,5,4.925283595374167
4,3.0,150.37776837311574,5,6.049922730468539
4,5.0,113.63958688039531,5,5.33354835384668
4,10.0,64.91783218678566,5,3.4790938482516767
