galaxy,split,coarse_formula_family,weight_intake_status,dominant_intake_family,n_nonzero_source_components,nonzero_source_components,weight_entropy,effective_component_count,uses_endpoint_residuals,accepted_label_output_allowed,endpoint_scores_computed,claim_boundary,thick_flared_weight_is_proxy_only,raw_K_compact_finite,raw_K_scale_tail_spiral,raw_K_exponential_disk,raw_K_thick_flared,w_K_compact_finite,w_K_scale_tail_spiral,w_K_exponential_disk,w_K_thick_flared
CamB,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6691537181991857,1.9525841847650778,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.25,0.0,0.3895322263711726,0.0,0.3909107151934274,0.0,0.6090892848065725
ESO116-G012,holdout,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_scale_tail_spiral;K_thick_flared,0.676907542048278,1.9677830270086196,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.600073243352179,0.0,0.4172323381918547,0.0,0.5898652816210909,0.0,0.41013471837890914
F561-1,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.49015698820346104,0.0,0.0,0.0,1.0,0.0,0.0
F563-1,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_scale_tail_spiral;K_thick_flared,0.679973022399234,1.973824482463305,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.6616613436850831,0.0,0.47720564908348156,0.0,0.5809821058002538,0.0,0.4190178941997462
F568-1,holdout,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.6311004382516239,0.0,0.0,0.0,1.0,0.0,0.0
IC2574,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.3581061640638625,3.8888215335692338,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.55,0.6161589473259238,0.9184492036408567,0.5146765187223894,0.21159667750657363,0.23704942921838795,0.3533469089981158,0.1980069842769226
IC4202,holdout,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_scale_tail_spiral;K_thick_flared,0.5843922309298866,1.7939003770903388,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.8297106094626249,0.0,0.3086614374250186,0.0,0.7288571532752304,0.0,0.2711428467247697
NGC0024,holdout,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,2,K_scale_tail_spiral;K_exponential_disk,0.6708165002286179,1.9558336074506035,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.3871604681757236,0.5936654902613429,0.0,0.0,0.3947290187880619,0.6052709812119381,0.0
NGC2683,holdout,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_compact_finite,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.340178056267409,3.8197235705411106,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.7260055589703854,0.5207828334602737,0.6449804114337049,0.30183620854567883,0.3309645787929463,0.23740957488427075,0.29402759739552464,0.13759824892725842
NGC3726,holdout,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,3,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,1.0984027645870729,2.9993714936028013,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.7,0.7113024225253085,0.7351831157511997,0.0,0.3261144729454155,0.3313800208951975,0.342505506159387,0.0
