galaxy,formula_family,manifest_confidence,manifest_caveat,inclination_deg,distance_frac_error,scale_radius_kpc,tail_inner_radius_kpc,tail_cutoff_radius_kpc,compact_support_radius_kpc,thickness_h_over_rs,ring_radius_kpc,bar_m2_strength,lopsided_m1_strength,observable_provenance,proxy_formula_family_for_scope,proxy_manifest_caveat_for_scope,source_dataset,measurement_method,pre_scoring_timestamp,residual_blind_certification,accepted_source_status
CamB,,,,65.0,0.077380952381,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
ESO116-G012,,,,74.0,0.3,,,,,,,,,,K_exponential_disk,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F561-1,,,,24.0,0.150602409639,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F563-1,,,,25.0,0.200408997955,,,,,,,,,,K_scale_tail_spiral,low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F568-1,,,,26.0,0.106945975744,,,,,,,,,,K_thick_flared,low_inclination;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
IC2574,,,,75.0,0.051150895141,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
IC4202,,,,90.0,0.099601593625,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC0024,,,,64.0,0.049315068493,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC2683,,,,80.0,0.0499490316,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3726,,,,53.0,0.138888888889,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3949,,,,55.0,0.138888888889,,,,,,,,,,K_thick_flared,few_rotation_points;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3972,,,,77.0,0.138888888889,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4013,,,,89.0,0.138888888889,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4088,,,,69.0,0.138888888889,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4183,,,,82.0,0.138888888889,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4214,,,,15.0,0.048780487805,,,,,,,,,,K_scale_tail_spiral,low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4389,,,,50.0,0.138888888889,,,,,,,,,,K_thick_flared,few_rotation_points;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC5907,,,,88.0,0.052023121387,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC5985,,,,60.0,0.249370277078,,,,,,,,,,K_compact_finite,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC6789,,,,43.0,0.051136363636,,,,,,,,,,K_scale_tail_spiral,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC6946,,,,38.0,0.300724637681,,,,,,,,,,K_compact_finite,low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC7331,,,,75.0,0.102040816327,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC00731,,,,57.0,0.3,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC00891,,,,60.0,0.303921568627,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC02023,,,,19.0,0.298076923077,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC02259,,,,41.0,0.295238095238,,,,,,,,,,K_exponential_disk,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC03580,,,,63.0,0.251207729469,,,,,,,,,,K_compact_finite,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC04305,,,,40.0,0.049275362319,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC04499,,,,50.0,0.3,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC05414,,,,55.0,0.3,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC05716,,,,54.0,0.24882629108,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
