galaxy,inclination_deg,distance_mpc,hi_beam_fwhm_kpc,n_points,rmse_oscc_v02,rmse_v02,rmse_tpg_v6,rmse_mond,rmse_full_smoothing_control,chi2_oscc_v02,chi2_v02,chi2_tpg_v6,capacity_bits,active_modes,oscc_improvement_vs_tpg,oscc_improvement_vs_v02,median_velocity_error_km_s
CVnIdwA,66.5,3.6,0.1918518518518518,14,6.6460951668660515,6.6462805398849385,6.505135061379994,8.69554413247,6.629242993613588,12.488746633189056,12.490462105190574,11.86021930321778,0.3209467185421282,3,-0.14096010548605786,0.00018537301888699176,2.019995487537
DDO_126,65.0,4.9,0.1641975308641975,29,3.856728575121359,3.857041566458249,3.39331745475732,6.844852871291544,3.8362382165337214,2.301665064853942,2.3019780814528144,1.7761910353921315,1.198288348670295,5,-0.463411120364039,0.0003129913368900006,2.6799806320350004
DDO_133,43.4,3.5,0.2109090909090909,18,4.850692709212715,4.850338719387886,5.321804018496601,2.6963872462670646,4.882533461396469,8.681284369208427,8.679764321705974,10.458388339002932,1.3669714283023136,5,0.4711113092838861,-0.00035398982482881536,1.664990143023
DDO_210,66.7,0.9,0.0516666666666666,7,1.3891092574022468,1.3905384918626391,1.2322391882346,2.396950423047397,1.333994998844189,4.021014135101187,4.027725698826349,3.1924796465576057,0.2771076018413651,1,-0.1568700691676468,0.0014292344603923368,0.69999672
DDO_216,63.7,1.1,0.0861538461538461,12,4.233578813064091,4.234166396263621,4.003625721808804,5.655362068210084,4.210016099754377,2.7788685675332285,2.7794231798064657,2.470353441502385,0.1289962076684542,2,-0.22995309125528696,0.0005875831995298952,2.5049998157265
DDO_47,45.5,5.2,0.2631399317406143,33,12.729005314547392,12.72972467561436,13.209804173379558,9.767308291405287,12.66497152111236,33.96252723120661,33.9686794103642,36.67979436752309,2.2744701832382193,10,0.48079885883216633,0.0007193610669684602,2.129999646834
DDO_50,49.7,3.4,0.1162322274881516,64,27.169853135581754,27.16997019875072,26.194163818563048,30.442165749491657,27.162168198732253,49.30280192729465,49.30327673955215,45.84235015818648,3.2478605330148618,20,-0.9756893170187055,0.00011706316896464841,3.885000863016
DDO_52,43.0,10.3,0.3415094339622641,15,10.72280158546121,10.722671637045616,11.333532111742878,6.920308732682193,10.723101788936772,8.490380870746378,8.49020731027384,9.441602828503289,0.3919085819694665,3,0.6107305262816674,-0.00012994841559432757,3.759982835208
DDO_70,50.0,1.3,0.0873362445414847,23,6.222515429154464,6.222529503682434,6.548007656636344,4.369610069931376,6.220575215782386,5.134610095147103,5.135366519238989,5.641315988549279,0.3566410730298384,4,0.3254922274818792,1.4074527969754058e-05,2.9699946826079997
DDO_87,55.5,7.7,0.2831417624521072,33,7.038411545798274,7.038674315107463,7.560100083673008,2.19281959629768,7.029600470081325,4.7782149997461625,4.778625288137201,5.497567051727907,0.9608382872263108,5,0.5216885378747342,0.00026276930918900376,3.270010277035
F564-V3,56.5,8.7,0.53,10,11.035413982893484,11.034652279005352,11.303771795386076,7.446315140754394,11.080627842597371,12.322157965848708,12.3261177173464,12.829875152215502,0.0599034058367184,1,0.2683578124925923,-0.0007617038881324589,3.8249874672679995
HARO_36,70.0,9.3,0.316,9,5.665591234108796,5.666751934830135,5.55818885748822,5.86561487957756,5.603674237751125,0.658856569753147,0.6592084344425719,0.5995286160720767,0.0856001940182109,1,-0.10740237662057606,0.001160700721338337,7.30000119499
NGC_1569,69.1,3.4,0.0968253968253968,22,10.7193716371524,10.719388985834469,10.05403627267794,11.660493910394171,10.71853495676332,1.3223872978397897,1.3223812197436036,1.1778007152885992,0.1470919995547911,3,-0.6653353644744602,1.7348682067819254e-05,9.570010774467
UGC_8508,82.5,2.6,0.0744,24,13.1867088161647,13.186672908679526,13.443424060823965,10.19636335157316,13.18708412046545,26.427793920892025,26.427586355957292,27.4413980233268,0.2486161733119716,3,0.2567152446592651,-3.59074851736807e-05,2.745008759141
