galaxy,split,dominant_intake_family,closure_fraction_c,source_vn2_median,net_signed_source_strength_v2,positive_component_strength_v2,negative_component_strength_v2,normalization_rule_status,endpoint_freeze_allowed,uses_vobs_or_residual,claim_boundary
NGC7331,holdout,K_scale_tail_spiral,0.4681867590527362,35524.89925,12667.573390510048,13704.192281098713,-1036.6188905886652,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC00731,holdout,K_thick_flared,0.8164803380448392,547.7656999999999,132.7991350350711,215.01320071318398,-82.21406567811289,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC00891,holdout,K_exponential_disk,0.7834824686855335,578.4608499999998,-119.0063955204128,107.1279152342344,-226.13431075464717,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC02023,holdout,K_scale_tail_spiral,0.7158543102160054,808.5000000000001,578.7682098096404,578.7682098096404,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC02259,holdout,K_thick_flared,0.7401670662392039,1238.1450250000003,294.192442518574,456.88451085636865,-162.69206833779464,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC03580,holdout,K_scale_tail_spiral,0.40614856574032726,7611.41322,3091.364562559966,3091.364562559966,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC04305,holdout,K_exponential_disk,0.7356842812157509,833.84375,43.44905090404464,297.8988893327371,-254.44983842869246,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC04499,holdout,K_exponential_disk,0.7337902539534008,1343.0531000000003,-194.90315215301334,299.73895813112966,-494.642110284143,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC05414,holdout,K_thick_flared,0.712086842486497,884.803675,195.2472716406071,308.9331589819318,-113.68588734132469,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC05716,holdout,K_thick_flared,0.8043141403669857,772.9340499999998,166.37586416297142,285.42069640273144,-119.04483223976001,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC05829,holdout,K_exponential_disk,0.7925608666122651,522.9988500000001,-99.67537096995045,117.76467818184015,-217.44004915179062,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC05986,holdout,K_scale_tail_spiral,0.7320956905752359,2249.8422,880.7933691321845,1002.8781916203967,-122.08482248821223,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC06818,holdout,K_exponential_disk,0.7485921704629792,978.3178,-176.25282898042428,211.38351601670598,-387.63634499713027,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC06917,holdout,K_exponential_disk,0.7014393246069682,2504.4730999999997,-218.83475052362803,768.9505846183458,-987.7853351419739,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC06983,holdout,K_exponential_disk,0.7406357855931932,2398.36125,-274.67641924277336,627.882682292393,-902.5591015351664,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC07151,holdout,K_thick_flared,0.6770379932446499,1494.4793000000004,336.81143348928197,480.62027923906464,-143.8088457497827,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC07261,holdout,K_scale_tail_spiral,0.7140323079318615,1327.56165,947.9219088713302,947.9219088713302,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC07577,holdout,K_exponential_disk,0.8077872746408565,102.08359999999999,-30.923187386072748,25.769322821727293,-56.69251020780004,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC07603,holdout,K_thick_flared,0.7660589675871469,539.0714250000001,73.52188803047004,152.0387784255286,-78.51689039505855,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC08699,holdout,K_scale_tail_spiral,0.4327517057539102,15353.994200000001,3829.1524794027277,4480.374080174466,-651.2216007717384,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC11914,holdout,K_scale_tail_spiral,0.14770954876957534,53952.671319999994,7969.324735590408,7969.324735590408,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGC12506,holdout,K_scale_tail_spiral,0.6494462992876708,13597.916300000006,5129.941528051544,5918.468213501077,-788.5266854495334,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
UGCA444,holdout,K_thick_flared,0.7762166930576874,228.72052499999998,3.92232794537577,49.31574709719947,-45.3934191518237,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
D512-2,train,K_compact_finite,0.8058147729986257,265.25845000000004,0.0,0.0,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
D564-8,train,K_thick_flared,0.84934358062957,80.16624999999999,0.0,0.0,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
D631-7,train,K_thick_flared,0.8146240366090199,483.0114500000001,0.0,0.0,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
DDO064,train,K_scale_tail_spiral,0.7610419468586817,295.16204999999997,224.6307011707995,224.6307011707995,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
DDO154,train,K_thick_flared,0.8268641492182972,278.229375,20.22013081213808,81.91969238671201,-61.699561574573934,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
DDO161,train,K_thick_flared,0.7793038285969073,1014.1714000000001,199.03705092555003,335.81545013938995,-136.77839921383992,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
DDO168,train,K_thick_flared,0.7373361472119698,638.8660500000001,36.72581681507391,164.4348066345895,-127.7089898195156,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
DDO170,train,K_thick_flared,0.8072359558034639,761.0283,144.8037730225209,267.5665082894852,-122.76273526696434,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
ESO079-G014,train,K_scale_tail_spiral,0.6294524368117963,4730.706450000001,1666.6730327716957,1969.9445297936206,-303.2714970219249,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
ESO444-G084,train,K_thick_flared,0.842443455382575,352.11254999999994,20.499789969675092,92.69841040799054,-72.19862043831544,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
ESO563-G021,train,K_scale_tail_spiral,0.4828025704789825,27471.3291,8774.766683975515,9731.022972368908,-956.2562883933929,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F563-V1,train,K_thick_flared,0.8058807427384159,513.722975,90.11805866231187,185.35039230005742,-95.23233363774555,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F563-V2,train,K_scale_tail_spiral,0.7347168085693847,1035.1729249999999,307.8331395571863,440.95018800199216,-133.11704844480587,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F565-V2,train,K_thick_flared,0.8126980271342138,501.82244999999995,84.36555533621309,168.9389869683108,-84.5734316320977,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F567-2,train,K_scale_tail_spiral,0.8165206177707411,535.8094,437.49942229537015,437.49942229537015,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F568-3,train,K_scale_tail_spiral,0.7525829951433824,1158.97325,872.2235597760601,872.2235597760601,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F568-V1,train,K_scale_tail_spiral,0.7676269377970986,1157.4243000000001,888.4700711409505,888.4700711409505,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F571-8,train,K_scale_tail_spiral,0.6512968788836991,3678.51695,1442.0731013086975,1620.486790392177,-178.4136890834795,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F571-V1,train,K_thick_flared,0.786008144051451,1182.6881999999998,284.2983225350898,453.020341428743,-168.72201889365314,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F574-1,train,K_scale_tail_spiral,0.7647346111361898,1346.1475750000002,1029.44564229955,1029.44564229955,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F574-2,train,K_scale_tail_spiral,0.7984611716106577,821.3600000000001,655.8240679141298,655.8240679141298,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F579-V1,train,K_scale_tail_spiral,0.6967040339806715,2572.752025,1792.4467142494411,1792.4467142494411,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F583-1,train,K_scale_tail_spiral,0.8258924510557903,301.5769,249.070085122807,249.070085122807,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
F583-4,train,K_scale_tail_spiral,0.7739967569397016,846.3127000000002,655.0432851568827,655.0432851568827,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
KK98-251,train,K_thick_flared,0.7833205793983049,222.67530000000002,12.054209324704011,54.50817031677856,-42.45396099207455,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC0055,train,K_exponential_disk,0.7262548367146394,2254.4961000000003,-399.55804395694406,434.5925905927864,-834.1506345497305,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC0100,train,K_exponential_disk,0.7196800425048425,1302.9489000000003,-58.305555085303794,353.00728030522924,-411.31283539053305,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC0247,train,K_exponential_disk,0.7440546704914193,2052.3755,-324.4045971873391,469.80356410207196,-794.208161289411,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC0289,train,K_scale_tail_spiral,0.728624492956637,8865.521525,1944.1663885495711,3944.8844875776485,-2000.7180990280776,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC0300,train,K_exponential_disk,0.7723239995940189,1375.1574000000003,182.32977069613412,622.1984169677231,-439.868646271589,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC0801,train,K_scale_tail_spiral,0.4953474070333955,27016.226850000006,8632.54659184629,9644.495608955254,-1011.9490171089647,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC0891,train,K_scale_tail_spiral,0.35211424896901505,37356.77067499999,10263.914665867991,10879.608920546052,-615.6942546780617,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC1003,train,K_scale_tail_spiral,0.7661764034073881,2032.7289,792.0643524177908,992.177489343284,-200.11313692549322,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC1090,train,K_scale_tail_spiral,0.6590410318265458,10595.417875,2342.594753428171,4662.704941200798,-2320.1101877726273,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC1705,train,K_compact_finite,0.7970800180030061,572.09355,74.8826903965469,233.33756771822627,-158.45487732167936,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC2366,train,K_thick_flared,0.7563351509193316,702.7518749999999,85.37807454122395,216.55804152186457,-131.17996698064061,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC2403,train,K_scale_tail_spiral,0.522242679913288,4218.03765,2202.839286311147,2202.839286311147,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC2841,train,K_compact_finite,0.44246741452618926,39872.56860000001,5010.175001883759,10694.340158780438,-5684.165156896679,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC2903,train,K_compact_finite,0.49814442950410565,20089.317350000005,3419.5734971152865,6713.477513778985,-3293.9040166636983,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC2915,train,K_compact_finite,0.8012125024357306,539.8548999999999,253.16498526500627,305.9070021823313,-52.74201691732507,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC2955,train,K_scale_tail_spiral,0.2700818902945604,49898.97829500001,13476.810381680843,13476.810381680843,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC2976,train,K_exponential_disk,0.5283410829671636,1466.7208999999998,83.43515306837986,429.1820308924763,-345.74687782409643,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC2998,train,K_scale_tail_spiral,0.4818938811157258,15513.4626,7475.8427018576585,7475.8427018576585,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC3109,train,K_thick_flared,0.8081187987323211,361.7656999999999,34.01714848335422,101.56107744971334,-67.54392896635912,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC3198,train,K_scale_tail_spiral,0.5308856411035588,5531.843349999999,782.8254797012759,1748.24789191628,-965.4224122150041,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC3521,train,K_compact_finite,0.21431103628970855,34437.35055,2136.058295100747,4481.341133032119,-2345.282837931372,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC3741,train,K_thick_flared,0.8438806690386149,137.3657,5.537696466448704,34.39845356978651,-28.860757103337807,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC3769,train,K_scale_tail_spiral,0.7070847066093239,5022.748375000001,-135.71267731558447,1419.4479593180758,-1555.1606366336603,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC3877,train,K_exponential_disk,0.4131917582606362,16935.50655,1224.8350149628927,3802.9715263899534,-2578.1365114270607,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC3893,train,K_compact_finite,0.5358002799381547,16118.94945,3191.7508093233255,5914.144218471145,-2722.3934091478195,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
