component_id,label_id,area_px,x_min_px,x_max_px,y_min_px,y_max_px,x_centroid_px,y_centroid_px,offset_centroid_arcmin,abs_offset_centroid_arcmin,component_side,selected_for_response,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary
C2,117,777,49,89,101,148,72.55212355212355,126.77606177606178,1.4095489217440442,1.4095489217440442,positive_offset_side,True,False,False,ngc4088_b1_whisp_overview_frozen_extraction_attempt_not_endpoint
C1,9,744,80,131,24,99,98.54435483870968,53.60349462365591,-1.1262785208497248,1.1262785208497248,negative_offset_side,True,False,False,ngc4088_b1_whisp_overview_frozen_extraction_attempt_not_endpoint
