grayscale_floor,radius_kpc,radius_over_bar,vobs_hi_km_s,vbar_km_s,matched_capacity_response,vpred_matched_km_s
0.0,6.205609289021404,0.6083930675511181,171.0,163.98185624056643,0.03486050212490786,166.8156161531173
0.0,7.757011611276756,0.7604913344388977,191.7,171.5336254257692,0.04015321461591498,174.94354572730194
0.0,9.308413933532108,0.9125896013266773,201.1,177.29632846334098,0.04395853530012399,181.1512632070462
0.0,10.859816255787456,1.0646878682144565,208.0,181.48507135870975,0.047059233957429523,185.7062550585045
0.0,12.411218578042808,1.2167861351022362,211.3,184.40414397353487,0.05227492478074949,189.16260543097917
0.0,13.96262090029816,1.368884401990016,215.9,181.66221464291374,0.05227492478074949,186.3499219147001
0.0,15.514023222553512,1.5209826688777954,214.0,177.7352111307785,0.05227492478074949,182.32158393982945
0.0,17.065425544808864,1.673080935765575,214.5,173.52742350558717,0.05227492478074949,178.00521635106386
0.0,18.616827867064213,1.8251792026533544,216.9,169.10829664846543,0.05227492478074949,173.4720560217432
0.0,20.16823018931957,1.9772774695411344,216.9,164.60338234791763,0.05227492478074949,168.8508945447148
4.0,6.205609289021404,0.6083930675511181,171.0,163.98565115626943,0.03486050212490786,166.81947664851452
4.0,7.757011611276756,0.7604913344388977,191.7,171.54819184025706,0.04015321461591498,174.95840170782887
4.0,9.308413933532108,0.9125896013266773,201.1,177.31663598272291,0.04395853530012399,181.17201227060846
4.0,10.859816255787456,1.0646878682144565,208.0,181.50954392292618,0.047059233957429523,185.73129683311598
4.0,12.411218578042808,1.2167861351022362,211.3,184.43327012851057,0.05227492478074949,189.1924831725671
4.0,13.96262090029816,1.368884401990016,215.9,181.69492236445555,0.05227492478074949,186.3834736434804
4.0,15.514023222553512,1.5209826688777954,214.0,177.77121418917622,0.05227492478074949,182.35851604006993
4.0,17.065425544808864,1.673080935765575,214.5,173.56329616857101,0.05227492478074949,178.0420146910987
4.0,18.616827867064213,1.8251792026533544,216.9,169.14281944100648,0.05227492478074949,173.50746965856882
4.0,20.16823018931957,1.9772774695411344,216.9,164.63671268082194,0.05227492478074949,168.88508495104844
8.0,6.205609289021404,0.6083930675511181,171.0,163.9862853158177,0.03486050212490786,166.82012176693317
8.0,7.757011611276756,0.7604913344388977,191.7,171.55676193342896,0.04015321461591498,174.9671421660509
8.0,9.308413933532108,0.9125896013266773,201.1,177.32869565935167,0.04395853530012399,181.1843341594716
8.0,10.859816255787456,1.0646878682144565,208.0,181.52362041839973,0.047059233957429523,185.7457007355371
8.0,12.411218578042808,1.2167861351022362,211.3,184.44987681380212,0.05227492478074949,189.20951838549473
8.0,13.96262090029816,1.368884401990016,215.9,181.71393533156896,0.05227492478074949,186.40297723119076
8.0,15.514023222553512,1.5209826688777954,214.0,177.79282806267608,0.05227492478074949,182.38068764932225
8.0,17.065425544808864,1.673080935765575,214.5,173.58463653335272,0.05227492478074949,178.06390573387014
8.0,18.616827867064213,1.8251792026533544,216.9,169.1636476784597,0.05227492478074949,173.52883535880903
8.0,20.16823018931957,1.9772774695411344,216.9,164.65721738722684,0.05227492478074949,168.90611877167507
