galaxy,split,formula_family,n_points,rmse_matched,rmse_wrong_mean,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
CamB,holdout,K_scale_tail_spiral,9,12.495458897273041,6.160205458569447,3.3556068721726025,13.63779853730796,15.623524086441458,6.335253438703594,9.139852025100438,-1.142339640034919,-3.1280651891684172,4.474772153453993,12.495458897273041,9.086857659918586,4.918986562335761
ESO116-G012,holdout,K_exponential_disk,15,16.561090368071085,25.13370846051078,46.78642194708297,11.508201668011028,9.108666488881621,-8.572618092439694,-30.225331579011886,5.052888700060057,7.452423879189464,35.949226664938266,6.92498513183424,16.561090368071085,32.52691358475983
F561-1,holdout,K_scale_tail_spiral,6,29.463668971068547,9.860638081430883,9.593416723190401,28.55685188052471,32.526019723976546,19.603030889637665,19.870252247878145,0.9068170905438357,-3.0623507529079994,4.758010102458486,29.463668971068547,18.771475059087443,6.052429082746724
F563-1,holdout,K_scale_tail_spiral,17,32.70115415824858,49.97353543816382,62.47755725522295,24.695833689633552,18.44568739642176,-17.272381279915244,-29.77640309697437,8.005320468615025,14.255466761826817,55.58586286100717,32.70115415824858,41.49463825372893,52.840105199755364
F568-1,holdout,K_thick_flared,12,57.68198634775362,45.06244328871463,69.86283183130358,33.500610533676024,29.974188853658532,12.619543059038989,-12.180845483549959,24.181375814077597,27.70779749409509,60.46372103518709,31.405853141934646,43.317755689022164,57.68198634775362
IC2574,holdout,K_scale_tail_spiral,34,3.008640169380052,13.628706701453043,23.78354699928544,7.5138151552258,13.51316984455882,-10.62006653207299,-20.77490682990539,-4.505174985845748,-10.50452967517877,17.739361050264936,3.008640169380052,7.086907440529077,16.059851613565115
IC4202,holdout,K_compact_finite,32,29.64934598569153,62.2706809906785,69.1215936942972,26.101514959176914,26.12803028857914,-32.621335004986975,-39.47224770860568,3.547831026514615,3.5213156971123887,29.64934598569153,99.40023465637013,57.848398827642946,29.563409488022426
NGC0024,holdout,K_thick_flared,29,35.41961884621026,24.205028789567773,47.18129248016706,22.157814084096987,20.65262257294937,11.21459005664249,-11.761673633956796,13.261804762113275,14.766996273260894,37.64853770135638,11.491359671073445,23.475188996273495,35.41961884621026
NGC2683,holdout,K_thick_flared,11,34.31463298946919,35.525748614254226,63.99459888504826,10.314830339812675,14.151015414510422,-1.2111156247850374,-29.679965895579073,23.999802649656516,20.163617574958767,39.439379089256775,43.53932622427122,23.59854052923468,34.31463298946919
NGC3726,holdout,K_thick_flared,12,30.500307403198484,51.28155940473295,50.40406506912891,23.631876746434497,26.325344741169783,-20.78125200153447,-19.903757665930428,6.868430656763987,4.174962662028701,33.71078148849193,72.54368238270291,47.590214343004014,30.500307403198484
NGC3949,holdout,K_thick_flared,7,21.578815505213228,63.940165024871,28.51727644416544,8.950158230683527,11.297904622428334,-42.36134951965777,-6.938460938952211,12.6286572745297,10.280910882784895,17.487190384846073,103.76360346342818,70.56970122633875,21.578815505213228
NGC3972,holdout,K_thick_flared,10,23.750532234093132,20.7677865976719,44.45959494291804,7.806428086864266,6.774747860896815,2.9827456364212317,-20.709062708824906,15.944104147228867,16.97578437319632,28.114915989883887,24.996493383473144,9.191950419658665,23.750532234093132
NGC4013,holdout,K_compact_finite,36,38.18856833872124,42.87911863902254,65.6912991112144,12.273912532057183,14.334222058319126,-4.690550300301304,-27.502730772493166,25.914655806664058,23.854346280402112,38.18856833872124,56.315128911691346,35.4974892364847,36.82473776889158
NGC4088,holdout,K_thick_flared,12,37.167495520085225,84.58767726819461,25.396289301523897,38.98773649865968,42.18384581680386,-47.420181748109385,11.771206218561328,-1.8202409785744535,-5.016350296718635,30.069978068577075,131.34621148745646,92.34684224855026,37.167495520085225
NGC4183,holdout,K_exponential_disk,23,14.397066732861228,27.46856455935689,48.41085618248364,6.489693491114096,10.354993594406714,-13.07149782649566,-34.013789449622415,7.907373241747132,4.042073138454514,35.38239050924084,15.48482034436486,14.397066732861228,31.538482824464964
NGC4214,holdout,K_scale_tail_spiral,14,17.40801895657843,31.65909768401657,43.616236802795356,17.991047303306434,15.27888150484993,-14.251078727438138,-26.208217846216925,-0.5830283467280033,2.1291374517285018,36.4881645390085,17.40801895657843,24.000547129311357,34.48858138372984
NGC4389,holdout,K_thick_flared,6,48.825045809729986,80.08922023169588,23.5662941993844,46.55692853885728,48.50110279830857,-31.26417442196589,25.258751610345584,2.2681172708727075,0.323943011421413,42.95794566725149,111.2475796366614,86.06213539117473,48.825045809729986
NGC5907,holdout,K_thick_flared,19,47.89710038327308,44.12559378789596,86.48374825501512,16.785509985459306,18.59536481497724,3.7715065953771187,-38.58664787174204,31.11159039781377,29.301735568295836,56.631878949791435,50.62194495289041,25.12295746100603,47.89710038327308
NGC5985,holdout,K_compact_finite,33,98.00531823604153,57.32480566416151,136.4962034128173,72.28739039126062,69.40357999391347,40.68051257188002,-38.49088517677576,25.717927844780917,28.601738242128064,98.00531823604153,40.45024200243208,40.52777150115119,90.99640348890125
NGC6789,holdout,K_scale_tail_spiral,4,10.436451225515672,19.75345768139025,26.49840257662861,15.897752239176857,15.396246199577478,-9.317006455874576,-16.06195135111294,-5.461301013661185,-4.959794974061806,22.78726425163528,10.436451225515672,15.159837752814981,21.31327103972049
NGC6946,holdout,K_compact_finite,58,15.891419559407355,47.75276587498502,42.149896326484296,15.025447425206579,17.728143095419597,-31.86134631557767,-26.258476767076942,0.865972134200776,-1.8367235360122418,15.891419559407355,78.66190439711501,48.217679562182695,16.378713665657372
NGC7331,holdout,K_thick_flared,36,40.83870946962385,85.2088730173941,59.354351789327744,25.485065060071012,29.311675230419702,-44.37016354777025,-18.515642319703893,15.353644409552839,11.527034239204148,34.53280674070732,131.0198096673286,90.07400264414639,40.83870946962385
UGC00731,holdout,K_scale_tail_spiral,12,18.82780209341972,28.157434860408245,38.17360738121145,12.845453066903099,11.466827035781066,-9.329632766988524,-19.345805287791727,5.982349026516621,7.360975057638655,32.01032510969703,18.82780209341972,22.23038186939142,30.23159760213629
UGC00891,holdout,K_scale_tail_spiral,5,5.991317747220241,18.37473393995531,28.400063073702132,5.958365558298525,7.682081654505746,-12.38341619273507,-22.408745326481892,0.032952188921715475,-1.690763907285505,22.4825040268543,5.991317747220241,11.967893831942218,20.673803961069414
UGC02023,holdout,K_scale_tail_spiral,5,15.057820467592881,8.406536391076214,15.027147630460606,12.198048884046239,13.979836766957423,6.651284076516667,0.030672837132275532,2.8597715835466424,1.0779837006354587,9.12122537838346,15.057820467592881,8.54433705368652,7.554046741158659
UGC02259,holdout,K_exponential_disk,8,25.60688547376841,32.041904354180694,48.104127634342866,16.43514083306515,13.66144175213647,-6.435018880412283,-22.497242160574455,9.17174464070326,11.945443721631941,40.18284176364018,18.155916008377496,25.60688547376841,37.7869552905244
UGC03580,holdout,K_compact_finite,47,34.834374494983436,56.851887407148546,36.01201131349121,25.49452615076704,27.172706555031343,-22.01751291216511,-1.1776368185077715,9.339848344216396,7.661667939952093,34.834374494983436,73.38608257354834,57.6395304527569,39.53004919514039
UGC04305,holdout,K_scale_tail_spiral,22,26.773116655281804,11.160137893199819,6.361564686999685,23.999621706482884,26.588364190715332,15.612978762081985,20.41155196828212,2.77349494879892,0.18475246456647199,7.088616356566488,26.773116655281804,18.06976538932444,8.322031933708532
UGC04499,holdout,K_scale_tail_spiral,9,7.493103071197475,13.907996204378058,28.740791843283862,6.040634191372928,8.985021588452573,-6.414893133180583,-21.247688772086388,1.452468879824547,-1.4919185172550984,19.8836356045153,7.493103071197475,4.380055827288748,17.460297181330127
UGC05414,holdout,K_scale_tail_spiral,6,10.26258963247892,8.405264669568432,19.4770280367091,6.4008126343112375,8.261884143933315,1.8573249629104875,-9.214438404230181,3.8617769981676817,2.000705488545604,12.179414469928735,10.26258963247892,2.8979181052182645,10.138461433558296
UGC05716,holdout,K_scale_tail_spiral,12,13.150982509080759,27.22445230049019,38.595717422736016,5.844868825954693,5.605647282808069,-14.07346979140943,-25.444734913655257,7.306113683126066,7.54533522627269,31.922116570012896,13.150982509080759,19.84355741110352,29.90768292035415
UGC05829,holdout,K_scale_tail_spiral,11,10.32818343296438,15.057836134761038,24.75432036929144,6.222677845510406,8.606905396927852,-4.729652701796658,-14.426136936327062,4.105505587453974,1.7212780360365283,18.644317994544764,10.32818343296438,9.605804127073386,16.923386282664968
UGC05986,holdout,K_scale_tail_spiral,15,8.920450864778129,34.116806179962374,54.03667362248708,17.532159853325275,15.059299363743824,-25.196355315184245,-45.116222757708954,-8.611708988547147,-6.138848498965695,42.13764798930892,8.920450864778129,21.058278983399898,39.15449156717831
UGC06818,holdout,K_scale_tail_spiral,8,11.76675901243891,16.78582548735295,27.07042994637209,12.386120759877572,13.66362183441789,-5.019066474914041,-15.30367093393318,-0.6193617474386617,-1.8968628219789796,20.232562736932728,11.76675901243891,11.533581715067253,18.59133201005887
UGC06917,holdout,K_scale_tail_spiral,11,4.599724144648295,24.950019736548356,46.43992237689648,6.430936477869006,4.61507933369384,-20.35029559190006,-41.840198232248184,-1.8312123332207104,-0.015355189045545004,33.67231360360582,4.599724144648295,10.699757969678055,30.477987636361192
UGC06983,holdout,K_scale_tail_spiral,17,10.792163315682261,34.44784080324058,54.54130717033093,11.036839059186455,9.148970751386091,-23.65567748755832,-43.74914385464867,-0.2446757435041942,1.6431925642961698,42.687601133630295,10.792163315682261,21.24269105304757,39.41323022304388
UGC07151,holdout,K_exponential_disk,11,3.3602976505293367,15.081065927489703,27.222430951846494,4.3119123214161394,5.615951252005322,-11.720768276960367,-23.862133301317158,-0.9516146708868027,-2.2556536014759856,17.872098055102235,12.09558304461798,3.3602976505293367,15.275516682748894
UGC07261,holdout,K_exponential_disk,7,9.826183698399836,18.390690866000977,33.05085052090242,4.296839337715027,4.6168185611277694,-8.56450716760114,-23.224666822502584,5.529344360684809,5.209365137272067,24.588191196681294,8.522642301242527,9.826183698399836,22.061239100079103
UGC07577,holdout,K_scale_tail_spiral,9,8.396349694432287,3.0867646541532294,2.444233288569486,10.601721967205515,13.125766123408509,5.309585040279057,5.9521164058628,-2.2053722727732286,-4.729416428976222,1.7751538265743543,8.396349694432287,5.530854730974838,1.9542854049104952
UGC07603,holdout,K_exponential_disk,12,15.14416058480256,19.3914793849033,31.453943634197763,9.318897295784359,6.8156573361002755,-4.247318800100739,-16.309783049395204,5.825263289018201,8.328503248702283,25.59395015364352,8.578112923891249,15.14416058480256,24.00237507717513
UGC08699,holdout,K_compact_finite,41,30.056162490520332,46.274167087778665,57.25812439420853,15.184307759904634,13.478161966003247,-16.218004597258332,-27.201961903688197,14.871854730615699,16.578000524517087,30.056162490520332,66.88447464730656,41.16018367714056,30.77784293888889
UGC11914,holdout,K_compact_finite,65,23.06323576308555,97.78580117533839,53.5297580784848,33.820143068839116,30.19760108867859,-74.72256541225283,-30.466522315399246,-10.756907305753565,-7.134365325593038,23.06323576308555,168.47778272092,103.79302986052494,21.086590944570222
UGC12506,holdout,K_exponential_disk,31,44.622843579238854,69.09861720417109,116.02345816251234,40.697842583379504,38.12269540109571,-24.475773624932238,-71.4006145832735,3.9250009958593495,6.500148178143142,89.52727613914712,35.84235044740161,44.622843579238854,81.92622502596456
UGCA444,holdout,K_scale_tail_spiral,36,3.866020608838115,8.888622427975852,14.471300240102812,3.0580094444767805,4.92757139254757,-5.022601819137737,-10.605279631264697,0.8080111643613344,-1.061550783709455,11.09250053847029,3.866020608838115,5.560273847554185,10.013092897903078
