zone,radius_min_arcsec,radius_max_arcsec,n_independent_pixels,mode,co_minus_halpha_km_s,sigma_km_s,z,sector_jackknife_sigma_km_s,sector_jackknife_z,occupied_jackknife_sectors
0,0.6411915250636657,42.554217842316106,1082,m0,0.8085799490916189,0.01176116576140262,68.74998324955067,0.29774166997651885,2.715709726338899,12
0,0.6411915250636657,42.554217842316106,1082,m1_cos,0.260243784726569,0.015679530653475802,16.597676963556225,0.4161529927004325,0.6253560332171043,12
0,0.6411915250636657,42.554217842316106,1082,m1_sin,-0.6933038420264,0.01737790890134309,-39.89570010767041,0.4144742178117181,-1.6727309256696516,12
0,0.6411915250636657,42.554217842316106,1082,m2_cos,0.023458664395779354,0.0164798965836056,1.4234715780386824,0.3847361873529052,0.06097337647696117,12
0,0.6411915250636657,42.554217842316106,1082,m2_sin,0.050748960840561845,0.016363906331903107,3.101274219690537,0.3973931959107785,0.1277046546412331,12
1,42.554217842316106,62.51674716881792,1082,m0,0.7418160642157451,0.01748164640346843,42.43399317747131,0.5559910528760286,1.3342230245945175,12
1,42.554217842316106,62.51674716881792,1082,m1_cos,1.2158500653643358,0.02701750582790193,45.00230602740111,0.8925858975676408,1.3621658920195945,12
1,42.554217842316106,62.51674716881792,1082,m1_sin,-1.3681784030564326,0.02163830284946676,-63.229469176698814,0.48004466488287173,-2.850106465385384,12
1,42.554217842316106,62.51674716881792,1082,m2_cos,-0.7263779923451346,0.024302818679773693,-29.88863151703762,0.8265447337535328,-0.8788126796797584,12
1,42.554217842316106,62.51674716881792,1082,m2_sin,0.7452943746177463,0.022659078313708583,32.89164564857205,0.5583104624626302,1.334910277930949,12
2,62.51674716881792,80.95588064285536,1082,m0,0.4176587859373586,0.02496225706994558,16.7316114391041,0.7119194820426511,0.5866657627334557,12
2,62.51674716881792,80.95588064285536,1082,m1_cos,0.3971125403269519,0.03420112649484378,11.61109533590425,0.9804787695070754,0.4050190097707019,12
2,62.51674716881792,80.95588064285536,1082,m1_sin,0.7185976549188079,0.034594812407360974,20.771832679916685,0.5567820887468105,1.2906263858742428,12
2,62.51674716881792,80.95588064285536,1082,m2_cos,0.8901896197716891,0.02983482746672465,29.837263874394264,0.8374405729822963,1.0629884059731458,12
2,62.51674716881792,80.95588064285536,1082,m2_sin,0.7283893811094365,0.03159106913256172,23.056813242153527,0.8285318474443198,0.8791326288255766,12
3,80.95588064285536,103.57607489250148,1082,m0,0.8280391855867888,0.03401385953443388,24.344170197696165,1.0601884325431747,0.7810302019618273,11
3,80.95588064285536,103.57607489250148,1082,m1_cos,0.9689896623009063,0.055179715443499214,17.560613615216898,1.4427937380024016,0.6716065067225108,11
3,80.95588064285536,103.57607489250148,1082,m1_sin,-2.0070239880998186,0.05079947593168935,-39.50875380680477,1.2928738759820175,-1.5523741529508128,11
3,80.95588064285536,103.57607489250148,1082,m2_cos,-1.2032675947485878,0.04074799774050959,-29.52949007240079,0.8712727547340101,-1.3810458185576249,11
3,80.95588064285536,103.57607489250148,1082,m2_sin,-1.1991316657558495,0.043368063909094826,-27.650108343996806,1.2196202999086259,-0.9832008091745346,11
4,103.57607489250148,169.002210523195,1082,m0,2.031955832408381,0.07666013214934762,26.506030911214296,2.764010841397327,0.7351475623667016,10
4,103.57607489250148,169.002210523195,1082,m1_cos,-3.0876855328348065,0.12485317353762242,-24.73053303610568,4.377685679713234,-0.7053237163973521,10
4,103.57607489250148,169.002210523195,1082,m1_sin,0.555648881959941,0.0811513941013849,6.847065144262981,1.7778177843183829,0.31254546267967354,10
4,103.57607489250148,169.002210523195,1082,m2_cos,2.1043385303666513,0.07815700591526466,26.92450287371689,1.8977373398463264,1.1088671156868606,10
4,103.57607489250148,169.002210523195,1082,m2_sin,-0.34737071811493553,0.057920775331191644,-5.997342337506117,1.8143430044965851,-0.19145812961167086,10
