grayscale_floor,radius_kpc,radius_over_bar,vobs_hi_km_s,vbar_km_s,matched_modal_response,vpred_matched_km_s
0.0,6.205609289021404,0.6083930675511181,171.0,163.98185624056643,0.063026710356843,169.07051936102056
0.0,7.757011611276756,0.7604913344388977,191.7,171.5336254257692,0.06876545154476543,177.33337105417792
0.0,9.308413933532108,0.9125896013266773,201.1,177.29632846334098,0.0737515057677327,183.71796874625846
0.0,10.859816255787456,1.0646878682144565,208.0,181.48507135870975,0.07884132382301981,188.50361931430135
0.0,12.411218578042808,1.2167861351022362,211.3,184.40414397353487,0.08383917931989249,191.97872341427285
0.0,13.96262090029816,1.368884401990016,215.9,181.66221464291374,0.08383917931989249,189.12416667144637
0.0,15.514023222553512,1.5209826688777954,214.0,177.7352111307785,0.08383917931989249,185.03585767329673
0.0,17.065425544808864,1.673080935765575,214.5,173.52742350558717,0.08383917931989249,180.65523108174602
0.0,18.616827867064213,1.8251792026533544,216.9,169.10829664846543,0.08383917931989249,176.05458429390748
0.0,20.16823018931957,1.9772774695411344,216.9,164.60338234791763,0.08383917931989249,171.36462626002518
4.0,6.205609289021404,0.6083930675511181,171.0,163.98565115626943,0.063026710356843,169.07443204004218
4.0,7.757011611276756,0.7604913344388977,191.7,171.54819184025706,0.06876545154476543,177.34842997559284
4.0,9.308413933532108,0.9125896013266773,201.1,177.31663598272291,0.0737515057677327,183.73901180024305
4.0,10.859816255787456,1.0646878682144565,208.0,181.50954392292618,0.07884132382301981,188.52903830272922
4.0,12.411218578042808,1.2167861351022362,211.3,184.43327012851057,0.08383917931989249,192.00904595437262
4.0,13.96262090029816,1.368884401990016,215.9,181.69492236445555,0.08383917931989249,189.15821789443999
4.0,15.514023222553512,1.5209826688777954,214.0,177.77121418917622,0.08383917931989249,185.0733395923104
4.0,17.065425544808864,1.673080935765575,214.5,173.56329616857101,0.08383917931989249,180.69257724922747
4.0,18.616827867064213,1.8251792026533544,216.9,169.14281944100648,0.08383917931989249,176.09052514370575
4.0,20.16823018931957,1.9772774695411344,216.9,164.63671268082194,0.08383917931989249,171.39932566874813
8.0,6.205609289021404,0.6083930675511181,171.0,163.9862853158177,0.063026710356843,169.07508587874506
8.0,7.757011611276756,0.7604913344388977,191.7,171.55676193342896,0.06876545154476543,177.35728983329508
8.0,9.308413933532108,0.9125896013266773,201.1,177.32869565935167,0.0737515057677327,183.75150827613274
8.0,10.859816255787456,1.0646878682144565,208.0,181.52362041839973,0.07884132382301981,188.5436591766345
8.0,12.411218578042808,1.2167861351022362,211.3,184.44987681380212,0.08383917931989249,192.02633477540297
8.0,13.96262090029816,1.368884401990016,215.9,181.71393533156896,0.08383917931989249,189.17801183765675
8.0,15.514023222553512,1.5209826688777954,214.0,177.79282806267608,0.08383917931989249,185.09584127667134
8.0,17.065425544808864,1.673080935765575,214.5,173.58463653335272,0.08383917931989249,180.71479419023385
8.0,18.616827867064213,1.8251792026533544,216.9,169.1636476784597,0.08383917931989249,176.11220892125584
8.0,20.16823018931957,1.9772774695411344,216.9,164.65721738722684,0.08383917931989249,171.42067262589765
