galaxy,r,vobs,v_v6,v_mond,scalar_h_over_rs,scalar_kernel_K_thick_flared,scalar_v_K_thick_flared,hr_profile_effective_h_over_rs,hr_profile_kernel_K_thick_flared,hr_profile_v_K_thick_flared,post22_policy,locality_width_kpc,hr_profile_minus_scalar_kernel,hr_profile_minus_scalar_v,accepted_endpoint_ready,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC2683,2.89,189.0,182.57254209976787,186.12443395598484,0.2024081922882335,0.3038169885153724,182.13689478704524,0.2262872591651129,0.2976626174821332,182.14572996301828,post22_hold_plateau_upper,2.20964580039598,-0.0061543710332392365,0.008835175973047171,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,5.77,212.0,205.56864510633676,209.5771422919674,0.2024081922882335,0.3766178918518042,205.08903206081536,0.2268147991447915,0.3721465785480123,205.09473274025763,post22_hold_plateau_upper,2.20964580039598,-0.004471313303791913,0.005700679442270484,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,8.66,206.0,195.64916509459607,198.6571645172199,0.2024081922882335,0.3160977746167923,195.2262501146387,0.24192127131078572,0.31256903908519207,195.23097635311146,post22_hold_plateau_upper,2.20964580039598,-0.0035287355316002134,0.004726238472755995,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,11.54,200.0,196.70526142594747,199.23787024790695,0.2024081922882335,0.24500341109735052,196.3793075713338,0.37573684610487607,0.23801187693271483,196.38861664477213,post22_hold_plateau_upper,2.20964580039598,-0.006991534164635688,0.009309073438316773,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,14.43,172.0,187.4279088764902,189.83588634373183,0.2024081922882335,0.19131466300897648,187.16081523898893,0.8307678835327672,0.17823670887616516,187.17908545469075,post22_hold_plateau_upper,2.20964580039598,-0.01307795413281132,0.018270215701818415,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,17.31,190.0,181.7602782353024,184.7993948227998,0.2024081922882335,0.15457584076646716,181.53776874449616,1.4622712166891627,0.1387087759597736,181.5606216938673,post22_hold_plateau_upper,2.20964580039598,-0.01586706480669356,0.022852949371127806,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,20.2,169.0,176.5568570911684,180.7381105181678,0.2024081922882335,0.12916950845671588,176.36545314863014,1.7675645155616226,0.11646527757054671,176.3842875430316,post22_hold_plateau_upper,2.20964580039598,-0.012704230886169163,0.01883439440146617,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,23.08,150.0,171.799957872427,177.44750044150263,0.2024081922882335,0.11108188223284346,171.63080708706644,1.808861083375544,0.10232613062074732,171.64414602654134,post22_hold_plateau_upper,2.20964580039598,-0.008755751612096144,0.013338939474891731,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,28.85,160.0,164.68501847149776,173.6060661295253,0.2024081922882335,0.08709726177474804,164.54667048038692,1.810244866405695,0.082558457343926,164.55388293084852,post22_hold_plateau_upper,2.20964580039598,-0.004538804430822038,0.007212450461594244,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,31.74,155.0,161.7099539887288,172.32238891390995,0.2024081922882335,0.07871035561685308,161.5826312076643,1.8102448814526417,0.07524669659940059,161.58823617276502,post22_hold_plateau_upper,2.20964580039598,-0.0034636590174524917,0.005604965100729942,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,34.62,151.0,159.0282518636722,171.31311319176228,0.2024081922882335,0.07185775138497694,158.9100564161082,1.8102448814571,0.06912786062938372,158.91454829189246,post22_hold_plateau_upper,2.20964580039598,-0.0027298907555932117,0.004491875784253807,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,2.89,189.0,182.57254209976787,186.12443395598484,0.2024081922882335,0.3038169885153724,182.13689478704524,0.2262872591651129,0.2976626174821332,182.14572996301828,post22_linear_taper_to_inner_height,2.20964580039598,-0.0061543710332392365,0.008835175973047171,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
