galaxy,points,rmse_newton_km_s,rmse_rmond_mond_km_s,rmse_hdda_dtl_log_km_s,hdda_dtl_better_than_rmond_mond,hdda_dtl_better_than_newton,status
F568-3,18,44.563545,7.976419,9.114957,False,True,LIMITED_GALLERY_ONLY
IC2574,34,23.783547,13.513074,7.513763,True,True,LIMITED_GALLERY_ONLY
NGC3198,43,56.100189,11.178921,7.703972,True,True,LIMITED_GALLERY_ONLY
NGC2841,50,130.511495,53.023731,59.090321,False,True,LIMITED_GALLERY_ONLY
DDO154,12,23.712177,4.451773,3.544997,True,True,LIMITED_GALLERY_ONLY
UGC02487,17,167.867104,60.828609,67.624441,False,True,LIMITED_GALLERY_ONLY
