external_family_label_status,narrow_dry_run_lane,n_rows,mean_label_confidence,endpoint_scores_computed
ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_BAR,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,3,0.85,False
ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_EDGEON,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,5,0.85,False
ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_STRONG,STRICT_NARROW_DRY_RUN_READY_CANDIDATE,6,1.0,False
