baryonic_sensitivity,radius_kpc,radius_over_bar,vobs_halpha_km_s,final_error_km_s,vbar_km_s,matched_modal_response,vpred_matched_km_s
vbar_alpha3.20_h0.1_km_s,3.839720747581994,1.060696339111048,225.98,1.29,191.7749620872362,0.19484079832582443,209.62685910593262
vbar_alpha3.20_h0.1_km_s,4.079703294305869,1.1269898603054886,238.37,4.85001,188.5225421841791,0.19540798027675887,206.12058333393568
vbar_alpha3.20_h0.1_km_s,4.319685841029743,1.193283381499929,239.0,5.82001,183.97037229750308,0.19595386936425588,201.18940273414742
vbar_alpha3.20_h0.1_km_s,4.559668387753618,1.2595769026943695,241.37,25.11,196.2969660180748,0.1962237128995601,214.69394230638852
vbar_alpha3.20_h0.1_km_s,4.7996509344774925,1.32587042388881,246.4,25.17,193.1136530361728,0.1964935564348643,211.2361100692501
vbar_alpha3.20_h0.1_km_s,5.039633481201367,1.3921639450832506,252.96,48.2,189.28782660753103,0.1966917549579629,207.06840303385212
vbar_alpha3.20_h0.1_km_s,5.2796160279252415,1.458457466277691,259.96,52.66,184.64216713554384,0.19685911482160462,202.00048146335405
vbar_alpha3.20_h0.1_km_s,5.519598574649116,1.5247509874721314,266.45,9.87003,193.02754746908755,0.19703274434108622,211.18949320039184
vbar_alpha3.20_h0.1_km_s,5.7595811213729915,1.591044508666572,258.7,21.45,194.9297363744855,0.19722185168457065,213.28750449405905
vbar_alpha3.20_h0.1_km_s,5.999563668096866,1.6573380298610128,270.69,9.54001,190.7043828639681,0.1974109590280551,208.6807018189821
vbar_alpha3.20_h0.1_km_s,6.239546214820741,1.7236315510554532,273.49,12.48,186.78137250069636,0.19774509056152645,204.4164124438831
vbar_alpha3.20_h0.1_km_s,6.479528761544615,1.7899250722498936,269.32,14.13,187.63750759725013,0.19810785302700576,205.38447534259757
vbar_alpha3.20_h0.1_km_s,6.71951130826849,1.856218593444334,277.77,19.6,193.66334967180074,0.19834924731266557,212.0016021494955
vbar_alpha3.20_h0.1_km_s,6.959493854992364,1.9225121146387745,281.59,15.05,189.68366457655827,0.19834924731266557,207.64507512633043
vbar_alpha3.20_h0.1_km_s,7.199476401716239,1.9888056358332151,266.14,2.95999,186.350316574385,0.19834924731266557,203.99608775633942
vbar_alpha3.20_h0.1_km_s,7.439458948440113,2.0550991570276556,261.39,21.95,183.3830060169001,0.19834924731266557,200.74779842679928
vbar_alpha3.20_h0.1_km_s,7.679441495163988,2.121392678222096,257.19,20.36,191.23185256561234,0.19834924731266557,209.33986319368697
vbar_alpha3.20_h0.1_km_s,7.919424041887862,2.1876861994165364,258.14,48.24,187.41478990634786,0.19834924731266557,205.1613575516
vbar_alpha3.20_h0.1_km_s,8.159406588611738,2.2539797206109773,255.78,10.29,184.39632827183596,0.19834924731266557,201.85707357826288
vbar_alpha3.20_h0.1_km_s,8.399389135335612,2.3202732418054177,261.63,23.53,180.56363443133438,0.19834924731266557,197.6614566166032
vbar_alpha3.20_h0.3_km_s,3.839720747581994,1.060696339111048,225.98,1.29,190.79076748160443,0.19484079832582443,208.55104805279973
vbar_alpha3.20_h0.3_km_s,4.079703294305869,1.1269898603054886,238.37,4.85001,189.1522934018087,0.19540798027675887,206.80912003002084
vbar_alpha3.20_h0.3_km_s,4.319685841029743,1.193283381499929,239.0,5.82001,188.2280437183837,0.19595386936425588,205.84557839715035
vbar_alpha3.20_h0.3_km_s,4.559668387753618,1.2595769026943695,241.37,25.11,190.5318251543325,0.1962237128995601,208.38849171743482
vbar_alpha3.20_h0.3_km_s,4.7996509344774925,1.32587042388881,246.4,25.17,191.14634141167582,0.1964935564348643,209.08417907773747
vbar_alpha3.20_h0.3_km_s,5.039633481201367,1.3921639450832506,252.96,48.2,189.54986392520112,0.1966917549579629,207.35505458391572
vbar_alpha3.20_h0.3_km_s,5.2796160279252415,1.458457466277691,259.96,52.66,188.28475442600435,0.19685911482160462,205.98551044053872
vbar_alpha3.20_h0.3_km_s,5.519598574649116,1.5247509874721314,266.45,9.87003,190.40565283393627,0.19703274434108622,208.32090471920057
vbar_alpha3.20_h0.3_km_s,5.7595811213729915,1.591044508666572,258.7,21.45,191.89506143866927,0.19722185168457065,209.96703499541138
vbar_alpha3.20_h0.3_km_s,5.999563668096866,1.6573380298610128,270.69,9.54001,190.38109570087263,0.1974109590280551,208.326940719889
vbar_alpha3.20_h0.3_km_s,6.239546214820741,1.7236315510554532,273.49,12.48,188.74562265773292,0.19774509056152645,206.56611808566092
vbar_alpha3.20_h0.3_km_s,6.479528761544615,1.7899250722498936,269.32,14.13,189.39056034739127,0.19810785302700576,207.30333380509887
vbar_alpha3.20_h0.3_km_s,6.71951130826849,1.856218593444334,277.77,19.6,190.6093176504997,0.19834924731266557,208.65837957987185
vbar_alpha3.20_h0.3_km_s,6.959493854992364,1.9225121146387745,281.59,15.05,189.21090464782756,0.19834924731266557,207.12754890109036
vbar_alpha3.20_h0.3_km_s,7.199476401716239,1.9888056358332151,266.14,2.95999,187.46255019102028,0.19834924731266557,205.21364032418876
vbar_alpha3.20_h0.3_km_s,7.439458948440113,2.0550991570276556,261.39,21.95,187.17776962777444,0.19834924731266557,204.90189349252717
vbar_alpha3.20_h0.3_km_s,7.679441495163988,2.121392678222096,257.19,20.36,188.1196977629335,0.19834924731266557,205.93301411551454
vbar_alpha3.20_h0.3_km_s,7.919424041887862,2.1876861994165364,258.14,48.24,186.85048763377972,0.19834924731266557,204.54362071040734
vbar_alpha3.20_h0.3_km_s,8.159406588611738,2.2539797206109773,255.78,10.29,185.0693372737888,0.19834924731266557,202.5938107405439
vbar_alpha3.20_h0.3_km_s,8.399389135335612,2.3202732418054177,261.63,23.53,184.2049265714722,0.19834924731266557,201.64754778414635
vbar_alpha3.20_h0.5_km_s,3.839720747581994,1.060696339111048,225.98,1.29,190.28623505061685,0.19484079832582443,207.99954984013476
vbar_alpha3.20_h0.5_km_s,4.079703294305869,1.1269898603054886,238.37,4.85001,189.56959874113278,0.19540798027675887,207.26537963151623
vbar_alpha3.20_h0.5_km_s,4.319685841029743,1.193283381499929,239.0,5.82001,189.3022334981235,0.19595386936425588,207.02030885787636
vbar_alpha3.20_h0.5_km_s,4.559668387753618,1.2595769026943695,241.37,25.11,189.87754659617917,0.1962237128995601,207.67289409070665
vbar_alpha3.20_h0.5_km_s,4.7996509344774925,1.32587042388881,246.4,25.17,190.1469866912965,0.1964935564348643,207.99104143369564
vbar_alpha3.20_h0.5_km_s,5.039633481201367,1.3921639450832506,252.96,48.2,189.67381417252327,0.1966917549579629,207.49064798275518
vbar_alpha3.20_h0.5_km_s,5.2796160279252415,1.458457466277691,259.96,52.66,189.3859078539076,0.19685911482160462,207.1901839235909
vbar_alpha3.20_h0.5_km_s,5.519598574649116,1.5247509874721314,266.45,9.87003,190.0004815935948,0.19703274434108622,207.8776109508808
vbar_alpha3.20_h0.5_km_s,5.7595811213729915,1.591044508666572,258.7,21.45,190.4815547196458,0.19722185168457065,208.42040939434398
vbar_alpha3.20_h0.5_km_s,5.999563668096866,1.6573380298610128,270.69,9.54001,190.0051548708222,0.1974109590280551,207.9155626745648
vbar_alpha3.20_h0.5_km_s,6.239546214820741,1.7236315510554532,273.49,12.48,189.36115543314838,0.19774509056152645,207.23976664069326
vbar_alpha3.20_h0.5_km_s,6.479528761544615,1.7899250722498936,269.32,14.13,189.34525754277112,0.19810785302700576,207.25374620996607
vbar_alpha3.20_h0.5_km_s,6.71951130826849,1.856218593444334,277.77,19.6,189.4234540595104,0.19834924731266557,207.3602249127831
vbar_alpha3.20_h0.5_km_s,6.959493854992364,1.9225121146387745,281.59,15.05,188.7637356505112,0.19834924731266557,206.63803684822486
vbar_alpha3.20_h0.5_km_s,7.199476401716239,1.9888056358332151,266.14,2.95999,187.85485924508805,0.19834924731266557,205.64309766932436
vbar_alpha3.20_h0.5_km_s,7.439458948440113,2.0550991570276556,261.39,21.95,187.3978587801941,0.19834924731266557,205.1428231935148
vbar_alpha3.20_h0.5_km_s,7.679441495163988,2.121392678222096,257.19,20.36,187.17257831044498,0.19834924731266557,204.89621060212494
vbar_alpha3.20_h0.5_km_s,7.919424041887862,2.1876861994165364,258.14,48.24,186.39030369643544,0.19834924731266557,204.0398613147045
vbar_alpha3.20_h0.5_km_s,8.159406588611738,2.2539797206109773,255.78,10.29,185.3228149628661,0.19834924731266557,202.87129058525693
