annulus,r_mid_arcsec,q_co,q_halpha,q_common,sigma_common,q_co_minus_halpha,sigma_difference
4,50.0,-1.3634966795779933e-06,4.5175036745022986e-05,1.4522839600052056e-05,7.09970680978482e-06,-4.653853342460098e-05,1.4973055240374292e-05
5,60.0,1.9001828656392897e-06,2.1117074519346607e-05,8.742442514381443e-06,6.735357482038906e-06,-1.9216891653707317e-05,1.4066235068049595e-05
