split,inclusion_lane,allowed_use,n_galaxies
holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,12
holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,2
holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,7
train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,35
train,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,4
train,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,15
