baseline_id,model_id,galaxy,n_points,rmse_model_kms,rmse_zero_kms,delta_rmse_model_minus_zero_kms,model_beats_zero,mean_required_u_kms,mean_predicted_u_kms
newtonian_baryonic,radial_only,CamB,9,41.6519616978,3.35560687969,38.2963548182,False,-0.227752515789,40.3592402472
newtonian_baryonic,radial_only,ESO116-G012,15,7.9511767687,46.786425152,-38.8352483834,True,42.8740521636,37.6645830017
newtonian_baryonic,radial_only,F561-1,6,34.9385698186,9.59341689546,25.3451529231,False,8.68083990082,42.4380963459
newtonian_baryonic,radial_only,F563-1,17,25.105686649,62.47756059,-37.3718739411,True,59.8247856098,36.8294391018
newtonian_baryonic,radial_only,F568-1,12,31.749826629,69.8628373973,-38.1130107683,True,65.3426375525,36.6257905604
newtonian_baryonic,radial_only,IC2574,34,19.8036424067,23.783547469,-3.97990506232,True,21.8418304688,41.3104286612
newtonian_baryonic,radial_only,IC4202,32,35.5208686041,69.1216240013,-33.6007553973,True,54.6661524336,39.2413992702
newtonian_baryonic,radial_only,NGC0024,29,21.4636300566,47.1812952678,-25.7176652112,True,44.4979109491,24.5151946864
newtonian_baryonic,radial_only,NGC2683,11,23.4261957309,63.9946131246,-40.5684173937,True,61.7879113769,39.9837992245
newtonian_baryonic,radial_only,NGC3726,12,18.6953972682,50.4040747205,-31.7086774523,True,42.3648234489,38.5883119544
newtonian_baryonic,radial_only,NGC3949,7,22.7469835048,28.5172831034,-5.77029959861,True,24.3973134545,44.5308631775
newtonian_baryonic,radial_only,NGC3972,10,6.45102350032,44.4595995721,-38.0085760718,True,41.76184645,41.1423872785
newtonian_baryonic,radial_only,NGC4013,36,23.9243535171,65.691313498,-41.7669599809,True,61.8974065109,43.7383791847
newtonian_baryonic,radial_only,NGC4088,12,29.2567650341,25.3962956653,3.86046936876,False,14.8664006761,40.5019164206
newtonian_baryonic,radial_only,NGC4183,23,9.76142567999,48.4108598922,-38.6494342122,True,47.4836115761,39.4631957285
newtonian_baryonic,radial_only,NGC4214,14,6.31301201656,43.616238341,-37.3032263245,True,42.0898117044,39.4993094124
newtonian_baryonic,radial_only,NGC4389,6,62.0838182772,23.5662955291,38.5175227481,False,-18.9916049389,42.3848963549
newtonian_baryonic,radial_only,NGC5907,19,45.1028171452,86.4837787471,-41.3809616018,True,85.6716898748,41.5730004866
newtonian_baryonic,radial_only,NGC5985,33,97.3562497068,136.496278741,-39.1400290345,True,136.02084543,39.4316774701
newtonian_baryonic,radial_only,NGC6789,4,18.5713095025,26.498402993,-7.92709349047,True,23.2427478857,40.7257124964
newtonian_baryonic,radial_only,NGC6946,58,10.8586518234,42.1499058857,-31.2912540622,True,35.8674904221,39.1485170177
newtonian_baryonic,radial_only,NGC7331,36,30.4988028371,59.3543786695,-28.8555758324,True,42.0493850377,38.9945641702
newtonian_baryonic,radial_only,UGC00731,12,9.26976613983,38.1736083113,-28.9038421714,True,37.8665426696,40.8027629023
newtonian_baryonic,radial_only,UGC00891,5,17.2793483974,28.4000636516,-11.1207152543,True,26.1217339267,43.0613962862
newtonian_baryonic,radial_only,UGC02023,5,31.4757715902,15.0271479405,16.4486236497,False,12.0958820541,43.0394261591
newtonian_baryonic,radial_only,UGC02259,8,8.91059886875,48.1041295264,-39.1935306577,True,47.8798463951,41.6382712403
newtonian_baryonic,radial_only,UGC03580,47,23.4636569553,36.0120145776,-12.5483576223,True,12.8174954213,24.2572420342
newtonian_baryonic,radial_only,UGC04305,22,38.5349382941,6.36156474771,32.1733735464,False,4.05072743184,40.0208717122
newtonian_baryonic,radial_only,UGC04499,9,14.3758161737,28.7407927526,-14.3649765789,True,27.2241334296,41.3638813777
newtonian_baryonic,radial_only,UGC05414,6,24.5594446237,19.477028447,5.08241617678,False,18.0959257897,42.3914877893
newtonian_baryonic,radial_only,UGC05716,12,5.7685508765,38.5957184736,-32.8271675971,True,38.0678555393,40.820680093
newtonian_baryonic,radial_only,UGC05829,11,17.9041387493,24.7543208398,-6.85018209051,True,24.1408236175,40.9655618833
newtonian_baryonic,radial_only,UGC05986,15,12.4888652668,54.0366776042,-41.5478123374,True,50.873600495,40.4700299489
newtonian_baryonic,radial_only,UGC06818,8,21.4167533488,27.0704307512,-5.65367740242,True,21.9290875843,41.621435559
newtonian_baryonic,radial_only,UGC06917,11,3.62825875168,46.439925454,-42.8116667024,True,45.1730769148,43.0542665217
newtonian_baryonic,radial_only,UGC06983,17,13.0204501045,54.5413109073,-41.5208608028,True,53.5421650246,41.8516913691
newtonian_baryonic,radial_only,UGC07151,11,15.5693993489,27.2224318578,-11.6530325089,True,26.1427794035,40.9455131838
newtonian_baryonic,radial_only,UGC07261,7,11.1109137191,33.0508515808,-21.9399378617,True,32.7207960779,41.9570867322
newtonian_baryonic,radial_only,UGC07577,9,40.8107494934,2.44423329363,38.3665161998,False,1.92407658084,41.4280303577
newtonian_baryonic,radial_only,UGC07603,12,11.4384807277,31.4539442918,-20.0154635641,True,29.3792063883,40.7674754774
newtonian_baryonic,radial_only,UGC08699,41,26.7742558302,57.2581386663,-30.4838828361,True,46.9662982501,30.1181906882
newtonian_baryonic,radial_only,UGC11914,65,18.9799341629,53.5297978173,-34.5498636544,True,50.7582505256,35.1749143013
newtonian_baryonic,radial_only,UGC12506,31,76.7482515947,116.023499343,-39.2752477482,True,115.617732667,39.2372766668
newtonian_baryonic,radial_only,UGCA444,36,27.6232986396,14.4713003321,13.1519983074,False,13.6842624854,40.1550979918
newtonian_baryonic,distance_context,CamB,9,25.8633237605,3.35560687969,22.5077168808,False,-0.227752515789,24.6955575238
newtonian_baryonic,distance_context,ESO116-G012,15,10.9513963793,46.786425152,-35.8350287728,True,42.8740521636,34.935622636
newtonian_baryonic,distance_context,F561-1,6,52.9090919011,9.59341689546,43.3156750057,False,8.68083990082,60.0004039296
newtonian_baryonic,distance_context,F563-1,17,15.2207674254,62.47756059,-47.2567931646,True,59.8247856098,48.5474375542
newtonian_baryonic,distance_context,F568-1,12,14.2416817562,69.8628373973,-55.6211556411,True,65.3426375525,55.2745462355
newtonian_baryonic,distance_context,IC2574,34,5.83711705093,23.783547469,-17.9464304181,True,21.8418304688,27.0911359275
newtonian_baryonic,distance_context,IC4202,32,27.5737594279,69.1216240013,-41.5478645734,True,54.6661524336,60.5825227118
newtonian_baryonic,distance_context,NGC0024,29,28.1240993215,47.1812952678,-19.0571959463,True,44.4979109491,17.6418342736
newtonian_baryonic,distance_context,NGC2683,11,27.653634782,63.9946131246,-36.3409783425,True,61.7879113769,35.4403410227
newtonian_baryonic,distance_context,NGC3726,12,17.4583107439,50.4040747205,-32.9457639766,True,42.3648234489,39.9734353986
newtonian_baryonic,distance_context,NGC3949,7,24.5171597949,28.5172831034,-4.00012330851,True,24.3973134545,46.6571358133
newtonian_baryonic,distance_context,NGC3972,10,6.07700808615,44.4595995721,-38.382591486,True,41.76184645,42.9075216918
newtonian_baryonic,distance_context,NGC4013,36,21.8248694469,65.691313498,-43.8664440511,True,61.8974065109,45.7895091248
newtonian_baryonic,distance_context,NGC4088,12,30.5484678317,25.3962956653,5.15217216638,False,14.8664006761,42.1981656557
newtonian_baryonic,distance_context,NGC4183,23,9.22786540664,48.4108598922,-39.1829944855,True,47.4836115761,41.0567804165
newtonian_baryonic,distance_context,NGC4214,14,19.6852545838,43.616238341,-23.9309837573,True,42.0898117044,22.9582901692
newtonian_baryonic,distance_context,NGC4389,6,63.9523906114,23.5662955291,40.3860950824,False,-18.9916049389,44.2669298105
newtonian_baryonic,distance_context,NGC5907,19,43.256287684,86.4837787471,-43.2274910631,True,85.6716898748,43.5029114036
newtonian_baryonic,distance_context,NGC5985,33,87.3966380973,136.496278741,-49.099640644,True,136.02084543,49.6904008429
newtonian_baryonic,distance_context,NGC6789,4,5.82310406741,26.498402993,-20.6752989256,True,23.2427478857,26.0345976284
newtonian_baryonic,distance_context,NGC6946,58,16.2802441083,42.1499058857,-25.8696617774,True,35.8674904221,27.4399445332
newtonian_baryonic,distance_context,NGC7331,36,29.2936834395,59.3543786695,-30.06069523,True,42.0493850377,38.4832954275
newtonian_baryonic,distance_context,UGC00731,12,7.13546872164,38.1736083113,-31.0381395896,True,37.8665426696,37.3400344752
newtonian_baryonic,distance_context,UGC00891,5,12.1012250399,28.4000636516,-16.2988386117,True,26.1217339267,36.7691047213
newtonian_baryonic,distance_context,UGC02023,5,25.8294438335,15.0271479405,10.802295893,False,12.0958820541,37.0343897706
newtonian_baryonic,distance_context,UGC02259,8,12.8000733755,48.1041295264,-35.3040561509,True,47.8798463951,36.0922224087
newtonian_baryonic,distance_context,UGC03580,47,23.5848657241,36.0120145776,-12.4271488535,True,12.8174954213,25.873902108
newtonian_baryonic,distance_context,UGC04305,22,24.1454160847,6.36156474771,17.783851337,False,4.05072743184,24.9421215844
newtonian_baryonic,distance_context,UGC04499,9,10.7768448874,28.7407927526,-17.9639478652,True,27.2241334296,37.7998282537
newtonian_baryonic,distance_context,UGC05414,6,17.6466448927,19.477028447,-1.83038355423,True,18.0959257897,35.3831739965
newtonian_baryonic,distance_context,UGC05716,12,8.01449308057,38.5957184736,-30.5812253931,True,38.0678555393,43.7537063251
newtonian_baryonic,distance_context,UGC05829,11,10.1193448321,24.7543208398,-14.6349760077,True,24.1408236175,33.3953450905
newtonian_baryonic,distance_context,UGC05986,15,20.1113369643,54.0366776042,-33.9253406399,True,50.873600495,33.0097548622
newtonian_baryonic,distance_context,UGC06818,8,22.8781251651,27.0704307512,-4.19230558605,True,21.9290875843,43.4293450541
newtonian_baryonic,distance_context,UGC06917,11,2.53640784705,46.439925454,-43.903517607,True,45.1730769148,45.0185588012
newtonian_baryonic,distance_context,UGC06983,17,11.6718181884,54.5413109073,-42.8694927189,True,53.5421650246,43.6907604353
newtonian_baryonic,distance_context,UGC07151,11,8.21063235478,27.2224318578,-19.011799503,True,26.1427794035,32.6233059448
newtonian_baryonic,distance_context,UGC07261,7,8.09790852997,33.0508515808,-24.9529430508,True,32.7207960779,38.8185225918
newtonian_baryonic,distance_context,UGC07577,9,22.9615279819,2.44423329363,20.5172946883,False,1.92407658084,23.5003699175
newtonian_baryonic,distance_context,UGC07603,12,5.04723534966,31.4539442918,-26.4067089421,True,29.3792063883,26.9048266245
newtonian_baryonic,distance_context,UGC08699,41,20.4687141822,57.2581386663,-36.7894244841,True,46.9662982501,37.9658223496
newtonian_baryonic,distance_context,UGC11914,65,18.7115772396,53.5297978173,-34.8182205778,True,50.7582505256,35.7987994088
newtonian_baryonic,distance_context,UGC12506,31,56.6213700144,116.023499343,-59.4021293285,True,115.617732667,60.6397595691
newtonian_baryonic,distance_context,UGCA444,36,3.58738140693,14.4713003321,-10.8839189252,True,13.6842624854,15.3343576051
newtonian_baryonic,orientation_quality,CamB,9,29.8033229561,3.35560687969,26.4477160764,False,-0.227752515789,28.4829283018
newtonian_baryonic,orientation_quality,ESO116-G012,15,4.09714924508,46.786425152,-42.689275907,True,42.8740521636,45.9628436217
newtonian_baryonic,orientation_quality,F561-1,6,4.19580821506,9.59341689546,-5.3976086804,True,8.68083990082,10.7535043442
newtonian_baryonic,orientation_quality,F563-1,17,12.5716200059,62.47756059,-49.9059405841,True,59.8247856098,51.8099174524
newtonian_baryonic,orientation_quality,F568-1,12,18.4817654118,69.8628373973,-51.3810719855,True,65.3426375525,51.7208690642
newtonian_baryonic,orientation_quality,IC2574,34,6.48903978621,23.783547469,-17.2945076828,True,21.8418304688,27.7522798629
newtonian_baryonic,orientation_quality,IC4202,32,28.2813390729,69.1216240013,-40.8402849285,True,54.6661524336,46.1294042652
newtonian_baryonic,orientation_quality,NGC0024,29,16.9244882027,47.1812952678,-30.2568070651,True,44.4979109491,29.6070963352
newtonian_baryonic,orientation_quality,NGC2683,11,36.3388721242,63.9946131246,-27.6557410004,True,61.7879113769,26.4396568165
newtonian_baryonic,orientation_quality,NGC3726,12,22.9907584736,50.4040747205,-27.4133162469,True,42.3648234489,29.3967975795
newtonian_baryonic,orientation_quality,NGC3949,7,13.4235403761,28.5172831034,-15.0937427272,True,24.3973134545,33.9071576845
newtonian_baryonic,orientation_quality,NGC3972,10,10.8114281103,44.4595995721,-33.6481714618,True,41.76184645,51.0973460112
newtonian_baryonic,orientation_quality,NGC4013,36,34.3170651699,65.691313498,-31.3742483282,True,61.8974065109,29.8189774551
