x_R_over_RHI,v2_ratio_min,v2_ratio_max,max_velocity_fractional_change,uses_vobs_or_residual
0.0,0.997301628464004,1.0,0.001350097149154,False
0.05,0.997301628464004,1.0,0.001350097149154,False
0.1,0.997301628464004,1.0,0.001350097149154,False
0.15,0.997301628464004,1.0,0.001350097149154,False
0.2,0.997301628464004,1.0,0.001350097149154,False
0.25,0.997301628464004,1.0,0.001350097149154,False
0.3,0.997301628464004,1.0,0.001350097149154,False
0.35,0.997301628464004,1.0,0.001350097149154,False
0.4,0.997301628464004,1.0,0.001350097149154,False
0.45,0.997301628464004,1.0,0.001350097149154,False
0.5,0.997301628464004,1.0,0.001350097149154,False
0.55,0.997301628464004,1.0,0.001350097149154,False
0.6,0.997301628464004,1.0,0.001350097149154,False
0.65,0.997301628464004,1.0,0.001350097149154,False
0.7,0.997301628464004,1.0,0.001350097149154,False
0.75,0.997301628464004,1.0,0.001350097149154,False
0.8,0.997301628464004,1.0,0.001350097149154,False
0.85,0.997301628464004,1.0,0.001350097149154,False
0.9,0.997301628464004,1.0,0.001350097149154,False
0.95,0.997301628464004,1.0,0.001350097149154,False
1.0,0.997301628464004,1.0,0.001350097149154,False
