galaxy,formula_family,manifest_confidence,manifest_caveat,type_bin,inc_bin,distance_quality,inclination_deg,n_points,has_sparc_rotation_points,has_morphology_manifest_row,endpoint_scores_allowed_for_validation,claim_boundary,rmse_tau_matched,best_baseline_model,rmse_best_baseline,best_overall_model,rmse_best_overall,tau_matched_minus_best_baseline_rmse,tau_matched_beats_best_baseline
IC2574,K_scale_tail_spiral,1.0,none,irregular_T_ge_9,inc_high_60_80,2.0,75.0,34,True,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation,10.566965630734453,TPG_V6,7.5138151552258,TAU_BEST_FAMILY,3.1133225699753826,3.0531504755086525,False
IC4202,K_compact_finite,1.0,none,mid_T_3_5,inc_edge_ge_80,1.0,90.0,32,True,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation,25.94895537395008,TPG_V6,26.101514959176914,TAU_MATCHED,25.94895537395008,-0.15255958522683244,True
NGC4013,K_compact_finite,1.0,none,mid_T_3_5,inc_edge_ge_80,4.0,89.0,36,True,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation,16.99356852880305,TPG_V6,12.273912532057183,TAU_BEST_FAMILY,10.880207082032726,4.719655996745866,False
NGC4088,K_thick_flared,0.9,vertical_geometry_proxy_only,mid_T_3_5,inc_high_60_80,4.0,69.0,12,True,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation,37.811387707787695,NEWTONIAN_vn,25.396289301523897,NEWTONIAN_vn,25.396289301523897,12.415098406263798,False
NGC4183,K_exponential_disk,1.0,none,late_T_6_8,inc_edge_ge_80,4.0,82.0,23,True,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation,6.224581287933666,TPG_V6,6.489693491114096,TAU_BEST_FAMILY,5.86059025816848,-0.26511220318043005,True
NGC5907,K_thick_flared,0.9,vertical_geometry_proxy_only,mid_T_3_5,inc_edge_ge_80,2.0,88.0,19,True,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation,16.383392586061934,TPG_V6,16.785509985459306,TAU_MATCHED,16.383392586061934,-0.40211739939737257,True
NGC7331,K_thick_flared,0.9,vertical_geometry_proxy_only,mid_T_3_5,inc_high_60_80,3.0,75.0,36,True,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation,24.522570438330455,TPG_V6,25.485065060071012,TAU_BEST_FAMILY,23.472976891253797,-0.9624946217405572,True
UGC05716,K_scale_tail_spiral,0.85,large_distance_error,irregular_T_ge_9,inc_mid_40_60,1.0,54.0,12,True,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation,4.212043634396867,MOND,5.605647282808069,TAU_MATCHED,4.212043634396867,-1.3936036484112018,True
UGC12506,K_exponential_disk,1.0,none,late_T_6_8,inc_edge_ge_80,1.0,86.0,31,True,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation,44.999238791738094,MOND,38.12269540109571,TAU_BEST_FAMILY,37.36329931819013,6.876543390642382,False
