grayscale_floor,radius_kpc,radius_over_bar,vobs_hi_km_s,vbar_km_s,matched_response,matched_capacity,vpred_matched_km_s
0.0,6.205609289021404,0.6083930675511181,171.0,163.98185624056643,0.03532764802403953,0.8148186442337587,166.853262985008
0.0,7.757011611276756,0.7604913344388977,191.7,171.5336254257692,0.04077532516517448,0.8148186442337587,174.99585434652892
0.0,9.308413933532108,0.9125896013266773,201.1,177.29632846334098,0.04470551698544425,0.8148186442337587,181.21606102910908
0.0,10.859816255787456,1.0646878682144565,208.0,181.48507135870975,0.04791632449908332,0.8148186442337587,185.78224623005434
0.0,12.411218578042808,1.2167861351022362,211.3,184.40414397353487,0.05333280212813485,0.8148186442337587,189.25766640874738
0.0,13.96262090029816,1.368884401990016,215.9,181.66221464291374,0.05333280212813485,0.8148186442337587,186.4435694183591
0.0,15.514023222553512,1.5209826688777954,214.0,177.7352111307785,0.05333280212813485,0.8148186442337587,182.4132070595157
0.0,17.065425544808864,1.673080935765575,214.5,173.52742350558717,0.05333280212813485,0.8148186442337587,178.09467034159027
0.0,18.616827867064213,1.8251792026533544,216.9,169.10829664846543,0.05333280212813485,0.8148186442337587,173.55923193700045
0.0,20.16823018931957,1.9772774695411344,216.9,164.60338234791763,0.05333280212813485,0.8148186442337587,168.9357481609773
4.0,6.205609289021404,0.6083930675511181,171.0,163.98565115626943,0.03532764802403953,0.8148186442337587,166.85712435163913
4.0,7.757011611276756,0.7604913344388977,191.7,171.54819184025706,0.04077532516517448,0.8148186442337587,175.0107147690364
4.0,9.308413933532108,0.9125896013266773,201.1,177.31663598272291,0.04470551698544425,0.8148186442337587,181.2368175146131
4.0,10.859816255787456,1.0646878682144565,208.0,181.50954392292618,0.04791632449908332,0.8148186442337587,185.80729825178318
4.0,12.411218578042808,1.2167861351022362,211.3,184.43327012851057,0.05333280212813485,0.8148186442337587,189.28755916496957
4.0,13.96262090029816,1.368884401990016,215.9,181.69492236445555,0.05333280212813485,0.8148186442337587,186.4771380080836
4.0,15.514023222553512,1.5209826688777954,214.0,177.77121418917622,0.05333280212813485,0.8148186442337587,182.45015771945808
4.0,17.065425544808864,1.673080935765575,214.5,173.56329616857101,0.05333280212813485,0.8148186442337587,178.1314871741077
4.0,18.616827867064213,1.8251792026533544,216.9,169.14281944100648,0.05333280212813485,0.8148186442337587,173.59466337044574
4.0,20.16823018931957,1.9772774695411344,216.9,164.63671268082194,0.05333280212813485,0.8148186442337587,168.96995574921354
8.0,6.205609289021404,0.6083930675511181,171.0,163.9862853158177,0.03532764802403953,0.8148186442337587,166.85776961564764
8.0,7.757011611276756,0.7604913344388977,191.7,171.55676193342896,0.04077532516517448,0.8148186442337587,175.01945784068036
8.0,9.308413933532108,0.9125896013266773,201.1,177.32869565935167,0.04470551698544425,0.8148186442337587,181.24914381101692
8.0,10.859816255787456,1.0646878682144565,208.0,181.52362041839973,0.04791632449908332,0.8148186442337587,185.8217080482945
8.0,12.411218578042808,1.2167861351022362,211.3,184.44987681380212,0.05333280212813485,0.8148186442337587,189.3046029387012
8.0,13.96262090029816,1.368884401990016,215.9,181.71393533156896,0.05333280212813485,0.8148186442337587,186.4966513970447
8.0,15.514023222553512,1.5209826688777954,214.0,177.79282806267608,0.05333280212813485,0.8148186442337587,182.47234047073738
8.0,17.065425544808864,1.673080935765575,214.5,173.58463653335272,0.05333280212813485,0.8148186442337587,178.1533892179114
8.0,18.616827867064213,1.8251792026533544,216.9,169.1636476784597,0.05333280212813485,0.8148186442337587,173.6160398077148
8.0,20.16823018931957,1.9772774695411344,216.9,164.65721738722684,0.05333280212813485,0.8148186442337587,168.99100014008766
