formula_family,beta,n_train_points,n_train_galaxies,feature,fit_policy
K_compact_finite,5.248409451675291,765,22,shell_K_compact_finite,least_squares_train_only_on_vobs_minus_v6_over_predeclared_shell_feature
K_scale_tail_spiral,3.6584805046150666,742,60,shell_K_scale_tail_spiral,least_squares_train_only_on_vobs_minus_v6_over_predeclared_shell_feature
K_exponential_disk,1.1283816789018315,586,25,shell_K_exponential_disk,least_squares_train_only_on_vobs_minus_v6_over_predeclared_shell_feature
K_thick_flared,-4.580125454064239,461,24,shell_K_thick_flared,least_squares_train_only_on_vobs_minus_v6_over_predeclared_shell_feature
