model_id,role,valid_full_endpoint,n_points,rmse_km_s,mae_km_s,bias_km_s,chi2,chi2_per_point,aic_known_errors,bic_known_errors,endpoint_fit_parameters,imported_summary_scalars,claim_boundary
PSEUDO_ISOTHERMAL_TWO_PARAMETER_ENDPOINT_FIT,fit_aided_standard_comparator,True,47,14.989091123800288,10.762359951456185,8.414148600610252,952.0659856818033,20.256723099612838,956.0659856818033,959.7662808852234,2,0,retrospective_class_replication_negative_not_tau_falsification
NFW_TWO_PARAMETER_ENDPOINT_FIT,fit_aided_standard_comparator,True,47,17.39199716022342,13.246508870556267,10.373922494805251,1390.6422131636796,29.588132194971905,1394.6422131636796,1398.3425083670998,2,0,retrospective_class_replication_negative_not_tau_falsification
CONTROL_WRONG_UGC08490_ONSET,morphology_control,True,47,24.55696197807874,21.08553890444403,-5.0976817055892285,8769.446203330719,186.58396177299403,8769.446203330719,8769.446203330719,0,2,retrospective_class_replication_negative_not_tau_falsification
CONTROL_WRONG_NGC4088_ONSET,morphology_control,True,47,25.29188506930731,22.135325867637885,-6.147468668783086,9139.63285571965,194.46027352595002,9139.63285571965,9139.63285571965,0,2,retrospective_class_replication_negative_not_tau_falsification
TPG_V6_FIXED,fixed_standard_comparator,True,47,25.494526150767044,21.788665601126834,19.63209620623822,3700.3674269509124,78.73122185001941,3700.3674269509124,3700.3674269509124,0,0,retrospective_class_replication_negative_not_tau_falsification
MOND_FIXED_A0,fixed_standard_comparator,True,47,27.172706555031347,23.483685310214938,22.870498250121805,4435.663990609066,94.37582958742694,4435.663990609066,4435.663990609066,0,0,retrospective_class_replication_negative_not_tau_falsification
TAU_WARP_TRANSFER_SOURCE_HI_DENOMINATOR_SENSITIVITY,predeclared_sensitivity,True,47,27.67741251015257,22.883915561982224,-3.3295451399364273,12519.270568092785,266.36745889559114,12519.270568092785,12519.270568092785,0,2,retrospective_class_replication_negative_not_tau_falsification
NEWTONIAN_BARYONIC,fixed_standard_comparator,True,47,36.01201131349121,28.80535132745517,-12.817494128600377,20411.65373320573,434.29050496182407,20411.65373320573,20411.65373320573,0,0,retrospective_class_replication_negative_not_tau_falsification
TAU_WARP_TRANSFER_SOURCE_SPEED_SENSITIVITY,predeclared_sensitivity,True,47,36.16587941984995,27.499342380886016,-1.911909667505515,20406.94508390688,434.19032093418895,20406.94508390688,20406.94508390688,0,1,retrospective_class_replication_negative_not_tau_falsification
TAU_WARP_TRANSFER_PRIMARY,matched_frozen_transfer,True,47,38.03529456130914,28.140963861199133,-1.0122147426960428,22180.500901250136,471.9255510904284,22180.500901250136,22180.500901250136,0,2,retrospective_class_replication_negative_not_tau_falsification
CONTROL_WRONG_P2,morphology_control,True,47,80.56068092432797,39.01660134866872,9.354391614665682,86468.20188993387,1839.7489763815718,86468.20188993387,86468.20188993387,0,2,retrospective_class_replication_negative_not_tau_falsification
CONTROL_WRONG_SIGN,morphology_control,False,43,,,,,,,,0,2,retrospective_class_replication_negative_not_tau_falsification
