baseline_id,model_id,alpha,fold,cv_rmse_kms
newtonian_baryonic,radial_only,0.01,1,25.4205445435
newtonian_baryonic,radial_only,0.01,2,23.1998511425
newtonian_baryonic,radial_only,0.01,3,22.3694283875
newtonian_baryonic,radial_only,0.01,4,26.6342311237
newtonian_baryonic,radial_only,0.01,5,25.8434858955
newtonian_baryonic,radial_only,0.01,0,24.6935082186
newtonian_baryonic,radial_only,0.1,1,25.4324358508
newtonian_baryonic,radial_only,0.1,2,23.2098935197
newtonian_baryonic,radial_only,0.1,3,22.410158778
newtonian_baryonic,radial_only,0.1,4,26.6630695875
newtonian_baryonic,radial_only,0.1,5,25.9032673997
newtonian_baryonic,radial_only,0.1,0,24.7237650272
newtonian_baryonic,radial_only,1,1,25.4751885512
newtonian_baryonic,radial_only,1,2,23.2710662066
newtonian_baryonic,radial_only,1,3,22.5127840034
newtonian_baryonic,radial_only,1,4,26.7282401799
newtonian_baryonic,radial_only,1,5,25.9838032096
newtonian_baryonic,radial_only,1,0,24.7942164301
newtonian_baryonic,radial_only,10,1,25.7622935537
newtonian_baryonic,radial_only,10,2,23.7286298886
newtonian_baryonic,radial_only,10,3,23.0356273399
newtonian_baryonic,radial_only,10,4,27.0746329606
newtonian_baryonic,radial_only,10,5,26.2371821885
newtonian_baryonic,radial_only,10,0,25.1676731863
newtonian_baryonic,radial_only,100,1,26.6641637965
newtonian_baryonic,radial_only,100,2,24.8203404421
newtonian_baryonic,radial_only,100,3,24.1261004295
newtonian_baryonic,radial_only,100,4,27.8344238997
newtonian_baryonic,radial_only,100,5,26.6730695911
newtonian_baryonic,radial_only,100,0,26.0236196318
newtonian_baryonic,radial_only,1000,1,28.1492565915
newtonian_baryonic,radial_only,1000,2,26.5072628145
newtonian_baryonic,radial_only,1000,3,25.7892053547
newtonian_baryonic,radial_only,1000,4,28.9813366835
newtonian_baryonic,radial_only,1000,5,27.3047382306
newtonian_baryonic,radial_only,1000,0,27.346359935
newtonian_baryonic,distance_context,0.01,1,24.4696015897
newtonian_baryonic,distance_context,0.01,2,21.8711342331
newtonian_baryonic,distance_context,0.01,3,20.0521742026
newtonian_baryonic,distance_context,0.01,4,25.9240756562
newtonian_baryonic,distance_context,0.01,5,24.3809830191
newtonian_baryonic,distance_context,0.01,0,23.3395937401
newtonian_baryonic,distance_context,0.1,1,24.4573048002
newtonian_baryonic,distance_context,0.1,2,21.8557795081
newtonian_baryonic,distance_context,0.1,3,20.0784347926
newtonian_baryonic,distance_context,0.1,4,25.9414004221
newtonian_baryonic,distance_context,0.1,5,24.3939557555
newtonian_baryonic,distance_context,0.1,0,23.3453750557
newtonian_baryonic,distance_context,1,1,24.4582077074
newtonian_baryonic,distance_context,1,2,21.8134017195
newtonian_baryonic,distance_context,1,3,20.1646741242
newtonian_baryonic,distance_context,1,4,26.0226848895
newtonian_baryonic,distance_context,1,5,24.4008386912
newtonian_baryonic,distance_context,1,0,23.3719614264
newtonian_baryonic,distance_context,10,1,24.4741213837
newtonian_baryonic,distance_context,10,2,21.9156001156
newtonian_baryonic,distance_context,10,3,20.50670385
newtonian_baryonic,distance_context,10,4,26.3516570933
newtonian_baryonic,distance_context,10,5,24.3232701769
newtonian_baryonic,distance_context,10,0,23.5142705239
