galaxy,source_figure,marker_index_radial_order,vector_x_pt,vector_y_pt,delta_axis_calibrated,physical_delta,physical_delta_error_minus,physical_delta_error_plus,vector_error_y_top_pt,vector_error_y_bottom_pt,physical_r_over_abar,delta_calibration_status,point_origin,uses_dark_discrepancy_endpoint
NGC 613,PLOTS1.eps,1,316.986861,323.464844,True,0.099116,0.101477,0.099483,308.65625,338.570312,0.074268,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,2,330.621094,318.977273,True,0.129263,0.051246,0.049235,311.648438,326.605469,0.155949,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,3,344.379972,314.490767,True,0.159403,0.031132,0.029145,310.152344,319.125,0.238376,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,4,358.274503,305.516335,True,0.219692,0.021094,0.019109,302.671875,308.65625,0.321615,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,5,372.320312,301.029119,True,0.249837,0.041188,0.039191,295.195312,307.160156,0.405761,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,6,386.528764,305.516335,True,0.219692,0.021094,0.019109,302.671875,308.65625,0.490882,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,7,400.919389,308.507813,True,0.199596,0.011048,0.009053,307.160156,310.152344,0.577094,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,8,415.510653,320.473366,True,0.119212,0.011043,0.009058,319.125,322.117188,0.664507,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,9,430.323153,321.96946,True,0.109162,0.021094,0.019109,319.125,325.109375,0.753246,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,10,445.37429,323.464844,True,0.099116,0.021098,0.019104,320.621094,326.605469,0.843415,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,11,460.690341,326.455611,True,0.079024,0.011057,0.009044,325.109375,328.101562,0.935171,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,12,476.301847,327.951705,True,0.068973,0.011057,0.009044,326.605469,329.597656,1.028697,vector_linear_axis_0_to_1,vector_marker,False
NGC 613,PLOTS1.eps,13,492.233665,326.455611,True,0.079024,0.021108,0.019095,323.613281,329.597656,1.124142,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,1,318.45348,750.605114,True,0.101768,0.123077,0.249558,713.457031,768.925781,0.177401,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,2,332.053622,740.161577,True,0.171927,0.11123,0.109228,723.902344,756.71875,0.351431,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,3,345.776278,743.891335,True,0.146871,0.051114,0.049103,736.582031,751.5,0.527028,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,4,359.635653,745.382813,True,0.136851,0.041095,0.039074,739.566406,751.5,0.704375,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,5,373.644886,749.113281,True,0.11179,0.061117,0.059149,740.308594,758.210938,0.883639,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,6,387.816761,758.06321,True,0.051666,0.071163,0.069152,747.769531,768.65625,1.064985,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,7,402.17081,753.588068,True,0.081729,0.061129,0.059137,744.785156,762.6875,1.248662,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,8,416.723722,749.859375,True,0.106778,0.051093,0.049125,742.546875,757.464844,1.434883,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,9,431.49858,750.753906,True,0.100769,0.061117,0.059123,741.953125,759.851562,1.623945,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,10,446.511364,750.605114,True,0.101768,0.06112,0.059147,741.800781,759.703125,1.816051,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,11,461.788352,755.079545,True,0.07171,0.031061,0.029059,750.753906,759.703125,2.011537,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,12,477.35973,758.808594,True,0.046658,0.021046,0.019052,755.972656,761.941406,2.210791,vector_linear_axis_0_to_1,vector_marker,False
NGC 4303,PLOTS3.eps,13,493.250355,758.06321,True,0.051666,0.026053,0.024069,754.480469,761.941406,2.41413,vector_linear_axis_0_to_1,vector_marker,False
NGC 4579,PLOTS4.eps,1,319.417969,,True,2.9,,,,,0.142391,source_text_override_clipped_outlier,source_text_clipped_marker,False
NGC 4579,PLOTS4.eps,2,334.493608,18.448153,True,0.71111,0.360964,0.290806,-24.839844,72.179688,0.287159,vector_linear_axis_0_to_1,vector_marker,False
