radius_kpc,vstar_total_primary_km_s,v2_star_primary_km2_s2,v2_h2_alpha3.20_h0.1_km2_s2,vbar_alpha3.20_h0.1_km_s,v2_h2_alpha3.20_h0.3_km2_s2,vbar_alpha3.20_h0.3_km_s,v2_h2_alpha3.20_h0.5_km2_s2,vbar_alpha3.20_h0.5_km_s,v2_h2_alpha4.35_h0.1_km2_s2,vbar_alpha4.35_h0.1_km_s,v2_h2_alpha4.35_h0.3_km2_s2,vbar_alpha4.35_h0.3_km_s,v2_h2_alpha4.35_h0.5_km2_s2,vbar_alpha4.35_h0.5_km_s,v2_h2_alpha5.50_h0.1_km2_s2,vbar_alpha5.50_h0.1_km_s,v2_h2_alpha5.50_h0.3_km2_s2,vbar_alpha5.50_h0.3_km_s,v2_h2_alpha5.50_h0.5_km2_s2,vbar_alpha5.50_h0.5_km_s,uses_halpha_endpoint_or_dark_discrepancy
0.1,249.04465762021783,62023.24148917152,-13.145770342551202,249.01716407903072,-2.74214489442143,249.0386860167045,1.5727552988537334,249.04764010025167,-17.870031559405543,249.00767808392183,-3.7276032158541312,249.03670748426885,2.137964234379295,249.04877483826337,-22.594292776259874,248.9981917274284,-4.713061537286832,249.03472893611416,2.7031731699048533,249.0499095711049,False
0.15,249.62191373563303,62311.099817039816,-30.64062648779669,249.55799875022873,-5.430861709611204,249.61003068503584,3.8577749526057006,249.6292660534774,-41.652101631848616,249.5359358190221,-7.38257763650273,249.60612112417763,5.2441628261983775,249.63204293173462,-52.66357677590057,249.5138709369302,-9.334293563394258,249.60221150208335,6.63055069979105,249.63481977910251,False
0.2,246.14473434308584,60587.2302448283,-57.21792693189484,246.02374182724597,-7.633101251171186,246.12753395324705,7.6226294799935,246.15958639635517,-77.78061942304458,245.9819482201656,-10.376247013310829,246.12196127965632,10.362011949366163,246.16515057435325,-98.34331191419427,245.9401475109281,-13.119392775450475,246.1163884798867,13.10139441873883,246.17071462658467,False
0.25,241.2723795870869,58212.36115161535,-95.03755002390216,241.06744233441597,-7.402295075955792,241.2546049026609,13.35364951824604,241.299129846057,-129.191669563742,240.99659257781454,-10.062494868877403,241.24909157745256,18.15261731386571,241.30907366334134,-163.34578910358186,240.92572198621156,-12.72269466179902,241.24357812624396,22.951585109485382,241.31901707087968,False
0.3,235.9911412199484,55691.81873429362,-146.15021444405892,235.6690438470076,-1.8261023447020894,235.98422345092644,21.536626786668627,236.03554907486932,-198.67294775989254,235.55758424310383,-2.4823578748294,235.9828329819918,29.276352038127666,236.05194375883988,-251.19568107572624,235.44607187449768,-3.138613404956717,235.9814425048642,37.016077289586704,236.06833730421783,False
0.3500000000000001,230.7209579543005,53232.1604393501,-208.0534082396075,230.2519723589942,12.828267744856626,230.74546214403344,32.52383028130142,230.78993157228965,-282.8226018257167,230.08955122217287,17.43842646566448,230.75545163394162,44.212081788644106,230.81525245669854,-357.59179541182556,229.92701535059948,22.04858518647232,230.7654406914198,55.900333295986805,230.84057056366157,False
0.4000000000000001,225.65127679335052,50918.49871846929,-253.10623798101878,225.06729483858837,40.122284253509136,225.7372448392819,46.37606201796733,225.7522553176728,-344.06629225544754,224.8651310267682,54.541230157114,225.76918003468393,63.04245930567433,225.7891653253172,-435.02634652987615,224.66278529701177,68.96017606071884,225.80111071347088,79.70885659338133,225.82606930022746,False
0.45,220.86671149792883,48782.10424790933,-161.4088018927765,220.48247261093624,81.2726632505764,221.04881798506412,62.72657101335585,221.00664671377902,-219.41509007299302,220.35088935707077,110.48002660625231,221.11487352946136,85.26893247128065,221.05764011480593,-277.42137825320975,220.2192274808715,139.68738996192818,221.1809093464112,107.81129392920542,221.10862175542812,False
0.5000000000000001,216.40074729837485,46829.283431295094,254.19249582147472,216.99447089508357,132.73242695268326,216.70705840212568,80.73333049445995,216.5848637368662,345.5429240073174,217.20485912433708,180.43314288880387,216.8170885268005,109.74687114090649,216.6518329960846,436.8933521931597,217.4150437651658,228.13385882492435,216.92706284180994,138.76041178735306,216.71878156082778,False
0.5500000000000002,212.26089176021415,45054.68617084135,687.9576753747748,213.90998956917397,186.0842325612205,212.7002438777203,99.17015746489014,212.49156317813353,935.1924649625847,214.48710550303934,252.95825363790908,212.85738833011737,134.80943280383505,212.57540708469938,1182.427254550394,215.0626727646147,319.8322747145976,213.01441685434128,170.4487081427799,212.65921793462093,False
