galaxy,split,dominant_intake_family,closure_fraction_c,source_vn2_median,net_signed_source_strength_v2,positive_component_strength_v2,negative_component_strength_v2,normalization_rule_status,endpoint_freeze_allowed,uses_vobs_or_residual,claim_boundary
CamB,holdout,K_thick_flared,0.7709311437999794,158.90215,21.772324510142834,47.8875853320477,-26.115260821904865,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
ESO116-G012,holdout,K_scale_tail_spiral,0.647024282010864,2370.2902,684.4892460980743,904.6382268758591,-220.1489807777848,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
F561-1,holdout,K_scale_tail_spiral,0.7611597416732333,1209.066375,920.2926496607927,920.2926496607927,0.0,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
F563-1,holdout,K_scale_tail_spiral,0.8061829343587749,1033.2145500000001,361.7760270033483,483.9348186761198,-122.1587916727715,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
F568-1,holdout,K_scale_tail_spiral,0.7659455805828048,1044.9372249999997,800.3650494752097,800.3650494752097,0.0,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
IC2574,holdout,K_exponential_disk,0.8157231858172092,524.1554,11.115320323971428,191.8256923949511,-180.71037207097967,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
IC4202,holdout,K_scale_tail_spiral,0.4345083145582969,27275.862344999994,7513.399652006028,8638.115402580408,-1124.7157505743794,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
NGC0024,holdout,K_exponential_disk,0.5405873913918854,1796.46045,-204.46653584973336,383.3386662772296,-587.805202126963,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
NGC2683,holdout,K_compact_finite,0.6102469907921014,11870.881879999995,1638.5382928249076,4117.398961764323,-2478.8606689394155,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3726,holdout,K_exponential_disk,0.6296056984088632,13611.3185,2699.3811895246868,5634.572439991333,-2935.1912504666466,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3949,holdout,K_compact_finite,0.34288300781507547,17307.309199999996,2159.1992310444484,4046.7907333629873,-1887.5915023185387,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3972,holdout,K_compact_finite,0.5887466864328924,4670.377574999999,550.6274797278314,1541.2506142592406,-990.6231345314092,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
NGC4013,holdout,K_compact_finite,0.649767453635865,11524.013209999997,2095.470101138893,4528.568451785961,-2433.098350647068,THEORY_CONDITIONAL_RESIDUAL_BLIND_SOURCE_RULE,False,False,tau_side_source_normalization_formula_conditional_not_validation
