resolution,radius_arcsec,hi_approaching_u_los_km_s,hi_receding_u_los_km_s,hi_odd_los_km_s,halpha_approaching_vrot_km_s,halpha_receding_vrot_km_s,halpha_odd_los_km_s,delta_odd_los_km_s,hi_approaching_pixels,hi_receding_pixels,hi_approaching_beam_blocks,hi_receding_beam_blocks,endpoint_access
HR,42.0,67.6246244439907,62.29156154296236,-5.333062901028335,70.9090909090909,75.81818181818178,4.583031184622598,9.916094085650933,54,56,4,4,False
HR,84.0,90.24764076907576,78.64055334561044,-11.607087423465316,103.72727272727272,106.0810810810811,2.1974694068410994,13.804556830306415,113,110,6,6,False
HR,126.0,95.19987771635334,88.82423265470598,-6.3756450616473614,128.5263157894737,119.7077922077922,-8.23280100646185,-1.8571559448144885,166,166,7,6,False
HR,168.0,100.70684375170781,97.54909282046323,-3.1577509312445784,122.03053435114504,112.78260869565216,-8.633682377669455,-5.475931446424877,220,220,8,7,False
LR,42.0,64.7844393754045,55.052621111755975,-9.731818263648528,70.9090909090909,75.81818181818178,4.583031184622598,14.314849448271126,54,56,4,4,False
LR,84.0,86.77171690290494,75.0669644973765,-11.704752405528438,103.72727272727272,106.0810810810811,2.1974694068410994,13.902221812369538,113,110,4,5,False
LR,126.0,91.94227940048363,87.47049098038609,-4.471788420097539,128.5263157894737,119.7077922077922,-8.23280100646185,-3.761012586364311,166,166,5,5,False
LR,168.0,99.51068542353903,96.65764416725027,-2.853041256288762,122.03053435114504,112.78260869565216,-8.633682377669455,-5.780641121380693,220,220,6,6,False
