amplitude_path_id,shrinkage_policy,family_weight,global_weight,formula_family,beta_delta_v2_amplitude,raw_family_beta,raw_global_beta,is_negative,kernel,formula_source
shrink_family_weight_0.25,family_to_global_linear,0.25,0.75,K_thick_flared,-356.15449555263586,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.30,family_to_global_linear,0.3,0.7,K_compact_finite,32428.824552892944,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.30,family_to_global_linear,0.3,0.7,K_scale_tail_spiral,17.041111482098046,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.30,family_to_global_linear,0.3,0.7,K_exponential_disk,-511.5513188543622,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.30,family_to_global_linear,0.3,0.7,K_thick_flared,-367.27498403419565,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.35,family_to_global_linear,0.35,0.65,K_compact_finite,37883.72065389924,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.35,family_to_global_linear,0.35,0.65,K_scale_tail_spiral,69.97330558658717,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.35,family_to_global_linear,0.35,0.65,K_exponential_disk,-546.717863139283,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.35,family_to_global_linear,0.35,0.65,K_thick_flared,-378.3954725157555,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.40,family_to_global_linear,0.4,0.6,K_compact_finite,43338.616754905546,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.40,family_to_global_linear,0.4,0.6,K_scale_tail_spiral,122.90549969107639,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.40,family_to_global_linear,0.4,0.6,K_exponential_disk,-581.884407424204,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.40,family_to_global_linear,0.4,0.6,K_thick_flared,-389.5159609973153,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.45,family_to_global_linear,0.45,0.55,K_compact_finite,48793.51285591184,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.45,family_to_global_linear,0.45,0.55,K_scale_tail_spiral,175.8376937955655,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.45,family_to_global_linear,0.45,0.55,K_exponential_disk,-617.0509517091249,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.45,family_to_global_linear,0.45,0.55,K_thick_flared,-400.6364494788751,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.50,family_to_global_linear,0.5,0.5,K_compact_finite,54248.40895691813,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.50,family_to_global_linear,0.5,0.5,K_scale_tail_spiral,228.76988790005467,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.50,family_to_global_linear,0.5,0.5,K_exponential_disk,-652.2174959940457,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.50,family_to_global_linear,0.5,0.5,K_thick_flared,-411.7569379604349,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.55,family_to_global_linear,0.55,0.44999999999999996,K_compact_finite,59703.30505792444,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.55,family_to_global_linear,0.55,0.44999999999999996,K_scale_tail_spiral,281.70208200454385,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.55,family_to_global_linear,0.55,0.44999999999999996,K_exponential_disk,-687.3840402789667,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.55,family_to_global_linear,0.55,0.44999999999999996,K_thick_flared,-422.87742644199466,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.60,family_to_global_linear,0.6,0.4,K_compact_finite,65158.20115893072,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.60,family_to_global_linear,0.6,0.4,K_scale_tail_spiral,334.63427610903295,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.60,family_to_global_linear,0.6,0.4,K_exponential_disk,-722.5505845638876,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.60,family_to_global_linear,0.6,0.4,K_thick_flared,-433.9979149235545,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.65,family_to_global_linear,0.65,0.35,K_compact_finite,70613.09725993703,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.65,family_to_global_linear,0.65,0.35,K_scale_tail_spiral,387.56647021352217,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.65,family_to_global_linear,0.65,0.35,K_exponential_disk,-757.7171288488086,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.65,family_to_global_linear,0.65,0.35,K_thick_flared,-445.1184034051143,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.70,family_to_global_linear,0.7,0.30000000000000004,K_compact_finite,76067.99336094332,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.70,family_to_global_linear,0.7,0.30000000000000004,K_scale_tail_spiral,440.4986643180112,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.70,family_to_global_linear,0.7,0.30000000000000004,K_exponential_disk,-792.8836731337293,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.70,family_to_global_linear,0.7,0.30000000000000004,K_thick_flared,-456.23889188667414,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.75,family_to_global_linear,0.75,0.25,K_compact_finite,81522.88946194961,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.75,family_to_global_linear,0.75,0.25,K_scale_tail_spiral,493.43085842250036,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.75,family_to_global_linear,0.75,0.25,K_exponential_disk,-828.0502174186503,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.75,family_to_global_linear,0.75,0.25,K_thick_flared,-467.35938036823393,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.80,family_to_global_linear,0.8,0.19999999999999996,K_compact_finite,86977.78556295592,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.80,family_to_global_linear,0.8,0.19999999999999996,K_scale_tail_spiral,546.3630525269897,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.80,family_to_global_linear,0.8,0.19999999999999996,K_exponential_disk,-863.2167617035711,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.80,family_to_global_linear,0.8,0.19999999999999996,K_thick_flared,-478.4798688497937,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.85,family_to_global_linear,0.85,0.15000000000000002,K_compact_finite,92432.6816639622,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.85,family_to_global_linear,0.85,0.15000000000000002,K_scale_tail_spiral,599.2952466314788,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
