distance_mpc,global_inclination_deg,interpolation,carrier,rmse_uncorrected_km_s,rmse_projection_control_km_s,delta_rmse_km_s,projection_improves_rmse,claim_boundary
25.9,63,linear,MOND,27.172706555,30.6279351467,3.45522859164,False,post_score_standard_projection_robustness_not_claim_raising
25.9,63,nearest,NEWTONIAN,36.0120113135,35.4911283249,-0.520882988619,True,post_score_standard_projection_robustness_not_claim_raising
25.9,63,nearest,TPG_V6,25.4945261508,28.5806977318,3.08617158102,False,post_score_standard_projection_robustness_not_claim_raising
25.9,63,nearest,MOND,27.172706555,30.6377061535,3.46499959845,False,post_score_standard_projection_robustness_not_claim_raising
25.9,67,linear,NEWTONIAN,36.0120113135,35.9162861708,-0.0957251426958,True,post_score_standard_projection_robustness_not_claim_raising
25.9,67,linear,TPG_V6,25.4945261508,25.5981527105,0.103626559694,False,post_score_standard_projection_robustness_not_claim_raising
25.9,67,linear,MOND,27.172706555,27.326074889,0.153368333966,False,post_score_standard_projection_robustness_not_claim_raising
25.9,67,nearest,NEWTONIAN,36.0120113135,35.8883625369,-0.123648776639,True,post_score_standard_projection_robustness_not_claim_raising
25.9,67,nearest,TPG_V6,25.4945261508,25.5891508338,0.0946246830798,False,post_score_standard_projection_robustness_not_claim_raising
25.9,67,nearest,MOND,27.172706555,27.3313431711,0.15863661608,False,post_score_standard_projection_robustness_not_claim_raising
