radius_inner_kpc,radius_outer_kpc,radius_kpc,n_signal_pixels,molecular_plus_helium_mass_alpha3.20_msun,molecular_plus_helium_mass_alpha4.35_msun,molecular_plus_helium_mass_alpha5.50_msun
0.0,1.0,0.5,11,79647207.81188512,108270423.11928134,136893638.42667755
1.0,2.0,1.5,36,139488409.27788162,189617056.3621203,239745703.44635904
2.0,3.0,2.5,50,133762919.81657034,181833969.1256503,229905018.4347303
3.0,4.0,3.5,79,253619795.59242928,344764409.6334585,435909023.6744878
4.0,5.0,4.5,90,352214394.5905079,478791442.6464715,605368490.7024354
5.0,6.0,5.5,102,387830397.03404856,527206945.9681598,666583494.9022712
6.0,7.0,6.5,127,246100777.5854866,334543244.5302708,422985711.4750552
7.0,8.0,7.5,135,187383970.31887585,254725084.65222183,322066198.9855678
8.0,9.0,8.5,128,144458942.62992007,196373875.13754758,248288807.6451751
9.0,10.0,9.5,85,114470794.61490916,155608736.42964208,196746678.2443751
10.0,11.0,10.5,63,81235591.19931784,110429631.78657265,139623672.37382755
11.0,12.0,11.5,24,25852193.840755153,35142826.00227653,44433458.16379792
12.0,13.0,12.5,10,21305338.59246244,28961944.649128623,36618550.70579481
13.0,14.0,13.5,1,0.13859640168052292,0.18840448353446082,0.23821256538839874
