galaxy,split,n_points,rmse_kernel_v02,rmse_tpg_v6,rmse_mond,v02_minus_tpg_v6,v02_minus_mond,inclination_deg
CVnIdwA,external_opened_diagnostic,14,6.6462805398849385,6.505135061379994,8.69554413247,0.14114547850494485,-2.049263592585061,66.5
DDO_126,external_opened_diagnostic,29,3.857041566458249,3.39331745475732,6.844852871291544,0.463724111700929,-2.9878113048332953,65.0
DDO_133,external_opened_diagnostic,18,4.850338719387886,5.321804018496601,2.6963872462670646,-0.47146529910871493,2.1539514731208214,43.4
DDO_210,external_opened_diagnostic,7,1.3905384918626391,1.2322391882346,2.396950423047397,0.15829930362803912,-1.006411931184758,66.7
DDO_216,external_opened_diagnostic,12,4.234166396263621,4.003625721808804,5.655362068210084,0.23054067445481685,-1.421195671946463,63.7
DDO_46,external_opened_diagnostic,23,28.1974051949885,28.65202160245353,26.35056604552727,-0.4546164074650285,1.846839149461232,27.9
DDO_47,external_opened_diagnostic,33,12.72972467561436,13.209804173379558,9.767308291405287,-0.48007949776519787,2.9624163842090727,45.5
DDO_50,external_opened_diagnostic,64,27.169970198750722,26.194163818563048,30.442165749491657,0.9758063801876737,-3.2721955507409355,49.7
DDO_52,external_opened_diagnostic,15,10.722671637045615,11.333532111742878,6.920308732682193,-0.6108604746972635,3.802362904363422,43.0
DDO_53,external_opened_diagnostic,12,6.113668090652748,5.714254784083218,7.108837919869776,0.3994133065695298,-0.9951698292170281,27.0
DDO_70,external_opened_diagnostic,23,6.222529503682434,6.548007656636344,4.369610069931376,-0.32547815295390947,1.8529194337510582,50.0
DDO_87,external_opened_diagnostic,33,7.038674315107463,7.5601000836730075,2.1928195962976798,-0.5214257685655443,4.845854718809783,55.5
F564-V3,external_opened_diagnostic,10,11.034652279005353,11.303771795386076,7.446315140754394,-0.26911951638072296,3.5883371382509592,56.5
HARO_36,external_opened_diagnostic,9,5.666751934830135,5.55818885748822,5.86561487957756,0.1085630773419144,-0.19886294474742527,70.0
NGC_1569,external_opened_diagnostic,22,10.719388985834469,10.054036272677939,11.660493910394173,0.6653527131565298,-0.9411049245597045,69.1
NGC_3738,external_opened_diagnostic,11,61.62019229659667,62.360623399220614,61.61148426802678,-0.7404311026239441,0.008708028569891724,22.6
UGC_8508,external_opened_diagnostic,24,13.186672908679526,13.443424060823963,10.19636335157316,-0.256751152144437,2.9903095571063663,82.5
