galaxy,fold,log_outer3_mass_discrepancy,baseline_prediction,baseline_plus_path_prediction
IC2574,4,1.4976300321063005,1.3701526029316575,1.565626591640118
NGC0024,2,2.1106139845047265,0.9926068358391468,1.0166498937860131
NGC0055,3,1.190841041681711,1.059025346650124,0.908790817201569
NGC0100,3,1.8662946939754104,1.6812442928725635,1.623544166897627
NGC0247,2,1.5590136490940532,0.880466083619883,0.8887687787137105
NGC0289,4,1.6405769698248818,1.7288057604356029,1.9155289590261682
NGC0300,3,2.028938836832722,-0.1979847999195322,0.29280814211968864
NGC1090,3,1.1157895350603015,1.396114730340229,1.3156362154878154
NGC1705,1,2.5637221387745575,1.0084422469978367,0.8688841183969669
NGC2683,4,1.3890866513577171,0.7589864069461775,0.7900688689034419
NGC2841,3,1.9401599354512353,1.369993253367789,1.351305414018263
NGC2903,0,1.3730007150138201,0.8218739017538806,0.7239618983128872
NGC2976,3,0.7025714048289884,0.8532403491798367,0.82811684692361
NGC3198,3,1.6418547737047873,1.2713833451172494,1.402393578722312
NGC3521,0,1.0567478639654666,1.3648927886566846,0.9043687118900371
NGC3726,3,1.39962305957948,1.14759681768895,1.9216904661047134
NGC3769,3,1.810121327584529,1.324001189774993,1.437005055153031
NGC3877,2,0.371157479982651,1.0601555035742194,1.0345893345079664
NGC3893,4,1.1202453252703162,1.3543704382188124,1.2987700768168222
NGC3917,0,1.2691209256873865,0.8671370621443698,1.13163624803135
NGC3949,4,0.5591040772838567,1.020698301617488,1.1697067361137106
NGC3953,1,0.5640787945710227,0.8261559359989963,0.7995320037750333
NGC3972,0,1.1561687807610028,1.2105841392589916,1.280039910547023
NGC3992,1,1.3516894312463823,1.4814658092973174,1.4441959306263565
NGC4010,4,1.0055229684036078,1.4873724889259865,1.3267167549052248
NGC4013,3,1.4743693915427798,1.1368944490669601,0.8829495079198612
NGC4051,4,0.2928126087112969,0.7884512985680954,0.8373446012939572
NGC4068,3,0.7971046172076366,1.3608450968398675,1.2956483531934666
NGC4085,4,0.4004327087948004,1.3304516415998815,1.553190144296438
NGC4088,3,0.6043426668096471,1.3104121701978162,1.3593876492394563
NGC4100,1,1.2161550907049314,1.1010048326887472,1.1348610043248966
NGC4138,3,1.109383181579638,1.2040387548976215,1.121124008875392
NGC4157,0,1.1667635756292571,1.1267937230306693,1.0441126939724343
NGC4183,2,1.577885752933363,1.1551817371864006,1.1443633446747665
NGC4214,2,2.2740827498464204,1.5869369756618636,2.151558374610948
NGC4217,2,0.6314729822334432,1.213988265810721,1.1970074019121293
NGC4389,1,-0.2774133687687228,0.5205680768976262,0.5675860693024886
NGC4559,3,1.079176828413127,2.0506160897337784,2.008272756584691
NGC5005,4,0.4647141108480235,0.44086482111765835,0.7757391036327818
NGC5033,0,1.5115222194565872,1.6247598551114257,1.2588590212869983
NGC5055,3,1.3043960769122505,1.6255969410593643,1.4454463396581823
NGC5371,1,0.7547510043037835,1.205114808318207,1.2246043592866533
NGC5585,0,1.546957065134649,1.5377194236091705,1.3535181636941915
NGC5907,0,1.3486097193178803,1.7798660504355743,1.6745816307404864
NGC5985,1,1.4164613743789778,1.3559042771312872,1.397690762608758
NGC6015,3,1.77763664118688,1.5074762394874845,1.4714989868390005
NGC6503,3,1.9731896064412957,1.8076709790360828,1.7762277760165226
NGC7793,0,0.9493313672011343,0.947919436161761,0.7512040874330618
UGC00191,2,1.407611541967854,1.2497182028146891,1.2612302177486792
UGC00634,0,1.7140783084965343,1.3738962336501708,1.4631933063726383
UGC00891,4,1.729398209796444,1.4695817604726604,1.4563509432693815
UGC04305,1,0.05511770210918764,1.6598551916653865,1.5288427808246132
UGC04483,2,1.1862483834199848,1.9130008848343245,1.9280165101826625
UGC04499,4,1.251090599005676,1.2503550597254522,1.2843703814999168
UGC05764,4,1.7158709532210197,1.1361252332568683,1.282957815207948
UGC05829,1,1.1637651790391084,1.2081724865920969,1.076078031566906
UGC05918,0,1.6878400827499649,1.1976662930062236,1.1208567003552208
UGC06399,1,1.5794761998335922,0.7787722279582229,0.8865380636639486
UGC06446,0,1.6728507268108377,1.3085046362169699,1.2158925148314728
UGC06628,4,-0.0034624694624050176,1.257487349814109,1.2129547867829595
UGC06667,3,2.114659635111549,1.187812076363264,1.1002003441627888
UGC06818,0,1.5543539931534238,1.3687113021869846,1.551324184673127
UGC06917,3,1.3828675861643613,1.2949238128620888,1.2216859501030741
UGC06930,1,1.316264882605531,1.3413974200793766,1.3319495279782483
UGC06983,2,1.536780313653474,1.0924257868541953,1.076969587763369
UGC07089,0,1.2271698499263584,1.1784823076146336,1.443705014473901
UGC07125,0,0.8326676591698327,2.3058471296940675,2.4558567436120105
UGC07559,0,1.0810260336085604,1.4259242344076895,1.290910055514765
UGC07577,0,0.46467691345022905,1.3358955094743343,1.1786937921036857
UGC07608,0,2.0054716546202247,0.92338049249755,0.622336144568715
UGC07690,0,1.0990926039015492,1.2982337360574947,1.1560109003278587
UGC08837,0,0.9997945500581459,1.3057110190996652,1.468795550745097
UGC09992,3,0.7583676229050771,1.5596385974125142,1.5404475821384243
UGC10310,0,1.2192119236910377,1.116337422279696,0.9340046768071093
UGC12732,4,1.520069705383168,1.7891091287717524,1.6722190358778706
