git_status,layer,path,size_bytes
M,top_level_package,README.md,126568
M,top_level_package,arxiv_submission_source.zip,1026097
M,derived_data,data/derived/p0_phangs_source_matches.csv,1356
M,bridge_docs,docs/tau_core_gravity_bridge_central.md,89164
M,figure_sources,figures/fig01_morphology_family_registry.svg,30742
M,figure_sources,figures/fig02_forward_gate_score_schema.svg,39065
M,figure_sources,figures/fig03_forward_readout_gate_flow.svg,35310
M,paper_source_pdf_figures,paper8_submission_source/figures/fig01_morphology_family_registry.pdf,12732
M,paper_source_pdf_figures,paper8_submission_source/figures/fig02_forward_gate_score_schema.pdf,14468
M,paper_source_pdf_figures,paper8_submission_source/figures/fig03_forward_readout_gate_flow.pdf,16481
M,paper_source_pdf_figures,paper8_submission_source/main.pdf,890747
M,paper_source_pdf_figures,paper8_submission_source/main.tex,121074
M,paper_source_pdf_figures,paper8_submission_source/refs.bib,7021
M,reports,reports/p0_dustpedia_hi_phangs_source_evidence.md,3376
M,reports,reports/p0_skyview_previews/NGC0100_2MASS_K.png,125988
M,reports,reports/p0_skyview_previews/NGC0100_DSS2_Red.png,94247
M,reports,reports/p0_skyview_previews/NGC0100_WISE_3_4.png,47875
M,reports,reports/p0_skyview_previews/NGC0247_2MASS_K.png,136658
M,reports,reports/p0_skyview_previews/NGC0247_DSS2_Red.png,110311
M,reports,reports/p0_skyview_previews/NGC0247_WISE_3_4.png,81475
M,reports,reports/p0_skyview_previews/NGC0300_2MASS_K.png,134909
M,reports,reports/p0_skyview_previews/NGC0300_DSS2_Red.png,97909
M,reports,reports/p0_skyview_previews/NGC0300_WISE_3_4.png,65622
M,reports,reports/p0_skyview_previews/NGC6503_2MASS_K.png,105082
M,reports,reports/p0_skyview_previews/NGC6503_DSS2_Red.png,80238
M,reports,reports/p0_skyview_previews/NGC6503_WISE_3_4.png,24348
M,scripts,scripts/acquire_external_morphology_inputs.py,12413
M,scripts,scripts/acquire_p0_dustpedia_hi_phangs_sources.py,11821
M,scripts,scripts/acquire_p0_skyview_preview_images.py,7171
M,scripts,scripts/audit_p0_skyview_availability.py,5290
M,scripts,scripts/reproduce.py,15113
M,scripts,scripts/run_source_native_readout_formula_endpoint.py,20945
M,tests,tests/test_public_reproducibility_package.py,332292
??,derived_data,data/derived/four_case_endpoint_status_cases.csv,1745
??,derived_data,data/derived/four_case_endpoint_status_summary.csv,560
??,derived_data,data/derived/inclusion_lane_endpoint_allowed_use_summary.csv,9898
??,derived_data,data/derived/inclusion_lane_endpoint_scores.csv,461928
??,derived_data,data/derived/inclusion_lane_endpoint_summary.csv,10476
??,derived_data,data/derived/inclusion_lane_expansion_audit.csv,79332
??,derived_data,data/derived/inclusion_lane_expansion_summary.csv,468
??,derived_data,data/derived/inclusion_lane_information_gain_transitions.csv,2242
??,derived_data,data/derived/memory_projection_acceptance_gate.csv,97234
??,derived_data,data/derived/memory_projection_acceptance_summary.csv,504
??,derived_data,data/derived/mixed_readout_candidate_acquisition_queue.csv,9092
??,derived_data,data/derived/mixed_readout_candidate_acquisition_requirements.csv,892
??,derived_data,data/derived/mixed_readout_candidate_acquisition_summary.csv,590
??,derived_data,data/derived/mixed_readout_population_control_by_galaxy.csv,663
??,derived_data,data/derived/mixed_readout_population_control_matrix.csv,1483
??,derived_data,data/derived/mixed_readout_population_control_points.csv,58102
??,derived_data,data/derived/mixed_readout_population_control_summary.csv,731
??,derived_data,data/derived/mixed_readout_population_endpoint_points.csv,31874
??,derived_data,data/derived/mixed_readout_population_endpoint_scores.csv,1574
??,derived_data,data/derived/mixed_readout_population_endpoint_summary.csv,674
??,derived_data,data/derived/mixed_readout_population_expansion_candidates.csv,5329
??,derived_data,data/derived/mixed_readout_population_expansion_obligations.csv,680
??,derived_data,data/derived/mixed_readout_population_expansion_summary.csv,622
??,derived_data,data/derived/mixed_readout_population_shuffled_label_permutations.csv,1070
??,derived_data,data/derived/mixed_readout_population_validation_cases.csv,1789
??,derived_data,data/derived/mixed_readout_population_validation_endpoints.csv,1236
??,derived_data,data/derived/mixed_readout_population_validation_protocol.csv,1852
??,derived_data,data/derived/mixed_readout_population_validation_summary.csv,621
??,derived_data,data/derived/mixed_readout_source_selection_cases.csv,772
??,derived_data,data/derived/mixed_readout_source_selection_protocol.csv,1769
??,derived_data,data/derived/mixed_readout_source_selection_summary.csv,362
??,derived_data,data/derived/morphology_information_gain_data_acquisition.csv,2064
??,derived_data,data/derived/morphology_information_gain_dustpedia_matches.csv,134973
??,derived_data,data/derived/morphology_information_gain_l2_weight_freeze_component_audit.csv,71763
??,derived_data,data/derived/morphology_information_gain_l2_weight_freeze_readiness.csv,88205
??,derived_data,data/derived/morphology_information_gain_l2_weight_freeze_readiness_summary.csv,960
??,derived_data,data/derived/morphology_information_gain_l2_weight_intake_candidates.csv,59265
??,derived_data,data/derived/morphology_information_gain_l2_weight_intake_endpoint_by_family.csv,1206
??,derived_data,data/derived/morphology_information_gain_l2_weight_intake_endpoint_scores.csv,59456
??,derived_data,data/derived/morphology_information_gain_l2_weight_intake_endpoint_summary.csv,885
??,derived_data,data/derived/morphology_information_gain_l2_weight_intake_summary.csv,1149
??,derived_data,data/derived/morphology_information_gain_level_manifest.csv,1469
??,derived_data,data/derived/morphology_information_gain_scores_by_galaxy.csv,191986
??,derived_data,data/derived/morphology_information_gain_source_expansion.csv,39967
??,derived_data,data/derived/morphology_information_gain_source_expansion_summary.csv,1417
??,derived_data,data/derived/morphology_information_gain_summary.csv,2291
??,derived_data,data/derived/morphology_information_gain_transitions.csv,1117
??,derived_data,data/derived/multigalaxy_fit_inspection_amplitudes.csv,963
??,derived_data,data/derived/multigalaxy_fit_inspection_points.csv,242577
??,derived_data,data/derived/multigalaxy_fit_inspection_scores.csv,9421
