galaxy,inspection_priority_tier,inspection_priority_score,inspection_focus,suggested_fov_arcmin,preview_surveys_available,preview_png_paths,external_source_urls,accepted_label_output_allowed,endpoint_scores_allowed,image_classification_performed,forbidden_inputs,claim_boundary,reviewer_id,review_timestamp_utc,present_day_morphology_label,outer_disk_lsb_tail_evidence,hi_extent_or_asymmetry_evidence,bar_m2_evidence,edge_projection_caveat,vertical_flare_warp_evidence,compact_bulge_evidence,ring_resonance_evidence,morphological_memory_history_proxy_judgment,review_confidence,residual_blind_family_recommendation,review_sources_used,review_notes
NGC0100,P0,88,edge_on_projection_degeneracy;outer_disk_tail_lsb_or_hi_extent,8.0,2MASS-K;DSS2 Red;WISE 3.4,reports/p0_skyview_previews/NGC0100_2MASS_K.png;reports/p0_skyview_previews/NGC0100_DSS2_Red.png;reports/p0_skyview_previews/NGC0100_WISE_3_4.png,https://ned.ipac.caltech.edu/byname?objname=NGC0100;https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC0100;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=DSS2%20Red&Size=0.1333;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=2MASS-K&Size=0.1333;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=WISE%203.4&Size=0.1333,False,False,False,endpoint residual gain;required-S_tau diagnostic as a label input;best-fit Tau Core readout family;MOND/RAR/TGP comparison score;post-hoc family switching after endpoint scoring,p0_visual_review_template_not_accepted_label_not_endpoint,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND
NGC0247,P0,88,bar_m2_component;outer_disk_tail_lsb_or_hi_extent,29.745,2MASS-K;DSS2 Red;WISE 3.4,reports/p0_skyview_previews/NGC0247_2MASS_K.png;reports/p0_skyview_previews/NGC0247_DSS2_Red.png;reports/p0_skyview_previews/NGC0247_WISE_3_4.png,https://ned.ipac.caltech.edu/byname?objname=NGC0247;https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC0247;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=DSS2%20Red&Size=0.4958;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=2MASS-K&Size=0.4958;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=WISE%203.4&Size=0.4958,False,False,False,endpoint residual gain;required-S_tau diagnostic as a label input;best-fit Tau Core readout family;MOND/RAR/TGP comparison score;post-hoc family switching after endpoint scoring,p0_visual_review_template_not_accepted_label_not_endpoint,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND
NGC0300,P0,98,outer_disk_tail_lsb_or_hi_extent,20.288,2MASS-K;DSS2 Red;WISE 3.4,reports/p0_skyview_previews/NGC0300_2MASS_K.png;reports/p0_skyview_previews/NGC0300_DSS2_Red.png;reports/p0_skyview_previews/NGC0300_WISE_3_4.png,https://ned.ipac.caltech.edu/byname?objname=NGC0300;https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC0300;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=DSS2%20Red&Size=0.3381;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=2MASS-K&Size=0.3381;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=WISE%203.4&Size=0.3381,False,False,False,endpoint residual gain;required-S_tau diagnostic as a label input;best-fit Tau Core readout family;MOND/RAR/TGP comparison score;post-hoc family switching after endpoint scoring,p0_visual_review_template_not_accepted_label_not_endpoint,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND
NGC6503,P0,98,outer_disk_tail_lsb_or_hi_extent,10.03,2MASS-K;DSS2 Red;WISE 3.4,reports/p0_skyview_previews/NGC6503_2MASS_K.png;reports/p0_skyview_previews/NGC6503_DSS2_Red.png;reports/p0_skyview_previews/NGC6503_WISE_3_4.png,https://ned.ipac.caltech.edu/byname?objname=NGC6503;https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC6503;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=DSS2%20Red&Size=0.1672;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=2MASS-K&Size=0.1672;https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=WISE%203.4&Size=0.1672,False,False,False,endpoint residual gain;required-S_tau diagnostic as a label input;best-fit Tau Core readout family;MOND/RAR/TGP comparison score;post-hoc family switching after endpoint scoring,p0_visual_review_template_not_accepted_label_not_endpoint,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND,TO_BE_FILLED_RESIDUAL_BLIND
