annulus,r_mid_arcsec,n_train,n_test,observed_even_contrast_km_s,predicted_even_contrast_km_s,residual_even_km_s,sigma_residual_even_km_s
0,10.0,87,45,2373.4616022396285,2372.3573506244506,1.1042516151779742,0.5054602597702909
1,20.0,152,87,2374.9430499493933,2371.7181914971516,3.224858452241894,0.49733524925666844
2,30.0,244,124,2373.3549541122566,2373.062456814905,0.2924972973516407,0.39496718694584104
3,40.0,309,145,2374.0272283759423,2374.1591856819286,-0.1319573059869032,0.508409197445639
4,50.0,375,171,2374.349401491207,2371.1098188219053,3.2395826693018863,0.5424589254827697
5,60.0,378,192,2374.1551927710852,2377.1052137564025,-2.9500209853166055,0.5732296133874879
