galaxy,split,formula_family,orientation_gate_status,projection_status,projection_reason,memory_status,memory_reason,memory_history_proxy_class,source_memory_proxy_flags,manifest_confidence,manifest_caveat,inclination_deg,distance_frac_error,memory_projection_gate_status,endpoint_scores_computed,uses_vobs_or_residual,endpoint_freeze_allowed,claim_boundary
CamB,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,1.0,none,65.0,0.077380952381,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
ESO116-G012,holdout,K_exponential_disk,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,expdisk_proxy_with_scale_tail_readout_memory_candidate,distance_caveat;rotation_current_proxy_mismatch,0.85,large_distance_error,74.0,0.3,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
F561-1,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;inclination_caveat;rotation_current_proxy_mismatch,0.6000000000000001,few_rotation_points;low_inclination,24.0,0.150602409639,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
F563-1,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,generic_current_vs_rotation_readout_mismatch_candidate,distance_caveat;gas_rich_late_or_irregular;inclination_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.65,low_inclination;large_distance_error,25.0,0.200408997955,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
F568-1,holdout,K_thick_flared,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination;vertical_geometry_proxy_only,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,thick_flared_proxy_with_alternate_readout_memory_candidate,inclination_caveat;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,26.0,0.106945975744,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
IC2574,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,1.0,none,75.0,0.051150895141,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
IC4202,holdout,K_compact_finite,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,bulge_or_compact_core_memory,1.0,none,90.0,0.099601593625,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC0024,holdout,K_thick_flared,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,64.0,0.049315068493,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC2683,holdout,K_thick_flared,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,thick_flared_proxy_with_alternate_readout_memory_candidate,bulge_or_compact_core_memory;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,80.0,0.0499490316,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC3726,holdout,K_thick_flared,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,53.0,0.138888888889,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
