ghasp_release,ghasp_name,ghasp_key,radius_kpc,radius_error_kpc,radius_arcsec,radius_error_arcsec,velocity_km_s,velocity_error_km_s,n_velocity_bins,side,aliases,sparc_match,source_url,endpoint_access,claim_boundary
VI,IC 2542,IC2542,0.42,0.0,1.0,0.0,104,48,1,r,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 2542,IC2542,0.46,0.0,1.1,0.0,78,48,1,a,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 2542,IC2542,1.27,0.23,3.1,0.6,104,21,3,r,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 2542,IC2542,1.33,0.23,3.3,0.6,83,10,5,a,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 2542,IC2542,2.1,0.22,5.2,0.5,201,48,4,r,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 2542,IC2542,2.12,0.3,5.2,0.7,129,38,4,a,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 2542,IC2542,3.5,0.56,8.7,1.4,253,17,21,a,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 2542,IC2542,3.82,0.71,9.4,1.8,259,11,21,r,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 2542,IC2542,5.25,0.54,13.0,1.3,275,16,21,a,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 2542,IC2542,5.92,0.69,14.6,1.7,279,21,20,r,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
