annulus,r_mid_arcsec,n_train,n_test,observed_even_contrast_km_s,predicted_even_contrast_km_s,residual_even_km_s,sigma_residual_even_km_s
0,10.0,83,43,2373.2855727508477,2372.028018236948,1.25755451390009,0.43558789746934196
1,20.0,158,83,2374.539483693874,2373.03129812488,1.5081855689943726,0.508469038559387
2,30.0,246,130,2373.8743199028886,2372.3130011027433,1.5613188001452447,0.35531487405018414
3,40.0,307,146,2374.150994322813,2373.8292209104593,0.32177341235419266,0.4945158251917623
4,50.0,371,168,2374.4063068391256,2369.9381457544223,4.468161084702945,0.5634590283825202
5,60.0,386,184,2373.6878600474915,2377.1812702747648,-3.4934102272733027,0.5553450190235815
