permutation,row_shuffle_mse_reduction,column_shuffle_mse_reduction
0,-0.05329089178018964,-0.24975156026301598
1,-0.10466536144491867,-0.22809709858034471
2,-0.06946283720284846,-0.27911059561121404
3,-0.13225057844751026,-0.18321804628610072
4,0.06051789043820757,-0.13638895599590162
5,-0.13314325098051694,-0.2804101923309313
6,-0.11430145917219536,-0.032758746061632316
7,-0.0671795102133329,-0.12388486255865527
8,-0.05184344079796399,-0.27891879601777764
9,-0.18250796557825005,-0.34752408036899035
10,-0.07527113545151937,-0.35836601941575247
11,-0.02925384211891019,-0.08941566956603136
12,0.023155957752145462,-0.0715163240363001
13,-0.13267124707813832,-0.19735844670314912
14,-0.07611180973106424,-0.2191056998985324
15,-0.05849371216988958,-0.21859244025779423
16,-0.1371750587863338,-0.12618924148279848
17,-0.0710412579921138,-0.24095147323606775
18,0.015296999304138192,-0.4250905098799706
19,-0.06118337041084271,-0.2623229481034203
20,-0.09834998090110131,-0.48305060146153583
21,-0.26870476665310244,-0.08115938922288746
22,-0.07304495629390456,-0.06822523678407721
23,-0.052249406687284894,-0.07015847997766145
24,-0.09491481048909994,-0.21205186536862514
25,-0.11947576694344036,-0.289349473288459
26,-0.08748699939965593,-0.36336972117751704
27,-0.1188830591384909,-0.09616061357268058
28,-0.17120674754195336,-0.0750828397271921
29,0.002259024573909807,-0.14709895651009192
30,-0.011674859304335122,-0.2511732933443595
31,-0.06340072700069793,-0.10747181046725474
32,-0.2119710540532314,-0.10528233022900996
33,-0.01537752257913963,-0.20042169266016047
34,-0.052785089735578994,-0.05350307444650082
35,-0.1663644381684154,-0.16585118522842762
36,-0.1909613431224419,-0.10016565851940767
37,0.03248732605584814,-0.22888834300204575
38,-0.08125829385467503,-0.09110846262721839
39,-0.21209797016179416,-0.046541870753139314
40,-0.01188330086066125,-0.002005235467145594
41,-0.01754637410451984,-0.1729708086578955
42,-0.1512352541710421,-0.5212054710216387
43,-0.2111195038891875,-0.041269053554920776
44,-0.1231155282337083,-0.029730037598991566
45,-0.29810394651652045,-0.11532004136604596
46,-0.06412318464855404,-0.6292237185045397
47,-0.05761270936016488,-0.18348295043123242
48,0.01173638512771727,-0.15483804793582462
49,-0.09544093614359017,-0.19706554737207121
50,-0.015651238175428184,-0.031444005531419184
51,-0.12297569497018895,-0.09754044259365052
52,-0.0871546307860876,-0.05627133968818421
53,-0.1647547631491268,-0.22098011906052678
54,-0.3002723489865838,-0.1377139459291215
55,-0.24218504355807563,-0.15064938111494147
56,-0.13182956140675878,-0.20325822775724933
57,-0.2581660831220915,-0.23967765480662145
58,-0.0007874415915806454,-0.11858184439008401
59,-0.05099782894174115,-0.13820062584529957
60,-0.053668958761514896,-0.38741013174555433
61,-0.03440628480740021,-0.23626101682915768
62,-0.049625317796385626,-0.14129040647375607
63,-0.07658943544806812,0.022999138837486166
64,0.04499270355068119,0.006792873296164403
65,-0.39238984705270036,-0.2903208690688131
66,0.030591641196202807,-0.8434162306433803
67,-0.08830081935514811,-0.17961142534001018
