permutation,row_shuffle_mse_reduction,column_shuffle_mse_reduction
0,-0.345334220612767,-0.6291552636022316
1,0.023857227035853412,-0.4767835519773186
2,-0.15777252367360328,-0.230615729725264
3,-0.08384197996020865,-0.6277192001590483
4,-0.262996300341403,-0.29675043869734863
5,0.038298801299238794,0.08590243430945821
6,-0.14470728959288282,-0.22979050603622542
7,-0.1221838770256794,-0.03446741393595265
8,0.045804847557952943,-0.21577604901245506
9,-0.17057143582234946,-0.4351578657871148
10,-0.2233285872493621,-0.18251684253545475
11,-0.012297057692982671,-0.310455240714809
12,-0.13067976601971165,-0.16557282649499228
13,-0.055149408225173335,-0.4111543097073851
14,0.016893743160623087,0.01797957186241783
15,-0.25996356749207084,-0.07782263113012333
16,-0.628368208961707,-0.2260673229879535
17,-0.021202012099065082,-0.2695371353608961
18,-0.38196702699479756,-0.43320235445381716
19,0.021564330893823036,-0.43320626763987413
20,-0.09510905841714878,-0.19084410910772542
21,-0.36641893888162713,-0.22402645942937405
22,0.02134919062830304,-0.20560285788447163
23,-0.18205734429352816,-0.15862567588772192
24,-0.1737679244273833,-0.14057279275855128
25,-0.1850077542334213,-0.3143281131304697
26,-0.1635577011131445,-0.2075827911000041
27,-0.06342698795767543,-0.39082866289781637
28,-0.05736716348273141,-0.5403198151306968
29,-0.20838388120053708,-0.22830627345869114
30,-0.16246653154138146,-0.384728805788223
31,-0.23100571159963512,-0.1087725588743943
32,-0.5340675245847105,-0.659451162986226
33,-0.3102750339799144,-0.22578758665512633
34,-0.1963905101021879,-0.08884325445451446
35,-0.2526793440573165,-0.17139111088584846
36,-0.125012837247216,-0.39672114940160774
37,0.021402217425624093,-0.49744928173228875
38,-0.0006594135000670409,-0.3696286118652907
39,-0.008685938108600244,-0.04554451533616821
40,0.020312534170965735,-0.14387244634727803
41,-0.043005085087716,-0.10942524189902891
42,-0.10756136636052999,-0.2809907541928919
43,-0.3070659157706066,0.025925709935584018
44,0.04391860085104571,-0.23975209842916134
45,-0.08966642145679482,-0.4653511772515566
46,-0.04960297896312882,-0.08611175492506945
47,-0.17710043350459947,-0.14838642669519253
48,-0.29881831054315244,-0.8776658357657895
49,-0.1895230392648527,-0.3267764704089936
50,0.002001381940570257,-0.14916760330995438
51,-0.08545844920386236,-0.24805767164788572
52,-0.03453313144063974,-0.3692461353630935
53,0.04688376131230204,-0.09679582008707538
54,-0.07119748876841975,-0.2201412033565684
55,-0.29831979491333704,-0.3987108137313786
56,-0.16262736896985075,-0.2505076779719224
57,-0.3321438837958486,-0.6955450553335519
58,-0.040527558097795846,-0.19206487864889543
59,-0.4977009559617187,-0.15499898162748926
60,-0.025993903677190455,-0.319121326498358
61,0.003355403358129394,-0.4252702963507957
62,-0.2894234164573085,-0.5295447997501901
63,-0.34850104869379184,-0.1395249716462369
64,-0.06699079299761007,-0.35977164624231284
65,-0.3189797393872068,-0.12123870924854918
66,-0.22253209136660035,-0.0757677562896919
67,0.14278516004006275,-0.44058361408216073
68,-0.0984889942521196,-0.12996814634426612
69,-0.2184457703621051,-0.16919307681156992
70,-0.15755133005017086,-0.18118589068579394
71,-0.21268856849381623,-0.3558644110567767
72,0.0999012687265377,-0.18639150365646195
73,0.11227690003566454,-0.0752597284637988
74,-0.1054106423587251,-0.3836090296757494
75,-0.2999859037283811,0.0037846993743951285
76,-0.10333662308920166,-0.5127254238509739
77,-0.07580358762643946,-0.03028020419387034
78,-0.0425591541871318,-0.2838851643354182
79,-0.0954091765524418,-0.1966283449364964
80,-0.06855582231812124,-0.2774681469577749
81,-0.1687869382539844,-0.048112050578491494
82,-0.05741611804305852,-0.21283075455792944
83,-0.13322174072130333,-0.15927762401910972
84,0.012638345858945632,-0.4975130072908375
85,-0.00676370394858955,-0.5378199086367751
86,-0.23206606748384095,-0.34727138849368167
87,-0.036076499233417714,-0.3115415547352993
88,0.04886079433441842,-0.27807117966248074
89,-0.0864397314819994,-0.22706067171564082
90,0.023240543038251016,-0.25102046449502957
91,-0.24720456060609564,-0.24960028796265166
92,0.04909000006622394,-0.30788125094327135
