galaxy,split,n_points,rmse_tau_source_normalized_l2,rmse_tpg_v6,rmse_mond,claim_boundary,rmse_l2_weight_intake,source_norm_minus_old_l2_intake,source_norm_minus_tpg_v6,source_norm_minus_mond,source_norm_beats_old_l2_intake,source_norm_beats_tpg_v6,source_norm_beats_mond
CamB,holdout,9,13.942176294558644,13.63779853730796,15.623524086441458,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,15.773375142407724,-1.8311988478490804,0.30437775725068406,-1.6813477918828141,True,False,True
ESO116-G012,holdout,15,8.337134526763275,11.508201668011028,9.108666488881621,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,10.754558922826297,-2.417424396063021,-3.171067141247752,-0.7715319621183454,True,True,True
F561-1,holdout,6,33.73196559002089,28.55685188052471,32.526019723976546,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,30.72961132456212,3.00235426545877,5.1751137094961805,1.2059458660443454,False,False,False
F563-1,holdout,17,22.820142516107936,24.695833689633552,18.44568739642176,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,24.353860854926513,-1.533718338818577,-1.8756911735256168,4.374455119686175,True,True,False
F568-1,holdout,12,29.009150317158717,33.500610533676024,29.974188853658532,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,31.176877091120875,-2.1677267739621584,-4.491460216517307,-0.9650385364998151,True,True,True
IC2574,holdout,34,7.615215886112868,7.5138151552258,13.51316984455882,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,25.05305541471972,-17.43783952860685,0.10140073088706725,-5.897953958445953,True,False,True
IC4202,holdout,32,26.967452016400106,26.101514959176914,26.12803028857914,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,26.05888267438966,0.9085693420104448,0.8659370572231921,0.8394217278209659,False,False,False
NGC0024,holdout,29,23.451231947000664,22.157814084096987,20.65262257294937,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,21.692224929876502,1.759007017124162,1.2934178629036772,2.7986093740512956,False,False,False
NGC2683,holdout,11,13.916231114387427,10.314830339812675,14.151015414510422,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,11.450848580050405,2.4653825343370226,3.6014007745747527,-0.23478430012299434,False,False,True
NGC3726,holdout,12,30.763713247983883,23.631876746434497,26.325344741169783,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,26.51090685077883,4.2528063972050525,7.131836501549387,4.4383685068141006,False,False,False
