annulus,r_mid_arcsec,n_train,n_test,observed_even_contrast_km_s,predicted_even_contrast_km_s,residual_even_km_s,sigma_residual_even_km_s
0,10.0,85,47,2373.3529373978245,2371.667310385168,1.6856270126567234,0.4980178046425493
1,20.0,154,83,2374.781913312687,2373.357190531387,1.4247227812995935,0.4674262993234513
2,30.0,243,127,2373.39684110918,2372.080737235093,1.3161038740879252,0.3909035118847072
3,40.0,308,143,2374.6318880045665,2374.5845369819144,0.047351022652398544,0.480677926124398
4,50.0,376,172,2374.4175151906657,2370.3354363683457,4.082078822319859,0.5265940322275685
5,60.0,374,186,2373.3617059832304,2377.046099941489,-3.6843939582586827,0.5761335534152585
