source_x_arcsec_relative_to_q1,source_y_arcsec_relative_to_q1,nonnegative_intensity_coefficient
-0.12,-0.12,1.660074817768397e-13
-0.07999999999999999,-0.12,1.751694594417227e-05
-0.039999999999999994,-0.12,6.727573874831055e-11
0.0,-0.12,3.0422742879977066e-06
0.04000000000000001,-0.12,7.083883033669922e-22
0.08000000000000002,-0.12,6.111102258283884e-22
0.12,-0.12,7.811867212993101e-06
-0.12,-0.07999999999999999,2.3740336382133914e-14
-0.07999999999999999,-0.07999999999999999,1.2436454899390559e-05
-0.039999999999999994,-0.07999999999999999,2.289633966045761e-05
0.0,-0.07999999999999999,1.9469907534480823e-05
0.04000000000000001,-0.07999999999999999,8.562114965461007e-05
0.08000000000000002,-0.07999999999999999,5.505951805047318e-31
0.12,-0.07999999999999999,4.026606810843122e-05
-0.12,-0.039999999999999994,2.026685723925379e-05
-0.07999999999999999,-0.039999999999999994,1.5459794114961965e-05
-0.039999999999999994,-0.039999999999999994,1.8771004714511276e-05
0.0,-0.039999999999999994,3.3535951431553256e-05
0.04000000000000001,-0.039999999999999994,4.40247627267845e-06
0.08000000000000002,-0.039999999999999994,2.445136781481963e-05
0.12,-0.039999999999999994,2.7608569849511356e-05
-0.12,0.0,5.870503582151681e-06
-0.07999999999999999,0.0,1.342580577143237e-05
-0.039999999999999994,0.0,7.500376554534671e-06
0.0,0.0,4.6701406945920225e-05
0.04000000000000001,0.0,6.209069659689197e-05
0.08000000000000002,0.0,5.36169180640205e-06
0.12,0.0,2.1603275814692472e-05
-0.12,0.04000000000000001,3.7796787825869124e-07
-0.07999999999999999,0.04000000000000001,2.302392905883129e-05
-0.039999999999999994,0.04000000000000001,9.625836702556257e-06
0.0,0.04000000000000001,3.6421298408700605e-05
0.04000000000000001,0.04000000000000001,2.7277282718557634e-05
0.08000000000000002,0.04000000000000001,1.4474870127264814e-05
0.12,0.04000000000000001,1.399901590619921e-05
-0.12,0.08000000000000002,1.3980833930539854e-05
-0.07999999999999999,0.08000000000000002,1.1272190247274111e-05
-0.039999999999999994,0.08000000000000002,3.2931221093598304e-05
0.0,0.08000000000000002,0.00010662443343156232
0.04000000000000001,0.08000000000000002,2.8340003834438803e-14
0.08000000000000002,0.08000000000000002,2.9108771366068208e-05
0.12,0.08000000000000002,0.00012277091146785027
-0.12,0.12,1.6231457004944417e-05
-0.07999999999999999,0.12,1.8121837131550186e-14
-0.039999999999999994,0.12,1.7724409634710546e-20
0.0,0.12,4.055579642540339e-31
0.04000000000000001,0.12,2.9708438769795783e-05
0.08000000000000002,0.12,1.722117055223917e-08
0.12,0.12,0.00010548911427910883
