scenario,draw,harmonic,beam_mode,q_shape_proxy,delta_uv,determinant_norm,minimum_role_pixels,phase_anchor_rad,phase_anchor_deg,phase_amplitude,flux_phase_anchor_deg,phase_estimator_difference_deg,phase_delta_from_baseline_deg,star_clipped_fraction,h2_clipped_fraction,hi_clipped_fraction
star_only,0,1,0,0.1138959947,0.8896842432,0.6786345476,3,0.8131794555,46.59175079,0.2805515509,62.81239417,16.22064339,43.26748444,0.01821286283,0,0
star_only,0,1,1,0.06506971719,0.9994673886,0.01264332184,3,0.8131794555,46.59175079,0.2805515509,62.81239417,16.22064339,43.26748444,0.01821286283,0,0
star_only,0,2,0,0.1375243726,0.4154808679,0.1612244025,4,1.417073572,81.19233493,0.5701117522,82.56687593,1.374540996,3.504957601,0.01821286283,0,0
star_only,0,2,1,-0.07142175995,0.9443540795,0.004107563761,4,1.417073572,81.19233493,0.5701117522,82.56687593,1.374540996,3.504957601,0.01821286283,0,0
co_independent_only,0,1,0,-0.01968778682,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,0,1,1,-0.07293358576,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,0,2,0,0.1172244172,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
co_independent_only,0,2,1,0.1469766079,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
star_plus_co_independent,0,1,0,0.1171320201,0.8896842432,0.6786345476,3,0.8131794555,46.59175079,0.2805515509,62.81239417,16.22064339,43.26748444,0.01821286283,0,0
star_plus_co_independent,0,1,1,0.07268646639,0.9994673886,0.01264332184,3,0.8131794555,46.59175079,0.2805515509,62.81239417,16.22064339,43.26748444,0.01821286283,0,0
star_plus_co_independent,0,2,0,0.1479740761,0.4154808679,0.1612244025,4,1.417073572,81.19233493,0.5701117522,82.56687593,1.374540996,3.504957601,0.01821286283,0,0
star_plus_co_independent,0,2,1,-0.06320596421,0.9443540795,0.004107563761,4,1.417073572,81.19233493,0.5701117522,82.56687593,1.374540996,3.504957601,0.01821286283,0,0
star_co_plus_hi_ctl49,0,1,0,0.09202684651,0.8896842432,0.6786345476,3,0.8131794555,46.59175079,0.2805515509,62.81239417,16.22064339,43.26748444,0.01821286283,0,0
star_co_plus_hi_ctl49,0,1,1,0.06407382119,0.9994673886,0.01264332184,3,0.8131794555,46.59175079,0.2805515509,62.81239417,16.22064339,43.26748444,0.01821286283,0,0
star_co_plus_hi_ctl49,0,2,0,0.1268210393,0.4154808679,0.1612244025,4,1.417073572,81.19233493,0.5701117522,82.56687593,1.374540996,3.504957601,0.01821286283,0,0
star_co_plus_hi_ctl49,0,2,1,-0.06332205804,0.9443540795,0.004107563761,4,1.417073572,81.19233493,0.5701117522,82.56687593,1.374540996,3.504957601,0.01821286283,0,0
star_only,1,1,0,0.08884094935,0.9859968262,0.418494357,3,0.2428351289,13.91342801,0.2652961706,38.57985088,24.66642287,10.58916165,0.0375640296,0,0
star_only,1,1,1,-0.02147663132,0.9998490803,0.0106715284,3,0.2428351289,13.91342801,0.2652961706,38.57985088,24.66642287,10.58916165,0.0375640296,0,0
star_only,1,2,0,0.1234734191,0.8733570496,0.2112303134,4,1.463780569,83.86844874,0.5118113129,83.58766448,0.2807842553,0.8288437999,0.0375640296,0,0
star_only,1,2,1,0.1453384373,0.9907320537,0.01449868543,4,1.463780569,83.86844874,0.5118113129,83.58766448,0.2807842553,0.8288437999,0.0375640296,0,0
co_independent_only,1,1,0,-0.004068003371,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
