galaxy,cache_status,n_sources
IC2574,ALREADY_CACHED,2
IC2574,LOCAL_SOURCE_CACHED,1
NGC4013,ALREADY_CACHED,1
NGC4183,ALREADY_CACHED,1
NGC5907,ALREADY_CACHED,2
NGC5907,LOCAL_SOURCE_CACHED,1
NGC7331,ALREADY_CACHED,1
UGC05716,ALREADY_CACHED,1
