s4g_name,s4g_disk_scale_arcsec,s4g_disk_component_source,s4g_bar_radius_arcsec,s4g_model_components,s4g_model_quality_values
ESO011-005,9.760000228881836,Z:edgedisk_hr2,,B;Z,4
ESO012-010,33.95000076293945,D:expdisk_hr3,21.139999389648438,D;BAR,5
ESO012-014,33.150001525878906,D:expdisk_hr3,83.01000213623047,D;BAR,4
ESO013-016,21.059999465942383,D:expdisk_hr3,17.25,D;BAR,5
ESO015-001,23.899999618530273,D:expdisk_hr3,52.52000045776367,D;BAR,5
ESO026-001,19.40999984741211,D:expdisk_hr3,12.59000015258789,D;BAR;N,5
ESO027-001,24.670000076293945,D:expdisk_hr3,31.15999984741211,B;D;BAR,5
ESO027-008,23.65999984741211,D:expdisk_hr3,,D;N,5
ESO048-017,20.65999984741211,D:expdisk_hr3,26.799999237060547,D;BAR;N,5
ESO054-021,47.11000061035156,D:expdisk_hr3,24.760000228881836,D;BAR,5
ESO079-003,14.729999542236328,Z:edgedisk_hr2,,B;Z,4
ESO079-005,21.540000915527344,D:expdisk_hr3,56.45000076293945,D;BAR,4
ESO079-007,14.5,D:expdisk_hr3,22.469999313354492,BAR;D,5
ESO085-014,31.010000228881836,D:expdisk_hr3,51.68000030517578,D;BAR,5
ESO085-030,9.699999809265137,Z:edgedisk_hr2,,B;Z,4
ESO085-047,9.930000305175781,D:expdisk_hr3,,D,5
ESO107-016,15.229999542236328,Z:edgedisk_hr2,,Z,4
ESO114-007,13.039999961853027,D:expdisk_hr3,,D,5
ESO115-021,54.040000915527344,Z:edgedisk_hr2,,B;Z,4
ESO119-016,32.720001220703125,D:expdisk_hr3,,D,5
ESO120-012,20.299999237060547,D:expdisk_hr3,,D,5
ESO120-021,23.540000915527344,D:expdisk_hr3,,D,5
ESO145-025,28.860000610351562,D:expdisk_hr3,51.369998931884766,D;BAR,5
ESO146-014,28.84000015258789,Z:edgedisk_hr2,,B;Z,4
ESO149-001,28.440000534057617,D:expdisk_hr3,,D,5
ESO149-003,15.520000457763672,D:expdisk_hr3,,D,5
ESO150-005,34.630001068115234,D:expdisk_hr3,,D,5
ESO154-023,95.45999908447266,D:expdisk_hr3,,D,3
ESO157-049,12.640000343322754,Z:edgedisk_hr2,,Z;N,4
ESO159-025,17.610000610351562,D:expdisk_hr3,,D,5
ESO187-035,15.390000343322754,D:expdisk_hr3,,D,5
ESO187-051,39.54999923706055,D:expdisk_hr3,,D,4
ESO202-035,15.130000114440918,Z:edgedisk_hr2,,B;Z,4
ESO202-041,16.549999237060547,D:expdisk_hr3,33.459999084472656,D;BAR,4
ESO234-043,28.829999923706055,D:expdisk_hr3,36.790000915527344,D;BAR;N,4
ESO234-049,14.600000381469727,D:expdisk_hr3,,D,5
ESO236-039,10.199999809265137,D:expdisk_hr3,,D,5
ESO237-049,14.859999656677246,Z:edgedisk_hr2,,Z;N,4
