r_kpc,vobs_km_s,errv_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,vn_km_s,v_tpg_v6_km_s,v_mond_km_s,x_R_over_RHI,x_w_frozen,warp_kernel_frozen,primary_total_v2_km2_s2,wrong_sign_total_v2_km2_s2,pred_TAU_WARP_TRANSFER_PRIMARY,resid_TAU_WARP_TRANSFER_PRIMARY,pred_TAU_WARP_TRANSFER_SOURCE_SPEED_SENSITIVITY,resid_TAU_WARP_TRANSFER_SOURCE_SPEED_SENSITIVITY,pred_TAU_WARP_TRANSFER_SOURCE_HI_DENOMINATOR_SENSITIVITY,resid_TAU_WARP_TRANSFER_SOURCE_HI_DENOMINATOR_SENSITIVITY,pred_NEWTONIAN_BARYONIC,resid_NEWTONIAN_BARYONIC,pred_TPG_V6_FIXED,resid_TPG_V6_FIXED,pred_MOND_FIXED_A0,resid_MOND_FIXED_A0,pred_CONTROL_WRONG_NGC4088_ONSET,resid_CONTROL_WRONG_NGC4088_ONSET,pred_CONTROL_WRONG_UGC08490_ONSET,resid_CONTROL_WRONG_UGC08490_ONSET,pred_CONTROL_WRONG_P2,resid_CONTROL_WRONG_P2,pred_CONTROL_WRONG_SIGN,resid_CONTROL_WRONG_SIGN,pred_NFW_TWO_PARAMETER_ENDPOINT_FIT,resid_NFW_TWO_PARAMETER_ENDPOINT_FIT,pred_PSEUDO_ISOTHERMAL_TWO_PARAMETER_ENDPOINT_FIT,resid_PSEUDO_ISOTHERMAL_TWO_PARAMETER_ENDPOINT_FIT,construction_used_pointwise_vobs_or_residual,scoring_used_vobs,claim_boundary
0.11,56.2,28.5,-1.03,10.27,44.15,37.63152003307865,41.05626419849186,41.79010408781139,0.005508262393590386,0.9045638853160114,0.0,1416.1312999999998,1416.1312999999998,37.63152003307865,-18.568479966921352,37.63152003307865,-18.568479966921352,37.63152003307865,-18.568479966921352,37.63152003307865,-18.568479966921352,41.05626419849186,-15.143735801508143,41.79010408781139,-14.40989591218861,37.63152003307865,-18.568479966921352,37.63152003307865,-18.568479966921352,37.63152003307865,-18.568479966921352,37.63152003307865,-18.568479966921352,38.7419820848087,-17.458017915191306,37.65877577752786,-18.541224222472145,False,True,retrospective_class_replication_negative_not_tau_falsification
0.23,64.6,22.7,-1.23,20.21,75.69,64.90756827982388,69.20963895894037,70.28085364830747,0.011517275913870808,0.9045638853160114,0.0,4212.992419999999,4212.992419999999,64.90756827982388,0.307568279823883,64.90756827982388,0.307568279823883,64.90756827982388,0.307568279823883,64.90756827982388,0.307568279823883,69.20963895894037,4.60963895894038,70.28085364830747,5.680853648307476,64.90756827982388,0.307568279823883,64.90756827982388,0.307568279823883,64.90756827982388,0.307568279823883,64.90756827982388,0.307568279823883,66.25783338067873,1.6578333806787384,64.97660141225617,0.3766014122561785,False,True,retrospective_class_replication_negative_not_tau_falsification
0.34,70.2,17.2,-1.32,28.3,90.09,77.97466428270147,83.2573749138495,84.56084960195793,0.017025538307461195,0.9045638853160114,0.0,6080.04827,6080.04827,77.97466428270147,7.774664282701465,77.97466428270147,7.774664282701465,77.97466428270147,7.774664282701465,77.97466428270147,7.774664282701465,83.2573749138495,13.0573749138495,84.56084960195793,14.360849601957923,77.97466428270147,7.774664282701465,77.97466428270147,7.774664282701465,77.97466428270147,7.774664282701465,77.97466428270147,7.774664282701465,79.63391495260313,9.433914952603132,78.10009215305767,7.90009215305767,False,True,retrospective_class_replication_negative_not_tau_falsification
0.46,71.6,11.7,-1.38,36.17,97.29,85.31102460995297,91.76944482259067,93.28700580242148,0.023034551827741615,0.9045638853160114,0.0,7277.970920000001,7277.970920000001,85.31102460995297,13.711024609952972,85.31102460995297,13.711024609952972,85.31102460995297,13.711024609952972,85.31102460995297,13.711024609952972,91.76944482259067,20.169444822590677,93.28700580242148,21.68700580242148,85.31102460995297,13.711024609952972,85.31102460995297,13.711024609952972,85.31102460995297,13.711024609952972,85.31102460995297,13.711024609952972,87.35754059881783,15.75754059881784,85.52049444511077,13.920494445110776,False,True,retrospective_class_replication_negative_not_tau_falsification
0.57,71.0,11.3,-1.41,42.64,98.4,87.6634969642439,95.32182113004308,96.99893847324607,0.028542814221331998,0.9045638853160114,0.0,7684.8887,7684.8887,87.6634969642439,16.663496964243905,87.6634969642439,16.663496964243905,87.6634969642439,16.663496964243905,87.6634969642439,16.663496964243905,95.32182113004308,24.321821130043077,96.99893847324607,25.99893847324607,87.6634969642439,16.663496964243905,87.6634969642439,16.663496964243905,87.6634969642439,16.663496964243905,87.6634969642439,16.663496964243905,90.12357299664802,19.123572996648022,87.97581780790092,16.975817807900924,False,True,retrospective_class_replication_negative_not_tau_falsification
0.69,69.0,9.37,-1.36,48.95,99.3,89.99191435901339,98.87534208998713,100.69393776912347,0.03455182774161242,0.9045638853160114,0.0,8098.544650000001,8098.544650000001,89.99191435901339,20.991914359013393,89.99191435901339,20.991914359013393,89.99191435901339,20.991914359013393,89.99191435901339,20.991914359013393,98.87534208998713,29.87534208998713,100.69393776912347,31.693937769123465,89.99191435901339,20.991914359013393,89.99191435901339,20.991914359013393,89.99191435901339,20.991914359013393,89.99191435901339,20.991914359013393,92.88343509443037,23.883435094430368,90.43647749038627,21.436477490386267,False,True,retrospective_class_replication_negative_not_tau_falsification
0.8,67.7,6.23,-1.23,54.16,100.36,92.28017457720807,102.1972766645396,104.12606169625299,0.04006009013520281,0.9045638853160114,0.0,8515.630619999998,8515.630619999998,92.28017457720807,24.58017457720807,92.28017457720807,24.58017457720807,92.28017457720807,24.58017457720807,92.28017457720807,24.58017457720807,102.1972766645396,34.4972766645396,104.12606169625299,36.42606169625299,92.28017457720807,24.58017457720807,92.28017457720807,24.58017457720807,92.28017457720807,24.58017457720807,92.28017457720807,24.58017457720807,95.54066308947945,27.84066308947945,92.86121786966748,25.16121786966748,False,True,retrospective_class_replication_negative_not_tau_falsification
0.92,66.9,4.0,-0.91,59.24,100.84,94.191053821475,105.21005487844752,107.23831442020727,0.04606910365548323,0.9045638853160114,0.0,8871.954619999999,8871.954619999999,94.191053821475,27.29105382147499,94.191053821475,27.29105382147499,94.191053821475,27.29105382147499,94.191053821475,27.29105382147499,105.21005487844752,38.31005487844752,107.23831442020727,40.33831442020727,94.191053821475,27.29105382147499,94.191053821475,27.29105382147499,94.191053821475,27.29105382147499,94.191053821475,27.29105382147499,97.85358665417343,30.95358665417342,94.9410817632804,28.04108176328039,False,True,retrospective_class_replication_negative_not_tau_falsification
1.03,66.6,3.1,0.49,63.4,101.52,96.04393463410378,108.00854256318361,110.11720161526145,0.05157736604907361,0.9045638853160114,0.0,9224.43738,9224.43738,96.04393463410378,29.443934634103783,96.04393463410378,29.443934634103783,96.04393463410378,29.443934634103783,96.04393463410378,29.443934634103783,108.00854256318361,41.408542563183616,110.11720161526145,43.517201615261456,96.04393463410378,29.443934634103783,96.04393463410378,29.443934634103783,96.04393463410378,29.443934634103783,96.04393463410378,29.443934634103783,100.05502738095389,33.455027380953894,96.96239579371569,30.36239579371569,False,True,retrospective_class_replication_negative_not_tau_falsification
1.14,66.8,3.02,1.27,67.15,100.91,96.87184224530883,109.82551690763285,111.9930719046075,0.057085628442663995,0.9045638853160114,0.0,9384.15382,9384.15382,96.87184224530883,30.07184224530883,96.87184224530883,30.07184224530883,96.87184224530883,30.07184224530883,96.87184224530883,30.07184224530883,109.82551690763285,43.02551690763285,111.9930719046075,45.19307190460751,96.87184224530883,30.07184224530883,96.87184224530883,30.07184224530883,96.87184224530883,30.07184224530883,96.87184224530883,30.07184224530883,101.26073538743677,34.46073538743677,97.98256788998862,31.18256788998862,False,True,retrospective_class_replication_negative_not_tau_falsification
