field,required_for_visual_review_completion,initial_value,may_use_endpoint_scores,claim_boundary
reviewer_id,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
review_timestamp_utc,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
present_day_morphology_label,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
outer_disk_lsb_tail_evidence,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
hi_extent_or_asymmetry_evidence,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
bar_m2_evidence,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
edge_projection_caveat,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
vertical_flare_warp_evidence,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
compact_bulge_evidence,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
ring_resonance_evidence,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
morphological_memory_history_proxy_judgment,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
review_confidence,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
residual_blind_family_recommendation,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
review_sources_used,True,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
review_notes,False,REVIEW_RESPONSE_PENDING,False,p0_visual_review_response_intake_not_label_not_endpoint
