split,formula_family,winner_tau_tpg_mond,n_galaxies
holdout,K_compact_finite,tau_matched,4
holdout,K_compact_finite,tpg_v6,3
holdout,K_exponential_disk,mond,4
holdout,K_exponential_disk,tau_matched,2
holdout,K_exponential_disk,tpg_v6,1
holdout,K_scale_tail_spiral,mond,5
holdout,K_scale_tail_spiral,tau_matched,3
holdout,K_scale_tail_spiral,tpg_v6,12
holdout,K_thick_flared,mond,3
holdout,K_thick_flared,tau_matched,7
train,K_compact_finite,mond,4
train,K_compact_finite,tau_matched,6
train,K_compact_finite,tpg_v6,12
train,K_exponential_disk,mond,13
train,K_exponential_disk,tau_matched,10
train,K_exponential_disk,tpg_v6,2
train,K_scale_tail_spiral,mond,16
train,K_scale_tail_spiral,tau_matched,11
train,K_scale_tail_spiral,tpg_v6,33
train,K_thick_flared,mond,10
train,K_thick_flared,tau_matched,13
train,K_thick_flared,tpg_v6,1
