driver,radial_index,q_min,q_max,q_range,sign_stable,n_scenarios
geometry_only,0,-0.063185760782,0.0419152471199,0.105101007902,False,8
geometry_only,1,-0.0503819303158,0.0530638772517,0.103445807567,False,8
geometry_only,2,-0.00486115817769,0.110179108831,0.115040267009,False,8
geometry_only,3,-0.0138354444552,0.0673223288609,0.0811577733161,False,8
geometry_only,4,-0.0731116532385,0.0116103867142,0.0847220399527,False,8
geometry_only,5,-0.13553113665,-0.0582616548402,0.07726948181,True,8
stellar_psf_only,0,-0.0602914089201,-0.0602336406494,5.77682707546e-05,True,3
stellar_psf_only,1,-0.0363664633144,-0.0361366110701,0.000229852244304,True,3
stellar_psf_only,2,0.0347263203393,0.0347277752622,1.45492291868e-06,True,3
stellar_psf_only,3,0.024578544594,0.0246084570953,2.99125012894e-05,True,3
stellar_psf_only,4,-0.0419226503252,-0.0399555235859,0.00196712673932,True,3
stellar_psf_only,5,-0.0991162570479,-0.0990450892008,7.11678470479e-05,True,3
h2_conversion_only,0,-0.0609436814541,-0.0599241332436,0.00101954821058,True,3
h2_conversion_only,1,-0.0361366110701,-0.0352531458273,0.000883465242719,True,3
h2_conversion_only,2,0.0331147416557,0.0366422901634,0.00352754850773,True,3
h2_conversion_only,3,0.0243277081334,0.0247803430872,0.000452634953804,True,3
h2_conversion_only,4,-0.0432829393769,-0.0344622645437,0.00882067483327,True,3
h2_conversion_only,5,-0.109093254459,-0.087178795652,0.0219144588075,True,3
