galaxy,split,formula_family,n_points,rmse_matched,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
CamB,holdout,K_scale_tail_spiral,9,6.0209726468474685,1.145758561263805,2.665365774674866,-7.6168258904604915,-9.60255143959399,4.704739258997784,6.0209726468474685,5.697360114011961,4.223542883741245
ESO116-G012,holdout,K_exponential_disk,15,21.6453241295679,-5.469064898947764,-25.14109781751507,10.137122461556872,12.536657640686279,33.062620571133095,21.198623839288974,21.6453241295679,27.081922675124932
F561-1,holdout,K_scale_tail_spiral,6,16.578889078035736,3.862819296125844,6.985472354845335,-11.977962802488975,-15.94713064594081,12.250463602294039,16.578889078035736,14.849827088434928,11.047918655000709
F563-1,holdout,K_scale_tail_spiral,17,47.658197899135516,-3.0068405590631784,-14.819359356087432,22.962364209501963,29.212510502713755,52.87260945907571,47.658197899135516,47.652664295586284,51.46984161993408
F568-1,holdout,K_thick_flared,12,53.65952622156717,1.4845403799842103,-16.20330560973641,20.158915687891145,23.685337367908637,57.67556179082793,49.493005341121744,49.35639039279922,53.65952622156717
IC2574,holdout,K_scale_tail_spiral,34,11.289670815878749,-2.806932923709187,-12.493876183406693,3.7758556606529483,-2.223499028680072,15.201642542596753,11.289670815878749,12.061557271030232,15.026611405136826
IC4202,holdout,K_compact_finite,32,54.63257479387947,19.97055601684452,-14.489018900417733,28.531059834702557,28.50454450530033,54.63257479387947,37.388609332568684,34.9583816258005,31.63906537273566
NGC0024,holdout,K_thick_flared,29,33.799186558486255,2.399131138261371,-13.382105921680804,11.641372474389268,13.146563985536886,35.832486639185504,27.819584703880874,30.54809491760826,33.799186558486255
NGC2683,holdout,K_thick_flared,11,34.785471150798266,2.8561277449893296,-29.209127734249996,24.470640810985593,20.634455736287844,45.017170183204364,23.562845733031665,27.208014301190783,34.785471150798266
NGC3726,holdout,K_thick_flared,12,13.961643650696937,-5.186331711413976,-36.44242141843198,-9.67023309573756,-12.363701090472846,31.701779102881293,12.422209079846935,13.31993790360451,13.961643650696937
NGC3949,holdout,K_thick_flared,7,14.328976608782284,-15.700786371728878,-14.188299835383155,5.378818378098757,3.0310719863539504,22.972196141475543,39.80704474731389,27.310048052744058,14.328976608782284
NGC3972,holdout,K_thick_flared,10,22.556655237487377,2.055905920607586,-21.90293970543066,14.750227150623111,15.781907376590562,26.582817763732397,16.587568476697335,18.33186171020964,22.556655237487377
NGC4013,holdout,K_compact_finite,36,43.65185285847547,18.080511071361933,-22.039446252738934,31.37794032641829,29.317630800156344,43.65185285847547,17.274339275546556,24.721984261424154,34.717701824369904
NGC4088,holdout,K_thick_flared,12,29.75967695579264,-13.99586758908983,4.363387654268742,-9.22805954286704,-12.424168861011221,32.84722717794195,53.26383427736417,45.15557217934129,29.75967695579264
NGC4183,holdout,K_exponential_disk,23,26.848515747760622,-3.8910444229368792,-21.56234043472302,20.358822256646526,16.493522153353908,34.67649243649363,25.603930375798583,26.848515747760622,31.938257699800285
NGC4214,holdout,K_scale_tail_spiral,14,29.589169953909288,-3.7803930310799068,-14.027066848886069,11.598122650602853,14.310288449059358,35.27045955875963,29.589169953909288,30.80488565706022,34.033343739147746
NGC4389,holdout,K_thick_flared,6,49.29597036406947,-9.266313315975992,25.729676164685067,2.7390418252121904,0.7948675657608959,48.22815594208035,67.99575110082452,59.462943997231505,49.29597036406947
NGC5907,holdout,K_thick_flared,19,52.11956992849675,5.359591651354805,-34.36417832651836,35.334059943037445,33.524205113519514,58.94719917978134,38.64140809731549,42.69132755432901,52.11956992849675
NGC5985,holdout,K_compact_finite,33,107.25929848704557,19.585635053595354,-29.236904925771725,34.971908095784954,37.8557184931321,107.25929848704557,81.69245323476575,85.74928049278031,95.5792565728046
NGC6789,holdout,K_scale_tail_spiral,4,17.32861320432261,-2.5715784738555065,-9.169789372305999,1.4308609651457544,1.9323670047451333,21.034758044815106,17.32861320432261,18.177251308755643,20.488565680963603
NGC6946,holdout,K_compact_finite,58,24.134213212195913,8.709642372152517,-18.015683114288382,9.108765786989334,6.406070116776316,24.134213212195913,19.918326450999626,16.13930524311895,10.216080826011614
NGC7331,holdout,K_thick_flared,36,14.16944195431125,-15.177953746012353,-45.1849098350165,-11.315623105759762,-15.142233276108453,29.501936839822786,31.78464035486612,26.7556099062819,14.16944195431125
UGC00731,holdout,K_scale_tail_spiral,12,27.702165921566124,-2.1005523387686935,-10.471441459645323,14.856712854663025,16.23533888578506,30.609453858695687,27.702165921566124,28.03650791507295,30.76219300723582
UGC00891,holdout,K_scale_tail_spiral,5,16.856220646504546,-3.022653232149967,-11.543842427197585,10.897855088206022,9.1741389919988,20.651332489065638,16.856220646504546,17.713378517952975,21.271910628944926
UGC02023,holdout,K_scale_tail_spiral,5,2.2854550006640393,-1.8811943218642977,-12.741692629796567,-9.9125938833822,-11.694381766293382,5.207480909740445,2.2854550006640393,2.189459139718346,5.1030079181262185
UGC02259,holdout,K_exponential_disk,8,34.83278399540543,-2.207019717049917,-13.271343638937438,18.397643162340277,21.17134224326896,39.263526818325204,33.504981431080125,34.83278399540543,38.35090288796071
UGC03580,holdout,K_compact_finite,47,24.446297700994464,-4.439901861659461,-11.565713612496744,-1.0482284497725765,-2.7264088540368796,24.446297700994464,25.047357691447846,32.61528398441889,28.99595701209503
UGC04305,holdout,K_scale_tail_spiral,22,16.457347741188034,2.510216024673108,10.095783054188349,-7.54227396529485,-10.131016449527298,13.359622047177055,16.457347741188034,15.985592616224015,12.496180486143711
UGC04499,holdout,K_scale_tail_spiral,9,13.241098137561293,-3.6849884526688808,-15.499693705722569,7.200463946188365,4.25607654910872,18.4079728128533,13.241098137561293,14.383320935305152,17.98696602253207
UGC05414,holdout,K_scale_tail_spiral,6,5.499035516030844,-3.5134493161024594,-13.977992520678256,-0.9017771182803935,-2.7628486279024713,10.512315184686262,5.499035516030844,6.6921014504208385,9.833037861292809
UGC05716,holdout,K_scale_tail_spiral,12,26.634465686160787,-2.776525265245663,-11.961251736575228,20.789596860206096,21.02881840335272,30.603742224591468,26.634465686160787,27.14843608493953,30.480794544688365
UGC05829,holdout,K_scale_tail_spiral,11,14.138714366746425,-1.9704701295169098,-10.615606002545016,7.91603652123602,5.531808969818574,16.926531468213955,14.138714366746425,14.697568287165378,16.703453733410676
UGC05986,holdout,K_scale_tail_spiral,15,30.836243288403907,-6.302459107966946,-23.200430334083173,13.304083435078631,15.776943924660083,39.80628206601388,30.836243288403907,33.23831164312005,38.37151347997864
UGC06818,holdout,K_scale_tail_spiral,8,10.571913021337195,-4.239796329151952,-16.498516925034895,-1.814207738540377,-3.091708813080695,16.13432278546251,10.571913021337195,12.32011096211158,15.980694303893362
UGC06917,holdout,K_scale_tail_spiral,11,23.698517195828096,-6.461793934863369,-22.741405181068387,17.267580717959092,19.083437862134254,32.5475923898576,23.698517195828096,26.579855515556662,31.353485486660137
UGC06983,holdout,K_scale_tail_spiral,17,34.45795797388035,-5.2075095783737595,-20.083349196450584,23.421118914693892,25.308987222494256,41.65319854455166,34.45795797388035,36.247694263124615,41.09550984908605
UGC07151,holdout,K_exponential_disk,11,13.600290880566886,-1.7275601198546653,-13.622140071279608,9.288378559150747,7.984339628561564,17.396378751104674,12.511871756533733,13.600290880566886,16.075302493626243
UGC07261,holdout,K_exponential_disk,7,19.3360177405992,-1.9755701060551232,-13.714832780303222,15.039178402884172,14.719199179471431,23.574086202307242,17.753174799036305,19.3360177405992,22.607502538619425
UGC07577,holdout,K_scale_tail_spiral,9,4.388359987278231,1.3927160377089263,1.9441266987087449,-6.213361979927284,-8.737406136130279,2.7857983358627902,4.388359987278231,3.727216852146142,2.4739166606989835
UGC07603,holdout,K_exponential_disk,12,20.89586925927162,-1.828642510972628,-10.558074374926143,11.576971963487262,14.080211923171344,24.39021228999651,19.994662945301293,20.89586925927162,23.78866007543494
UGC08699,holdout,K_compact_finite,41,44.32411165926629,26.46509726671001,-12.934012734942236,29.13980389936166,30.845949693263044,44.32411165926629,14.016086582236676,17.64204032762555,21.918916267806622
UGC11914,holdout,K_compact_finite,65,58.01589831050319,0.8136136251706318,4.486140232018393,24.195755241664074,27.8182972218246,58.01589831050319,63.37027498490075,64.39287288785681,43.84370618324011
UGC12506,holdout,K_exponential_disk,31,75.17510344480904,-6.354449896372685,-40.8483547177033,34.477260861429535,37.05240804371333,88.09442165444283,72.0004095403374,75.17510344480904,84.49382882876493
UGCA444,holdout,K_scale_tail_spiral,36,7.907851367118135,-1.2716387289837074,-6.563448872984677,4.849841922641355,2.980279974570565,9.859019080975111,7.907851367118135,7.837418749420522,9.842032457909896
D512-2,train,K_scale_tail_spiral,4,10.202172537488932,-2.550153639310782,-7.483971521203705,7.688222718639148,3.640288747375614,13.658642087068738,10.202172537488932,11.462853763158611,13.135482680171798
D564-8,train,K_scale_tail_spiral,6,7.380325204838845,-1.1313211350108885,-4.272739123366727,3.9810306671481994,0.21623464893775424,8.921207908774113,7.380325204838845,7.7040422655654,8.909688845209686
D631-7,train,K_scale_tail_spiral,16,16.489129765034193,-2.0057733350618143,-9.840966328938851,6.131037211112552,5.967312085262215,19.395346639853337,16.489129765034193,16.503971377239058,19.58539128319562
DDO064,train,K_scale_tail_spiral,14,8.932284428048042,-1.6101270700595034,-9.007996763292052,6.198992643000318,5.383951634188872,11.293902237648592,8.932284428048042,9.286425860831233,11.046906395842813
DDO154,train,K_scale_tail_spiral,12,15.907109974877551,-1.7396696812409882,-7.805066952057418,12.362126196242247,11.455277362202985,18.36973343436883,15.907109974877551,16.05685704335354,18.513748490633247
DDO161,train,K_scale_tail_spiral,31,7.812345178744738,-2.9492253438691227,-15.510683931903138,-5.76687452513787,-10.757317646526737,13.016416715890841,7.812345178744738,7.48861489244971,11.779679959501033
DDO168,train,K_scale_tail_spiral,10,9.29847379186166,-2.534486398770646,-11.720400430410962,2.5708351181091063,1.4184992421279974,12.756714802151178,9.29847379186166,9.529367284985744,13.21279848476
DDO170,train,K_scale_tail_spiral,8,15.685980955472319,-2.9907464008723803,-11.648039635300472,8.205779815587693,1.3157796731296738,19.93294411455117,15.685980955472319,16.31927122210201,19.77796673238092
ESO079-G014,train,K_thick_flared,15,24.17523248674391,0.2908666287743067,-31.57135154867383,11.652578460246986,12.777690079339433,29.773937998964822,20.80782362879956,21.07133594614443,24.17523248674391
ESO444-G084,train,K_scale_tail_spiral,7,24.61039319474037,-1.6686398289287574,-8.739410839974664,10.69327850264744,14.097184015116914,27.99730032371354,24.61039319474037,24.186562362207276,26.653236385086576
ESO563-G021,train,K_thick_flared,30,58.92386318281968,2.751171054838366,-59.05580694282532,11.196714019060089,14.43719141353671,75.10627646309159,45.18739474477238,48.22440517607997,58.92386318281968
F563-V1,train,K_scale_tail_spiral,6,9.915921524234996,2.098255267278941,4.967202960832452,-13.753570703021193,-19.423036435888548,7.52955585207893,9.915921524234996,9.245973023153875,6.677469895635357
F563-V2,train,K_scale_tail_spiral,10,37.29019256296495,-5.229606647254336,-21.747630423097206,11.051244759614509,13.861360077791012,48.51366476952362,37.29019256296495,37.875115800764306,41.17061706036992
F565-V2,train,K_scale_tail_spiral,7,28.974296439262318,-2.8999861866465295,-12.113616987719027,17.013524750831436,22.057647369538447,32.87742036053635,28.974296439262318,29.618881211726677,33.12654630546351
F567-2,train,K_scale_tail_spiral,5,13.25928602340851,-1.539433196866403,-7.615031381097605,-0.7573499698098267,-6.146945930856887,15.772594774276575,13.25928602340851,13.810056036997727,14.813506849550441
