permutation,tpg_mse_reduction
0,-0.04687730271906232
1,-0.02774462463684335
2,0.03181130289943623
3,-0.03782291171154528
4,0.07605396831108058
5,-0.002257579541068422
6,0.03168949740855864
7,-0.02376193766956669
8,-0.0040098235922785275
9,-0.004475577521146912
10,0.08066477284330537
11,-0.0002874756730515404
12,0.021211799756942318
13,-0.11303718785652939
14,-0.014345621885786808
15,-0.009636038642144573
16,-0.01852687681531473
17,-0.03623697080164723
18,0.031140798608405684
19,-0.0034720593971344638
20,0.001459617029381688
21,-0.01190926362179967
22,0.020045950736236717
23,-0.04199477519104211
24,0.03381257538780047
25,-0.016334412604982917
26,-0.044064122755148594
27,-0.05300504491451574
28,-0.0180454856732144
29,-0.045854391866259836
30,-0.016896664782443227
31,-0.030643575949331536
32,-0.02955213917388022
33,-0.05549260886545382
34,-0.0008801979151158434
35,0.03954474752066994
36,-0.03410132445646885
37,0.00627933419676685
38,-0.030086328977099064
39,-0.05688993175970425
40,-0.025056213704846675
41,-0.01405521607568383
42,-0.056536974849836996
43,-0.03358739270742994
44,-0.05800422024152285
45,-0.06297627578389109
46,-0.06322888315766706
47,-0.035886183613132894
48,-0.008210718356151947
49,-0.06835128638886545
50,-0.05287766068188826
51,0.03085605000093139
52,-0.039187907083250484
53,-0.06086502960496731
54,-0.07735153485380075
55,-0.12578151313207908
56,-0.06312718783321558
57,-0.09388499248104609
58,-0.06938371605015159
59,-0.0049698446128276785
60,-0.10314287646079645
61,-0.04690993870735294
62,-0.09504325090552712
63,-0.052107274791597824
64,-0.11233012521099106
65,-0.10785351324067438
66,-0.04922359527614195
67,0.1503249876568974
68,-0.015050998377901914
69,-0.015746810416003343
70,-0.05092209777046475
71,-0.05722688418633237
72,-0.022311379342123572
73,-0.020405950274879014
74,-0.011858081834145717
75,-0.020210346821629033
76,-0.132291695032552
77,-0.08524391709451673
78,-0.026191626001198176
79,-0.06477567795893946
80,-0.04785967370095723
81,-0.1221246002836075
82,-0.0535280572701331
83,-0.03413283346968532
84,-0.03593419901521544
85,0.0006114116865599817
86,0.006576002067622211
87,-0.08115255187011394
88,-0.028206659813293067
89,-0.09800277936322443
90,-0.010309479314928316
91,-0.0040833930315477
92,-0.10474638264674418
93,-0.05034518486969797
94,-0.07280250053889792
95,0.0003385586779272032
96,-0.04132554525869403
97,-0.004517428436512705
98,-0.05801347784474353
99,-0.02131938454380744
100,-0.013623257666488309
101,-0.019838375812650577
102,-0.05158474959129744
