line,annulus,r_mid_arcsec,delta_common_km_s,sigma_common_km_s,n_plus,n_minus
HB4861,1,20.0,-12.143764028241646,1.6988032376264757,44,45
HB4861,2,30.0,-16.47945737072132,1.5940013585553108,64,63
HB4861,3,40.0,-16.988132251187288,1.5180852548260482,86,84
HB4861,4,50.0,-12.56086121378061,1.5706488669329732,106,107
HB4861,5,60.0,-9.636991224276915,1.5509089407471852,132,112
OIII5006,1,20.0,-12.545880985195815,2.4638447931528287,40,43
OIII5006,2,30.0,-22.8650125803781,2.421212402997232,48,56
OIII5006,3,40.0,-27.462121416556585,2.241877220397876,67,67
OIII5006,4,50.0,-21.134903594708597,3.197745798147278,69,35
OIII5006,5,60.0,-13.785667053384145,2.7542710105512627,80,12
HA6562,1,20.0,-12.057921410808845,1.6881092497522758,44,45
HA6562,2,30.0,-16.40752311323465,1.582185650832723,64,63
HA6562,3,40.0,-16.913720224614487,1.50793279109705,86,84
HA6562,4,50.0,-12.472557169515627,1.5578880342202643,106,109
HA6562,5,60.0,-9.551963536006907,1.5255616062873345,132,129
NII6583,1,20.0,-14.270742127320272,1.9333758067532627,44,45
NII6583,2,30.0,-19.88317488788284,1.8802885694903184,64,63
NII6583,3,40.0,-22.094506443505203,1.7760099221610357,86,84
NII6583,4,50.0,-16.743724344809284,1.8234463087115993,106,109
NII6583,5,60.0,-12.414141929014137,1.7780191413469104,132,129
SII6716,1,20.0,-14.608433726485785,1.9118398248621888,44,45
SII6716,2,30.0,-19.75232293168934,1.8789837445572461,64,63
SII6716,3,40.0,-22.115906322374826,1.7738717257147794,86,84
SII6716,4,50.0,-16.762841281140208,1.8209513224070144,106,109
SII6716,5,60.0,-12.336779235036124,1.7746304476959982,132,129
