radius_arcsec,radius_kpc_source,inclination_deg,inclination_error_deg,pa_deg,pa_error_deg,tip_deg,tip_error_deg,lon_deg,lon_error_deg,inner_flat_source_zone,warp_transition_or_outer_zone
0,0.0,56.1,23.7,257.4,26.2,0.0,0.0,349.0,180.0,True,False
12,0.24,56.1,14.1,257.4,38.7,0.0,0.0,349.0,180.0,True,False
24,0.48,56.1,4.0,257.4,11.0,0.0,0.0,349.0,180.0,True,False
36,0.72,56.1,7.4,257.4,6.2,0.0,0.0,349.0,180.0,True,False
48,0.96,56.1,9.5,257.4,4.0,0.0,0.0,349.0,180.0,True,False
60,1.2,56.1,11.7,257.4,7.2,0.0,0.0,349.0,180.0,True,False
72,1.45,56.1,6.2,257.4,4.3,0.0,0.0,349.0,180.0,True,False
84,1.69,56.1,4.0,257.4,4.0,0.0,0.0,349.0,180.0,True,False
96,1.93,56.1,4.0,257.4,4.0,0.0,0.0,349.0,180.0,True,False
108,2.17,56.1,4.0,257.4,4.0,0.0,0.0,349.0,180.0,True,False
120,2.41,56.1,4.0,257.4,4.0,0.0,0.0,349.0,180.0,True,False
132,2.65,56.1,4.0,257.4,4.0,0.0,0.0,349.0,180.0,True,False
144,2.89,56.1,4.0,257.4,4.0,0.0,0.0,349.0,180.0,True,False
156,3.13,50.4,4.0,258.8,4.0,5.8,4.0,349.8,31.1,False,True
168,3.37,48.0,4.0,261.4,4.0,8.6,3.9,339.9,21.1,False,True
180,3.61,42.7,4.0,264.0,4.0,14.3,3.9,341.5,12.0,False,True
210,4.22,28.9,4.0,286.3,6.1,32.9,3.5,334.6,6.6,False,True
240,4.82,30.1,4.0,310.6,18.9,42.9,9.3,323.9,6.5,False,True
270,5.42,34.8,4.0,309.7,4.0,41.6,2.4,317.1,6.0,False,True
300,6.02,37.6,4.0,317.5,4.0,46.0,2.5,312.7,5.6,False,True
330,6.63,39.3,4.0,316.1,4.0,45.2,2.6,310.3,5.7,False,True
360,7.23,42.4,4.0,318.5,4.0,46.9,2.8,306.1,5.5,False,True
390,7.83,39.0,4.0,319.4,4.0,47.2,2.6,310.9,5.5,False,True
420,8.43,34.1,25.0,322.2,25.0,48.6,14.1,317.5,33.4,False,True
