galaxy,model_id,split,formula_family,best_family,n_points,rmse_kms,mae_kms,bias_kms,uses_vobs_for_generation,uses_vobs_for_scoring,validation_claim_allowed,claim_boundary
IC2574,TAU_BEST_FAMILY,holdout,K_scale_tail_spiral,K_exponential_disk,34,3.1133225699753826,2.6831820041482124,1.750465299968595,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,TPG_V6,holdout,K_scale_tail_spiral,K_exponential_disk,34,7.5138151552258,7.156672577415502,7.156672577415502,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,TAU_MATCHED,holdout,K_scale_tail_spiral,K_exponential_disk,34,10.566965630734453,10.317421602396319,10.317421602396319,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,MOND,holdout,K_scale_tail_spiral,K_exponential_disk,34,13.51316984455882,13.28012446330932,13.28012446330932,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,NEWTONIAN_vn,holdout,K_scale_tail_spiral,K_exponential_disk,34,23.78354699928544,21.84183008813334,-21.84183008813334,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC4202,TAU_BEST_FAMILY,holdout,K_compact_finite,K_compact_finite,32,25.94895537395008,15.120645452154271,6.548823271021208,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC4202,TAU_MATCHED,holdout,K_compact_finite,K_compact_finite,32,25.94895537395008,15.120645452154271,6.548823271021208,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC4202,TPG_V6,holdout,K_compact_finite,K_compact_finite,32,26.101514959176914,15.420997460197782,0.7060555765012673,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC4202,MOND,holdout,K_compact_finite,K_compact_finite,32,26.12803028857914,13.809925461655101,4.0974684359081195,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC4202,NEWTONIAN_vn,holdout,K_compact_finite,K_compact_finite,32,69.1215936942972,66.49372813500041,-54.66612491289201,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4013,TAU_BEST_FAMILY,holdout,K_compact_finite,K_exponential_disk,36,10.880207082032726,9.527505585335067,1.9669534490109766,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4013,TPG_V6,holdout,K_compact_finite,K_exponential_disk,36,12.273912532057183,10.51317958681637,6.976160799448241,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4013,MOND,holdout,K_compact_finite,K_exponential_disk,36,14.334222058319126,11.940526592221131,11.652644110903989,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4013,TAU_MATCHED,holdout,K_compact_finite,K_exponential_disk,36,16.99356852880305,14.768670103493783,14.575783372306915,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4013,NEWTONIAN_vn,holdout,K_compact_finite,K_exponential_disk,36,65.6912991112144,61.89739219678362,-61.89739219678362,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,holdout,K_thick_flared,K_exponential_disk,12,25.396289301523897,20.14829671825156,-14.866396779224035,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4088,TAU_BEST_FAMILY,holdout,K_thick_flared,K_exponential_disk,12,36.488889677922,35.482768254734744,35.482768254734744,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4088,TAU_MATCHED,holdout,K_thick_flared,K_exponential_disk,12,37.811387707787695,36.810343623541314,36.810343623541314,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4088,TPG_V6,holdout,K_thick_flared,K_exponential_disk,12,38.98773649865968,37.98427345369512,37.98427345369512,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4088,MOND,holdout,K_thick_flared,K_exponential_disk,12,42.18384581680386,41.21370829714395,41.21370829714395,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4183,TAU_BEST_FAMILY,holdout,K_exponential_disk,K_thick_flared,23,5.86059025816848,5.043793643217224,-0.36014876552703057,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4183,TAU_MATCHED,holdout,K_exponential_disk,K_thick_flared,23,6.224581287933666,4.861061606453337,-2.847441831629876,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4183,TPG_V6,holdout,K_exponential_disk,K_thick_flared,23,6.489693491114096,5.691795954294289,1.525545769954252,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4183,MOND,holdout,K_exponential_disk,K_thick_flared,23,10.354993594406714,9.238435646259008,6.133752603613956,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC4183,NEWTONIAN_vn,holdout,K_exponential_disk,K_thick_flared,23,48.41085618248364,47.48360801611337,-47.48360801611337,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC5907,TAU_BEST_FAMILY,holdout,K_thick_flared,K_thick_flared,19,16.383392586061934,10.476805450038091,-3.678646079766618,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC5907,TAU_MATCHED,holdout,K_thick_flared,K_thick_flared,19,16.383392586061934,10.476805450038091,-3.678646079766618,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC5907,TPG_V6,holdout,K_thick_flared,K_thick_flared,19,16.785509985459306,11.474535051084796,-1.0070373834271935,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC5907,MOND,holdout,K_thick_flared,K_thick_flared,19,18.59536481497724,15.131128882572375,4.349801671850053,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC5907,NEWTONIAN_vn,holdout,K_thick_flared,K_thick_flared,19,86.48374825501512,85.67165917635336,-85.67165917635336,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
