galaxy,proxy_formula_family_for_scope,sparc_distance_mpc,sparc_rdisk_kpc,sparc_inclination_deg,s4g_match_status,s4g_name,s4g_disk_scale_arcsec,scale_radius_kpc,scale_radius_source,s4g_bar_radius_arcsec,bar_radius_kpc,s4g_model_components,s4g_model_quality_values,candidate_observable_status,observable_provenance,residual_blind_certification,claim_boundary
CamB,K_scale_tail_spiral,3.36,0.47,65.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
ESO116-G012,K_exponential_disk,13.0,1.51,74.0,S4G_MATCHED,ESO116-012,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F561-1,K_scale_tail_spiral,66.4,2.79,24.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F563-1,K_scale_tail_spiral,48.9,3.52,25.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F568-1,K_thick_flared,90.7,5.18,26.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
IC2574,K_scale_tail_spiral,3.91,2.78,75.0,S4G_MATCHED,IC2574,204.44000244140625,3.8754049865265485,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
IC4202,K_compact_finite,100.4,4.78,90.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC0024,K_thick_flared,7.3,1.34,64.0,S4G_MATCHED,NGC0024,39.470001220703125,1.39689723855784,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,12.640000343322754,0.4473468717729916,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC2683,K_thick_flared,9.81,2.18,80.0,S4G_MATCHED,NGC2683,46.459999084472656,2.2096458003959802,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,81.41000366210938,3.871874219694534,D;BAR;N,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3726,K_thick_flared,18.0,3.4,53.0,S4G_MATCHED,NGC3726,49.9900016784668,4.362446514010629,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
