galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_thick_flared,projection_kernel,projection_attenuation,delta_v2_projection,v_projection_accepted,endpoint_scores_allowed,claim_boundary
NGC5907,5.03,214.0,6.0,126.46604781521404,161.6229909937617,164.37400251901263,160.71239656097794,0.0,0.0,0.0,161.6229909937617,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,7.55,220.0,6.0,146.66101748590182,190.6306834445936,193.73030876776076,189.6354546571411,0.0,0.0,0.0,190.6306834445936,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,10.07,235.0,4.0,160.5556657362175,212.26654213448657,215.55701860167673,211.31267922240076,0.0,0.0,0.0,212.26654213448657,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,12.58,235.0,4.0,165.48979711752625,224.6834576868467,227.91606160968783,223.80561301823397,0.0,0.0,0.0,224.6834576868467,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,15.1,230.0,2.0,160.7081856969333,227.36393445306896,230.32301879850743,226.55870348992232,0.04577565353600669,0.0031304201503105917,-161.82506210049905,227.0077831878875,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,17.61,231.0,2.0,156.73541798202473,229.85745315937857,232.6989805415634,229.13630006727564,0.2586628509403413,0.017688953366520672,-934.5861004899343,227.8154135971181,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,20.13,232.0,2.0,153.661250971089,232.47567979957643,235.34551917823083,231.83783542983613,0.6133650156013284,0.041945664474755,-2266.9509910335473,227.54777675741337,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,22.65,225.0,7.0,150.19248017127887,234.0745129315577,237.0938666139261,233.50968147496476,0.9384972540917403,0.06418020253733847,-3516.4896218326103,226.43848608907754,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,25.16,224.0,7.0,141.6895341936023,229.93289266420095,233.3132426168066,229.41899867124795,1.0,0.0683861377937124,-3615.5159599612016,221.93156415653397,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,27.68,229.0,2.0,137.05893057367695,229.0819380720924,232.9499906637435,228.61894210040316,1.0,0.0683861377937124,-3588.804281330391,221.11022154015313,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,30.2,218.0,2.0,135.9406033898629,231.5275966238275,235.85693328859335,231.11376240907194,1.0,0.0683861377937124,-3665.8408311347885,223.47077474978911,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,32.71,214.0,2.0,130.19747635803083,228.5058717009564,233.6092326334268,228.1242732937413,1.0,0.0683861377937124,-3570.777630505967,220.55420143653572,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,35.23,213.0,2.0,127.72858744227932,228.7414341844729,234.53349162577376,228.39222343896384,1.0,0.0683861377937124,-3578.143522672777,220.78156669001325,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,37.75,211.0,2.0,122.46015086549582,225.36401527865476,232.1484879706559,225.03715593301428,1.0,0.0683861377937124,-3473.259407009362,217.52167702440227,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,40.26,217.0,2.0,119.73971897411484,224.63462986524263,232.27847877443844,224.33030900151675,1.0,0.0683861377937124,-3450.8135414655408,216.81767315703075,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,42.78,216.0,3.0,115.40623055104088,221.6291435522813,230.37298317156615,221.34141531207968,1.0,0.0683861377937124,-3359.091341058811,213.91677337380278,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,45.29,215.0,3.0,112.60664345410532,220.23728973669077,229.97373377607803,219.96581667430814,1.0,0.0683861377937124,-3317.0329443915834,212.57335403613382,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,47.81,217.0,5.0,109.9054944031462,218.745683309751,229.51115795182355,218.48838787586004,1.0,0.0683861377937124,-3272.254397267534,211.13365333215438,True,ngc5907_projection_accepted_endpoint_preliminary_control
NGC5907,50.33,214.0,5.0,109.03524246774523,219.49054012344249,231.05972266187916,219.24824485378207,1.0,0.0683861377937124,-3294.57722173418,211.85259021769437,True,ngc5907_projection_accepted_endpoint_preliminary_control
