galaxy,dustpedia_table,match_status,claim_boundary
CamB,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
CamB,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
CamB,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
CamB,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
CamB,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
CamB,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
CamB,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
CamB,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
CamB,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D512-2,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D512-2,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D512-2,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D512-2,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D512-2,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D512-2,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D512-2,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D512-2,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D512-2,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D564-8,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D564-8,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D564-8,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D564-8,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D564-8,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D564-8,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D564-8,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
