galaxy,foreground_lens_geometry_weight,foreground_angular_weight,stellar_crowding_angular_weight,background_angular_control_weight,stellar_crowding_count,foreground_redshift_count,background_redshift_count
IC2574,0.0,0.0,1.5840405679354326,0.0,23,0,0
NGC0024,0.0,0.0,0.1210357869986905,0.0,6,0,0
NGC0055,0.003946947450862419,0.024530142415847726,103.20382595707457,0.4287810561078765,293,1,18
NGC0100,0.0,0.0,0.18777316229080476,0.4740857484852718,6,0,5
NGC0247,0.0,0.0,12.590372943161798,0.2035597963958426,35,0,5
NGC0289,0.0,0.0,0.0345469577337143,0.11805672389470406,3,0,8
NGC0300,0.0,0.0,319.4384681232938,0.8456085468815502,1301,0,10
NGC1090,0.0,0.0,5.375909206559624,1.2241935984002938,27,0,35
NGC1705,0.0,0.0,140.72702764212582,0.04926441430540629,19,0,2
NGC2683,0.0,0.0,1.1064880664396937,0.5672652734818724,8,0,25
NGC2841,0.0,0.0,24.20046083276398,0.40318679304981137,104,0,15
NGC2903,0.0,0.0,1008.6714284904633,0.29310266342767105,79,0,10
NGC2976,0.0,0.0,0.06920108371517862,0.06984080256804913,5,0,1
NGC3198,0.0,0.0,48.63473259323766,1.1634962557519986,162,0,18
NGC3521,0.009185479282479708,0.2541273156516371,9.950747883242258,0.6920419363685176,84,2,35
NGC3726,0.08300668205400974,0.6636040825370075,2.2423597330746206,0.7982364709835583,8,1,21
NGC3769,0.0,0.0,0.21731770332259884,0.8136724973824419,7,0,14
NGC3877,0.0,0.0,1.9143883908316353,0.9161630824119373,10,0,24
NGC3893,0.0,0.0,0.559471688449264,1.0523168632226267,14,0,15
NGC3917,0.0,0.0,0.0944228998277497,3.972110565957819,5,0,22
NGC3949,0.0,0.0,4.629751282143616,0.7533028453187046,10,0,17
NGC3953,0.0,0.0,1.4440246910699732,0.46515228100435135,18,0,16
NGC3972,0.0,0.0,248.75674086391675,1.0620178357457637,116,0,22
NGC3992,0.0,0.0,1.192189679583192,0.3419908276100297,16,0,15
NGC4010,0.0,0.0,0.29926588126222087,1.515484527573884,13,0,21
NGC4013,0.0,0.0,24.687382135441695,0.7524691001244185,12,0,27
NGC4051,0.0,0.0,7.784993268499451,1.3506430562639655,9,0,19
NGC4068,0.0,0.0,1.1901459159343994,0.38926197691491815,6,0,15
NGC4085,0.0,0.0,0.4279648054522036,1.5284160301502498,11,0,21
NGC4088,0.0,0.0,2.3022532685212878,0.4151508083433335,10,0,16
NGC4100,0.0,0.0,0.3541139402272813,0.547656917849469,10,0,22
NGC4138,0.0,0.0,0.5356414197065055,0.4919762094974619,5,0,16
NGC4157,0.0,0.0,2.9071522796394187,0.8008419380445612,22,0,27
NGC4183,0.0,0.0,0.49845786594981956,0.8999503476544564,8,0,22
NGC4214,0.19255131993423352,1.1178239690864165,169.17439508675986,0.8536648443533152,50,1,18
NGC4217,0.0035873063948395384,0.02140928942704511,1.7950834146953656,0.26729928601428476,15,1,12
NGC4389,0.0,0.0,0.27377574343447575,1.405795627372027,12,0,21
NGC4559,0.0,0.0,2.901236177124281,0.5919925475466723,13,0,12
NGC5005,0.0,0.0,5.721541224067635,0.23021714757017545,20,0,11
NGC5033,0.006719445085791119,0.04512515998799143,1.7862377378680607,1.0901020450418673,25,1,22
NGC5055,0.0027816261700110154,0.015962824457434053,112.52881839600866,12.705197961798417,57,1,18
NGC5371,0.0,0.0,5.816505550753803,0.28999788926642833,37,0,8
NGC5585,0.0,0.0,66.89437127590753,0.42377429572907294,31,0,19
NGC5907,0.0,0.0,5.496345576079324,0.4091637564080515,87,0,14
NGC5985,0.0,0.0,1.350659947491188,0.886728061225545,40,0,20
NGC6015,0.0,0.0,0.3323611050415591,0.41365357218898763,7,0,13
NGC6503,0.0,0.0,1.7526133376146456,0.07461398876010028,3,0,3
NGC7793,0.0,0.0,246.99898159915796,0.35795962706669315,226,0,16
UGC00191,0.0,0.0,0.09745804074142185,0.38609422314093583,3,0,10
UGC00634,0.0,0.0,0.1607246964920745,1.3705189062274685,6,0,14
UGC00891,0.0,0.0,0.05525952462031649,0.5864830810900372,3,0,13
UGC04305,0.0,0.0,12.82142217266122,0.12798234850482773,26,0,6
UGC04483,0.0,0.0,0.37899307143491473,0.015290791609010956,8,0,1
UGC04499,0.0,0.0,1.226082118551738,0.5589676916173236,14,0,16
UGC05764,0.0,0.0,6.114350705934723,0.6356266640036571,12,0,15
UGC05829,0.0,0.0,0.7176268991393161,0.563029293491483,11,0,25
UGC05918,0.0,0.0,0.11234172518062151,0.40777615960439206,4,0,9
UGC06399,0.0,0.0,0.6802470044837758,2.137907304189127,13,0,34
UGC06446,0.0,0.0,0.3950473740570177,0.9853569794068824,4,0,33
UGC06628,0.0,0.0,1.1895490599743765,1.3533331233124528,8,0,19
UGC06667,0.0,0.0,0.33220116272811645,0.7005334940190285,6,0,21
UGC06818,0.0,0.0,0.37809442290962014,0.6400488660449744,5,0,16
UGC06917,0.0,0.0,5.579599577266654,1.2481239860767257,5,0,21
UGC06930,0.0,0.0,2.4196490469902914,4.399831783030347,9,0,14
UGC06983,0.0,0.0,0.7427914668971063,14.59297770821426,4,0,27
UGC07089,0.0,0.0,0.22538857864763945,1.2854989242129162,12,0,24
UGC07125,0.0,0.0,2.9622636759285896,1.092214594809582,6,0,20
