Name,xc,yc,PA,Ell,Rmin,Rmax,Flag,S4G,Simbad,NED,Nf,Comm,Tmag,q,PA1,n,Re,_RA,_DE
UGC07239,445.83,777.69,112.4,0.195,67,75,ok,S4G,Simbad,NED,2,,13.34,0.832,119.19,1.38,48.22,183.53767,7.77717
UGC07242,262.0,632.0,127.5,0.392,30,37,u,S4G,Simbad,NED,0,No fit,,,,,,183.53704,66.09425
UGC07249,495.45,782.69,65.3,0.737,52,60,ok,S4G,Simbad,NED,1,,15.51,0.287,62.39,0.845,29.61,183.65717,12.81308
UGC07257,296.08,788.49,166.3,0.347,35,43,ok,S4G,Simbad,NED,2,,14.37,0.475,171.48,1.113,17.25,183.76231,35.95845
UGC07267,653.77,300.5,49.8,0.559,37,56,ok,S4G,Simbad,NED,1,,14.4,0.396,49.97,0.837,25.76,183.84583,51.34917
UGC07271,630.33,773.82,154.3,0.613,60,75,ok,S4G,Simbad,NED,2,,14.43,0.429,160.88,1.106,25.72,183.88946,43.43475
UGC07300,564.82,773.94,132.0,0.225,42,45,u,S4G,Simbad,NED,1,,14.9,0.551,123.68,1.396,52.21,184.18012,28.73217
UGC07301,289.35,784.25,80.9,0.856,18,41,ok,S4G,Simbad,NED,1,,15.17,0.144,80.99,0.918,30.23,184.17534,46.07877
UGC07321,760.31,383.73,81.9,0.905,75,112,z,S4G,Simbad,NED,2,,12.96,0.079,81.81,1.781,68.16,184.39175,22.53982
UGC07332,473.7,778.13,115.1,0.075,37,45,u,S4G,Simbad,NED,0,Fit uncertain,14.76,0.633,127.35,0.953,38.15,184.484,0.43619
UGC07387,456.87,779.57,16.7,0.872,26,30,z,S4G,Simbad,NED,1,,13.45,0.1,16.54,1.207,23.84,185.0723,4.20143
UGC07394,472.33,780.8,145.8,0.816,48,56,z,S4G,Simbad,NED,1,,14.52,0.139,146.44,1.513,28.17,185.11511,1.47004
UGC07396,476.38,780.88,105.5,0.725,60,71,u,S4G,Simbad,NED,2,,14.5,0.333,103.84,1.413,24.54,185.14067,0.78806
UGC07408,632.07,301.97,69.4,0.225,78,90,u,S4G,Simbad,NED,1,,13.72,0.644,90.5,1.013,50.34,185.31362,45.81169
UGC07490,784.09,285.4,130.0,0.103,75,86,ok,S4G,Simbad,NED,1,,13.09,0.928,5.81,0.854,40.95,186.10346,70.33414
UGC07522,469.43,779.14,128.7,0.882,30,37,z,S4G,Simbad,NED,1,,12.41,0.079,128.84,0.835,35.15,186.49568,3.42731
UGC07534,724.17,669.71,37.2,0.343,22,33,u,S4G,Simbad,NED,1,,13.96,0.759,31.45,1.658,50.73,186.53329,58.32181
UGC07557,285.77,789.92,12.8,0.763,82,93,u,S4G,Simbad,NED,0,No fit,,,,,,186.79746,7.26256
