Name,xc,yc,PA,Ell,Rmin,Rmax,Flag,S4G,Simbad,NED,Nf,Comm,Tmag,q,PA1,n,Re,_RA,_DE
ESO011-005,780.84,299.02,42.7,0.747,13,16,z,S4G,Simbad,NED,2,,14.52,0.231,43.46,1.329,18.61,325.2435,-82.79967
ESO012-010,760.68,294.95,146.2,0.542,75,90,ok,S4G,Simbad,NED,2,,13.31,0.493,156.97,1.592,56.38,359.115,-81.56639
ESO012-014,782.57,459.99,31.0,0.58,67,75,u,S4G,Simbad,NED,2,,14.67,0.411,23.92,0.884,47.35,0.68417,-80.34639
ESO013-016,478.49,282.78,165.7,0.343,52,82,ok,S4G,Simbad,NED,2,,12.75,0.508,168.64,1.314,38.85,23.20167,-79.47389
ESO015-001,291.43,294.8,125.7,0.586,56,75,u,S4G,Simbad,NED,2,,14.39,0.357,110.22,1.131,34.34,55.93917,-80.10528
ESO026-001,795.5,495.47,19.3,0.06,52,60,ok,S4G,Simbad,NED,3,,12.52,0.689,58.26,3.126,62.93,306.25922,-81.57529
ESO027-001,776.34,294.63,12.5,0.216,112,127,u,S4G,Simbad,NED,3,,10.75,0.765,74.38,5.423,96.07,328.11014,-81.53076
ESO027-008,755.99,297.75,145.1,0.666,90,97,ok,S4G,Simbad,NED,2,,11.59,0.368,146.96,0.712,34.43,335.76745,-79.99693
ESO048-017,782.63,545.21,63.0,0.47,48,56,ok,S4G,Simbad,NED,3,,14.22,0.331,61.47,1.986,38.76,332.2319,-73.38196
ESO054-021,306.1,292.06,88.4,0.514,135,165,ok,S4G,Simbad,NED,2,,11.84,0.552,79.78,1.974,84.66,57.45602,-71.63538
ESO079-003,754.89,282.11,130.2,0.858,26,30,z,S4G,Simbad,NED,2,,11.44,0.14,130.93,1.112,23.78,8.00888,-64.25347
ESO079-005,793.9,259.08,171.2,0.411,60,65,u,S4G,Simbad,NED,2,,13.64,0.366,7.52,0.835,30.14,10.18523,-63.44029
ESO079-007,559.61,295.66,18.3,0.192,48,56,ok,S4G,Simbad,NED,2,,13.36,0.743,3.7,1.118,24.27,12.51717,-66.55275
ESO085-014,268.39,297.55,83.6,0.63,75,105,ok,S4G,Simbad,NED,2,,12.98,0.298,76.28,1.357,52.0,73.67985,-62.80058
ESO085-030,299.66,284.05,156.4,0.467,45,60,z,S4G,Simbad,NED,2,,13.14,0.498,147.17,1.377,12.16,75.374,-63.29334
ESO085-047,306.35,297.21,31.6,0.461,48,52,u,S4G,Simbad,NED,2,,14.84,0.479,32.67,1.409,37.53,76.93292,-62.99
ESO107-016,692.1,769.73,85.3,0.74,45,67,z,S4G,Simbad,NED,1,,14.99,0.184,86.17,1.261,31.65,319.02758,-64.81678
ESO114-007,500.0,276.0,129.4,0.227,48,51,u,S4G,Simbad,NED,1,,14.62,0.593,68.93,1.134,25.12,26.62654,-58.67417
ESO115-021,297.18,261.75,42.3,0.794,90,165,z,S4G,Simbad,NED,2,,13.16,0.194,42.42,1.228,86.79,39.45651,-61.3316
ESO116-012,509.79,581.64,26.3,0.62,71,82,u,S4G,Simbad,NED,0,No fit,,,,,,48.26977,-57.35725
ESO119-016,291.29,296.31,25.3,0.638,67,75,ok,S4G,Simbad,NED,1,,14.35,0.484,17.81,0.848,43.67,72.87167,-61.65083
ESO120-012,292.0,290.0,86.4,0.325,57,62,ok,S4G,Simbad,NED,2,,13.84,0.551,97.11,1.118,31.12,84.99577,-58.58549
ESO120-021,303.88,295.5,111.2,0.5,45,50,ok,S4G,Simbad,NED,1,,15.25,0.461,117.1,0.526,33.04,88.30917,-59.06611
ESO145-025,753.07,733.2,111.6,0.334,60,75,ok,S4G,Simbad,NED,2,,14.05,0.727,128.36,1.247,45.09,328.52375,-57.61333
ESO146-014,713.45,656.79,49.2,0.841,52,67,z,S4G,Simbad,NED,2,,14.68,0.154,49.02,1.909,55.96,333.25042,-62.06806
ESO149-001,784.24,487.68,27.7,0.75,90,120,ok,S4G,Simbad,NED,1,,13.08,0.225,29.87,1.269,55.44,356.95375,-57.07139
ESO149-003,294.85,301.11,147.6,0.671,39,48,u,S4G,Simbad,NED,1,,15.43,0.353,144.64,1.082,26.05,358.01167,-52.57889
ESO150-005,797.23,388.15,12.2,0.179,82,97,ok,S4G,Simbad,NED,2,,13.39,0.862,32.05,1.722,64.79,5.6065,-53.6475
ESO154-023,815.65,323.37,39.8,0.839,262,300,ok,S4G,Simbad,NED,1,,12.45,0.211,39.55,1.068,142.33,44.21,-54.57139
ESO157-049,594.67,767.96,30.4,0.844,15,26,z,S4G,Simbad,NED,3,,12.71,0.15,30.37,1.079,17.31,69.90368,-53.01265
ESO159-025,296.89,284.5,71.6,0.212,41,45,ok,S4G,Simbad,NED,1,,14.9,0.747,90.02,0.857,28.4,85.77667,-52.70611
ESO187-035,521.91,766.87,127.4,0.444,33,48,u,S4G,Simbad,NED,1,,15.14,0.407,114.9,1.476,36.5,314.23454,-55.72047
ESO187-051,540.41,773.14,8.5,0.676,22,52,u,S4G,Simbad,NED,1,,13.56,0.414,13.41,2.565,155.44,316.88625,-54.95306
ESO202-035,297.8,295.57,134.2,0.781,45,75,z,S4G,Simbad,NED,2,,12.48,0.183,134.0,1.298,25.29,68.06844,-49.67583
ESO202-041,307.04,298.86,154.5,0.32,37,45,u,S4G,Simbad,NED,2,,15.2,0.488,166.17,1.607,31.56,69.23621,-52.17367
ESO234-043,615.45,781.3,91.3,0.331,45,52,u,S4G,Simbad,NED,3,,13.66,0.549,62.73,2.252,58.96,308.05792,-48.52833
ESO234-049,629.32,772.6,78.2,0.075,60,75,ok,S4G,Simbad,NED,2,,12.79,0.93,164.18,1.391,23.36,308.82525,-49.8655
ESO236-039,608.51,735.11,83.7,0.536,15,22,ok,S4G,Simbad,NED,1,,15.46,0.472,84.56,0.976,16.83,326.3125,-49.00778
ESO237-049,666.9,706.57,37.0,0.814,15,30,z,S4G,Simbad,NED,2,,14.44,0.153,35.91,1.363,29.99,334.01417,-47.66194
ESO237-052,668.09,701.06,59.7,0.516,48,60,ok,S4G,Simbad,NED,3,,14.08,0.452,59.44,1.578,25.88,334.44717,-49.25996
ESO238-018,695.01,676.2,7.5,0.09,30,33,ok,S4G,Simbad,NED,2,,14.3,0.873,125.42,1.095,15.7,338.93246,-50.89069
ESO240-004,774.28,536.94,139.7,0.862,11,15,z,S4G,Simbad,NED,1,,15.71,0.211,139.88,0.865,25.21,351.97133,-51.13214
ESO240-011,1121.84,802.23,127.4,0.849,67,82,z,S4G,Simbad,NED,2,,11.03,0.115,127.19,1.305,43.82,354.45615,-47.72739
ESO245-005,256.14,228.41,138.1,0.262,75,90,u,S4G,Simbad,NED,2,,12.73,0.664,123.23,1.05,103.0,26.26542,-43.59778
ESO245-007,282.0,237.0,34.3,0.074,93,112,u,S4G,Simbad,NED,1,,12.95,0.954,102.61,0.587,88.98,27.77625,-44.44472
ESO248-002,292.46,293.5,14.6,0.757,75,112,ok,S4G,Simbad,NED,2,,13.37,0.23,16.56,0.939,47.58,46.27586,-45.96202
ESO249-008,294.63,292.69,160.9,0.322,30,39,ok,S4G,Simbad,NED,2,,14.03,0.574,169.42,1.53,11.98,54.3286,-43.58614
ESO249-026,295.03,296.39,172.2,0.459,33,36,ok,S4G,Simbad,NED,1,,15.27,0.519,166.04,1.422,31.67,58.55375,-43.75722
ESO249-027,303.16,293.98,85.3,0.668,45,67,ok,S4G,Simbad,NED,1,,14.81,0.292,88.81,1.13,31.05,58.62221,-44.75358
ESO249-035,283.1,297.75,97.4,0.847,37,41,z,S4G,Simbad,NED,1,,16.44,0.171,97.79,1.281,23.54,59.735,-45.85889
ESO249-036,779.52,284.55,120.5,0.322,37,41,u,S4G,Simbad,NED,0,No fit,,,,,,59.81333,-45.87056
ESO285-048,598.95,751.26,81.8,0.575,45,67,ok,S4G,Simbad,NED,2,,13.06,0.414,82.51,1.028,32.44,311.1676,-45.97852
ESO286-044,616.09,734.8,121.0,0.394,45,52,ok,S4G,Simbad,NED,1,,12.58,0.589,123.1,18.166,28.27,316.4111,-42.78124
ESO287-009,657.46,709.31,104.8,0.814,26,37,z,S4G,Simbad,NED,2,,13.63,0.144,104.61,1.293,22.16,320.31784,-46.15283
ESO287-037,589.01,765.12,49.6,0.103,48,67,ok,S4G,Simbad,NED,2,,13.23,0.754,15.0,1.325,32.3,323.63342,-44.31478
ESO287-043,595.2,750.92,108.0,0.809,26,33,z,S4G,Simbad,NED,2,,13.97,0.17,108.95,1.03,26.77,324.552,-43.93452
ESO288-013,612.52,734.34,67.0,0.065,45,52,ok,S4G,Simbad,NED,1,,14.14,0.997,34.07,0.689,21.02,327.94417,-43.12417
ESO289-010,662.17,705.04,122.5,0.874,30,45,z,S4G,Simbad,NED,2,,14.1,0.107,122.74,1.08,31.85,334.18039,-47.11862
ESO289-026,668.75,704.26,153.2,0.5,56,78,u,S4G,Simbad,NED,1,,13.53,0.377,123.25,3.542,91.17,335.88846,-42.27458
ESO289-048,695.43,673.45,141.4,0.692,60,67,ok,S4G,Simbad,NED,2,,14.29,0.309,141.5,1.436,26.12,340.23694,-45.6603
ESO291-024,743.57,611.49,90.9,0.733,37,52,ok,S4G,Simbad,NED,2,,14.43,0.289,87.5,1.344,25.74,350.91937,-42.40244
ESO292-014,770.63,559.94,84.5,0.902,22,37,z,S4G,Simbad,NED,2,,12.99,0.096,84.57,1.079,34.19,355.64682,-44.90485
ESO293-034,295.32,258.89,10.9,0.844,52,60,z,S4G,Simbad,NED,2,,11.59,0.203,10.34,2.496,34.11,1.58298,-41.4999
ESO293-045,294.86,285.16,142.1,0.667,41,52,u,S4G,Simbad,NED,2,,15.46,0.265,134.47,0.985,21.12,2.85346,-41.39822
ESO298-015,317.36,275.9,57.1,0.588,63,71,ok,S4G,Simbad,NED,2,,13.97,0.38,58.96,1.073,33.52,32.66212,-40.91808
ESO298-023,297.86,280.07,166.9,0.078,26,33,ok,S4G,Simbad,NED,1,,14.78,0.744,58.01,1.353,19.46,33.61458,-39.18611
ESO300-014,386.14,649.94,165.9,0.565,142,172,ok,S4G,Simbad,NED,1,,12.68,0.435,166.85,1.191,92.75,47.40779,-41.03047
ESO302-009,297.06,287.05,50.0,0.7,63,67,ok,S4G,Simbad,NED,3,,14.27,0.263,48.24,1.567,46.04,56.89167,-38.57694
ESO302-014,289.23,291.92,121.5,0.491,35,40,u,S4G,Simbad,NED,1,,15.74,0.652,119.2,0.743,29.88,57.92,-38.45361
ESO302-021,293.71,287.12,8.3,0.678,30,36,ok,S4G,Simbad,NED,1,,16.05,0.293,6.94,1.294,16.25,58.96908,-40.68442
ESO305-009,430.65,285.7,53.8,0.254,90,97,ok,S4G,Simbad,NED,2,,13.34,0.723,88.82,1.822,69.61,77.03175,-38.30931
ESO305-017,429.84,273.05,63.3,0.666,52,59,ok,S4G,Simbad,NED,1,,14.5,0.281,63.18,0.698,31.62,78.75196,-41.39267
ESO340-008,219.17,215.15,34.0,0.845,3,11,z,S4G,Simbad,NED,1,,14.3,0.091,34.2,0.763,11.37,304.29916,-40.92369
ESO340-009,254.01,257.92,97.8,0.819,7,15,z,S4G,Simbad,NED,2,,14.5,0.168,98.1,1.148,22.91,304.33548,-38.67368
ESO340-017,535.36,776.54,114.1,0.485,41,48,ok,S4G,Simbad,NED,2,,13.41,0.303,102.51,1.8,24.29,304.92367,-39.2886
ESO340-042,557.22,772.99,71.9,0.313,48,63,ok,S4G,Simbad,NED,3,,12.85,0.59,102.23,3.519,112.05,308.73292,-40.62417
ESO341-032,585.52,748.22,127.5,0.068,30,45,ok,S4G,Simbad,NED,2,,13.39,0.882,97.83,1.197,24.35,315.88917,-39.44417
ESO342-013,583.38,767.08,167.0,0.597,41,60,ok,S4G,Simbad,NED,2,,13.1,0.226,158.43,1.754,24.16,317.50195,-37.50375
ESO342-050,620.11,760.89,25.7,0.36,75,97,ok,S4G,Simbad,NED,2,,11.92,0.611,29.72,1.175,34.93,322.06275,-37.8613
ESO345-046,690.04,680.64,66.9,0.129,75,105,ok,S4G,Simbad,NED,2,,13.08,0.814,103.92,1.541,41.93,340.81542,-39.8675
ESO346-001,696.9,673.98,64.3,0.857,18,33,z,S4G,Simbad,NED,2,,13.33,0.097,64.45,1.257,21.5,342.14102,-39.649
ESO346-014,699.17,672.16,56.2,0.817,30,45,z,S4G,Simbad,NED,2,,14.62,0.123,57.32,2.317,25.69,343.77936,-38.58331
ESO347-008,740.42,616.54,39.1,0.128,32,35,u,S4G,Simbad,NED,1,,14.14,0.755,48.6,1.938,74.34,350.20125,-41.73083
ESO347-017,712.59,660.28,91.5,0.53,71,76,u,S4G,Simbad,NED,1,,14.26,0.363,93.44,0.872,31.37,351.735,-37.34611
ESO347-029,724.17,641.7,146.7,0.64,60,97,ok,S4G,Simbad,NED,3,Fit fails,,,,,,354.11346,-38.78244
ESO355-026,287.59,287.57,155.9,0.453,45,52,ok,S4G,Simbad,NED,2,,13.01,0.543,155.82,0.711,23.3,38.07295,-35.03018
ESO356-018,290.78,283.29,77.6,0.743,42,48,ok,S4G,Simbad,NED,1,,14.9,0.212,75.59,0.949,23.47,43.802,-36.30017
ESO357-007,301.94,293.84,131.9,0.79,60,74,z,S4G,Simbad,NED,2,Fit fails,,,,,,47.60146,-33.15617
ESO357-012,290.07,288.53,129.4,0.378,75,97,ok,S4G,Simbad,NED,2,,13.19,0.711,116.42,1.497,63.32,49.22229,-35.54131
ESO357-025,470.12,780.18,28.1,0.589,39,42,ok,S4G,Simbad,NED,2,,14.88,0.414,27.64,1.56,13.01,50.90532,-35.77838
ESO358-005,477.41,782.62,92.8,0.263,42,45,ok,S4G,Simbad,NED,1,,14.59,0.732,103.3,0.503,24.72,51.81921,-33.48611
ESO358-015,324.42,288.59,158.4,0.24,45,48,ok,S4G,Simbad,NED,2,,15.1,0.71,171.52,1.144,16.4,53.27846,-34.80881
ESO358-020,286.43,288.12,159.8,0.438,22,26,ok,S4G,Simbad,NED,2,,14.37,0.496,161.74,0.846,18.08,53.73889,-32.63979
ESO358-025,308.37,284.96,55.6,0.379,45,56,ok,S4G,Simbad,NED,2,,13.2,0.591,59.54,1.48,14.71,53.88806,-32.46487
ESO358-051,502.0,772.0,2.4,0.496,52,58,ok,S4G,Simbad,NED,2,,13.56,0.45,9.93,1.22,16.54,55.38586,-34.88834
ESO358-054,294.04,291.06,80.1,0.365,44,48,ok,S4G,Simbad,NED,1,,14.0,0.658,84.55,1.288,39.28,55.75812,-36.27122
ESO358-060,549.26,292.14,97.7,0.702,31,36,u,S4G,Simbad,NED,1,,16.53,0.289,100.32,0.733,28.88,56.30058,-35.57092
ESO358-063,713.02,1033.19,130.5,0.711,150,225,ok,S4G,Simbad,NED,3,,11.27,0.185,132.02,1.434,42.15,56.5792,-34.94356
ESO359-003,288.29,286.2,127.1,0.668,63,69,ok,S4G,Simbad,NED,2,,13.98,0.308,128.26,1.262,24.08,58.00379,-33.46761
ESO359-022,506.2,286.66,26.3,0.498,19,20,ok,S4G,Simbad,NED,1,,16.66,0.382,16.64,0.544,12.29,62.18992,-35.3895
ESO359-029,487.35,287.29,16.8,0.493,39,45,ok,S4G,Simbad,NED,1,,14.44,0.481,19.73,0.956,29.94,63.21112,-33.00111
ESO359-031,491.81,289.26,43.2,0.09,25,27,ok,S4G,Simbad,NED,1,,14.49,0.875,91.3,0.787,17.83,63.29004,-34.42633
ESO361-009,270.74,281.25,43.1,0.66,48,54,u,S4G,Simbad,NED,1,,15.21,0.362,43.19,0.691,45.52,71.74417,-35.9175
ESO361-015,323.57,262.65,94.8,0.703,86,96,ok,S4G,Simbad,NED,1,,12.82,0.255,95.27,0.945,36.88,72.98893,-33.17929
ESO361-019,419.81,270.85,100.0,0.618,41,48,ok,S4G,Simbad,NED,2,,14.29,0.392,92.42,1.017,14.75,73.72015,-37.32117
ESO362-009,309.81,247.07,35.2,0.243,112,150,ok,S4G,Simbad,NED,1,,12.69,0.742,38.06,0.766,69.05,77.99708,-32.9725
ESO362-011,861.28,882.36,75.7,0.809,22,45,z,S4G,Simbad,NED,3,,11.63,0.169,75.69,1.328,37.36,79.16167,-37.10252
ESO362-019,497.25,274.21,0.4,0.69,67,74,ok,S4G,Simbad,NED,2,,14.18,0.305,176.02,0.782,39.35,80.2675,-36.95667
ESO399-025,466.95,782.84,158.2,0.288,37,52,ok,S4G,Simbad,NED,2,,12.2,0.557,156.99,8.261,11.74,303.36548,-37.18874
ESO400-025,488.07,774.82,142.4,0.518,45,54,ok,S4G,Simbad,NED,2,,14.28,0.455,141.16,1.258,36.16,306.9082,-32.95747
ESO402-025,539.76,766.71,80.4,0.621,30,37,ok,S4G,Simbad,NED,2,,14.96,0.269,82.95,1.037,18.88,320.56577,-36.62768
ESO402-026,544.71,762.13,109.1,0.643,52,82,ok,S4G,Simbad,NED,3,,11.52,0.525,95.73,7.357,9.82,320.6308,-36.68159
ESO402-030,542.28,766.86,137.9,0.378,22,30,ok,S4G,Simbad,NED,2,,12.88,0.531,139.06,1.769,8.01,321.68521,-34.49904
ESO403-024,587.68,749.86,46.5,0.375,45,52,ok,S4G,Simbad,NED,2,,14.32,0.559,41.48,1.54,23.79,326.66571,-36.20531
ESO403-031,589.69,750.32,148.2,0.393,37,45,ok,S4G,Simbad,NED,2,,14.89,0.596,163.24,1.842,26.71,327.01833,-36.77389
ESO404-003,593.73,745.31,9.0,0.471,52,63,ok,S4G,Simbad,NED,2,,13.29,0.421,20.66,1.103,23.04,328.16556,-36.50283
ESO404-012,591.81,746.17,118.8,0.15,75,97,ok,S4G,Simbad,NED,3,,11.83,0.687,129.28,2.271,25.34,329.27991,-34.58227
ESO404-017,607.0,740.0,127.7,0.624,22,52,ok,S4G,Simbad,NED,2,,14.76,0.352,125.34,1.675,30.78,330.2325,-35.28722
ESO404-018,594.44,747.45,32.8,0.896,30,45,z,S4G,Simbad,NED,1,,14.86,0.101,34.21,1.089,42.7,330.29233,-32.57881
ESO404-027,600.17,742.04,125.2,0.641,75,82,ok,S4G,Simbad,NED,3,,12.63,0.465,130.04,2.451,34.59,330.9494,-32.28497
ESO406-042,686.32,679.17,69.3,0.438,49,56,ok,S4G,Simbad,NED,2,,14.12,0.584,64.76,1.549,43.23,345.55972,-37.08353
ESO407-007,702.68,674.32,168.2,0.805,11,18,z,S4G,Simbad,NED,3,,12.37,0.193,168.12,0.908,15.45,347.41427,-36.42009
ESO407-009,700.23,666.17,35.6,0.621,52,90,ok,S4G,Simbad,NED,2,,13.55,0.366,31.84,0.683,35.63,348.18712,-37.20792
ESO407-014,280.92,274.02,40.1,0.447,60,90,ok,S4G,Simbad,NED,2,,13.17,0.545,41.88,0.851,12.82,349.41476,-34.79081
ESO407-018,587.71,767.03,106.0,0.101,37,60,ok,S4G,Simbad,NED,1,,13.96,0.891,64.35,0.786,41.1,351.61467,-32.38875
ESO408-012,731.48,641.81,74.4,0.452,30,41,ok,S4G,Simbad,NED,3,,14.71,0.595,84.95,1.407,22.83,354.39237,-36.996
ESO409-015,703.07,695.21,127.7,0.403,30,41,ok,S4G,Simbad,NED,1,,15.77,0.367,144.03,0.534,18.85,1.38271,-28.09817
ESO410-012,314.03,262.99,118.2,0.747,33,41,ok,S4G,Simbad,NED,2,,15.66,0.273,118.23,2.055,51.64,7.07379,-27.98289
ESO410-018,638.34,733.09,26.6,0.11,57,60,ok,S4G,Simbad,NED,1,,14.2,0.944,72.3,0.863,29.72,8.54654,-30.77414
ESO411-013,659.63,714.44,39.2,0.725,26,30,z,S4G,Simbad,NED,1,,15.65,0.3,40.98,1.006,26.2,11.77625,-31.58167
ESO411-026,664.11,713.37,23.1,0.554,39,43,u,S4G,Simbad,NED,2,,15.83,0.655,18.26,1.189,14.55,13.18904,-31.71814
ESO418-008,588.55,289.15,136.7,0.318,41,48,ok,S4G,Simbad,NED,1,,13.67,0.786,139.37,0.838,16.38,52.87767,-30.21333
ESO418-009,592.35,288.74,116.7,0.203,37,45,ok,S4G,Simbad,NED,2,,13.54,0.736,101.74,0.823,23.04,52.98212,-31.33822
ESO419-013,273.24,273.13,2.1,0.482,35,39,ok,S4G,Simbad,NED,2,,14.36,0.362,2.17,1.056,18.08,60.17337,-30.83102
ESO420-006,337.21,277.43,139.4,0.621,37,45,ok,S4G,Simbad,NED,1,,14.99,0.452,137.89,1.25,46.35,62.50642,-31.25803
ESO420-009,679.94,720.84,31.8,0.229,60,75,ok,S4G,Simbad,NED,2,,13.18,0.774,33.74,1.008,22.43,62.75249,-31.40782
ESO421-019,259.66,261.39,69.3,0.24,97,103,ok,S4G,Simbad,NED,2,,12.94,0.671,71.71,1.027,49.93,72.30042,-29.2075
ESO422-005,304.39,262.93,22.5,0.277,21,25,ok,S4G,Simbad,NED,1,,14.79,0.816,24.31,1.169,21.37,73.02458,-28.5925
ESO422-033,365.21,257.37,134.4,0.63,38,46,u,S4G,Simbad,NED,1,,14.43,0.42,130.0,0.906,23.42,76.70667,-27.65806
ESO422-041,414.28,271.34,75.9,0.182,72,90,ok,S4G,Simbad,NED,2,,12.93,0.665,84.12,2.0,52.73,77.69568,-31.59714
ESO423-002,401.44,264.05,19.8,0.665,92,105,ok,S4G,Simbad,NED,2,,12.52,0.26,18.75,1.875,41.44,78.81813,-30.52645
ESO438-017,278.64,790.6,17.0,0.546,67,78,ok,S4G,Simbad,NED,2,,13.41,0.49,12.04,0.811,33.16,169.32384,-27.82266
ESO440-004,287.27,797.4,76.9,0.582,60,82,ok,S4G,Simbad,NED,2,,13.65,0.624,97.17,2.283,45.66,176.42633,-28.36781
ESO440-011,288.38,796.2,32.8,0.099,82,120,ok,S4G,Simbad,NED,2,,11.98,0.752,3.49,1.44,53.41,177.19079,-28.29469
ESO440-027,882.97,864.46,79.5,0.823,52,75,z,S4G,Simbad,NED,3,,11.71,0.156,79.21,1.776,48.79,178.35027,-28.55316
ESO440-037,640.06,305.22,16.6,0.089,52,60,ok,S4G,Simbad,NED,1,,12.85,0.959,39.41,5.49,14.47,179.82127,-28.90494
ESO440-044,284.13,788.39,13.1,0.513,60,75,ok,S4G,Simbad,NED,2,,13.6,0.407,6.69,1.478,35.38,180.69262,-29.09311
ESO440-046,292.06,794.22,6.6,0.219,67,90,ok,S4G,Simbad,NED,1,,13.19,0.732,28.02,0.91,37.63,181.17157,-28.11629
ESO440-049,656.74,798.65,63.1,0.212,48,60,ok,S4G,Simbad,NED,3,,13.44,0.79,68.69,2.931,39.43,181.39178,-31.42348
ESO441-011,277.67,799.53,137.9,0.798,3,15,z,S4G,Simbad,NED,1,,15.24,0.211,137.97,1.209,18.53,182.35486,-28.8015
ESO441-014,636.56,786.38,151.2,0.659,47,52,ok,S4G,Simbad,NED,1,,14.45,0.353,152.34,0.908,20.35,182.55897,-30.07808
ESO441-017,644.92,797.6,78.8,0.434,48,58,ok,S4G,Simbad,NED,2,,13.11,0.635,73.46,1.168,14.4,182.78242,-31.12704
ESO442-013,281.99,798.76,168.8,0.624,75,101,ok,S4G,Simbad,NED,2,,13.33,0.354,174.95,1.264,40.51,189.30629,-28.49142
ESO443-021,604.74,782.0,160.8,0.859,22,30,z,S4G,Simbad,NED,2,,12.6,0.118,160.86,0.829,23.55,194.94122,-29.60027
ESO443-042,284.64,787.46,127.7,0.859,33,41,z,S4G,Simbad,NED,2,,12.07,0.126,127.71,1.146,39.91,195.87384,-29.82881
ESO443-069,275.39,798.65,124.4,0.099,52,67,ok,S4G,Simbad,NED,2,,12.29,0.701,171.93,2.064,46.23,196.72008,-28.55344
ESO443-079,276.37,796.11,176.2,0.708,52,67,u,S4G,Simbad,NED,1,,15.13,0.347,174.91,1.384,26.54,197.59442,-27.97531
ESO443-080,276.88,795.34,152.8,0.291,37,45,u,S4G,Simbad,NED,2,,14.23,0.703,144.24,1.415,21.86,197.789,-28.009
ESO443-085,286.23,790.18,56.8,0.47,57,61,ok,S4G,Simbad,NED,2,,14.03,0.454,50.12,0.806,26.36,198.8091,-32.25391
ESO444-033,281.6,794.05,85.2,0.724,45,52,ok,S4G,Simbad,NED,3,,14.6,0.268,83.76,1.487,22.85,201.51779,-32.12947
ESO444-037,272.02,790.99,122.5,0.516,47,50,u,S4G,Simbad,NED,2,,14.98,0.473,121.14,2.061,39.11,201.75192,-30.07442
ESO444-078,567.23,792.39,29.2,0.478,30,45,ok,S4G,Simbad,NED,1,,14.57,0.505,28.73,1.428,50.23,204.12962,-29.23489
ESO445-089,515.25,786.52,117.5,0.164,75,105,ok,S4G,Simbad,NED,3,,12.36,0.821,114.78,2.004,41.48,210.2668,-30.32726
ESO462-031,485.89,781.21,5.6,0.588,22,30,ok,S4G,Simbad,NED,2,,13.52,0.353,176.59,3.678,13.15,307.96777,-30.79858
ESO466-014,580.84,752.89,48.9,0.817,7,22,z,S4G,Simbad,NED,1,,13.91,0.122,49.1,0.9,14.47,328.59527,-31.96917
ESO466-036,593.01,746.39,117.6,0.4,41,52,ok,S4G,Simbad,NED,1,,13.41,0.499,120.93,3.686,9.24,330.3353,-31.52974
ESO467-051,623.04,740.92,98.5,0.86,15,22,z,S4G,Simbad,NED,2,,14.52,0.123,98.31,1.061,43.79,335.82,-28.98
ESO469-008,629.03,729.38,49.2,0.677,52,67,ok,S4G,Simbad,NED,2,,15.38,0.358,49.31,1.183,35.11,345.95917,-28.74333
ESO469-015,669.26,711.88,149.2,0.828,5,11,z,S4G,Simbad,NED,2,,13.62,0.157,148.7,0.721,10.71,347.23172,-30.8579
ESO471-006,284.56,280.42,46.2,0.684,90,97,u,S4G,Simbad,NED,1,,13.89,0.263,47.65,0.776,59.55,355.93979,-31.95677
ESO476-010,289.13,275.4,25.3,0.709,33,41,ok,S4G,Simbad,NED,1,,15.12,0.31,22.08,1.013,26.59,21.677,-25.31422
ESO477-016,279.79,280.79,151.6,0.704,45,52,z,S4G,Simbad,NED,2,,13.96,0.183,154.31,1.5,12.16,29.06663,-22.90113
ESO479-004,284.06,287.95,56.1,0.456,75,86,ok,S4G,Simbad,NED,2,,12.48,0.444,49.47,1.177,35.18,36.5895,-24.28992
ESO479-025,274.3,289.08,51.6,0.738,39,47,ok,S4G,Simbad,NED,1,,13.51,0.201,49.5,1.15,20.53,40.52912,-24.13186
ESO480-020,286.1,280.52,15.1,0.449,21,21,u,S4G,Simbad,NED,0,No fit,,,,,,45.61808,-22.80158
ESO480-025,284.76,285.29,96.9,0.416,39,43,ok,S4G,Simbad,NED,1,,14.79,0.62,89.75,1.018,31.81,45.9605,-25.27236
ESO481-014,428.2,640.5,165.1,0.778,78,93,ok,S4G,Simbad,NED,2,,14.1,0.234,163.91,0.885,51.92,48.41792,-25.18811
ESO481-018,282.83,282.64,42.6,0.65,75,87,ok,S4G,Simbad,NED,3,,12.87,0.317,42.75,1.399,39.73,49.63667,-25.83561
ESO481-030,279.79,279.87,51.7,0.828,16,18,z,S4G,Simbad,NED,2,,15.68,0.187,49.88,0.817,21.55,52.40937,-23.35056
ESO482-005,276.93,281.2,79.9,0.795,51,56,ok,S4G,Simbad,NED,2,,15.07,0.277,80.39,1.449,26.0,53.25912,-24.13292
ESO482-011,281.15,281.25,61.5,0.655,38,45,ok,S4G,Simbad,NED,1,,14.2,0.304,61.73,0.955,20.5,54.07242,-25.6047
ESO482-013,278.96,283.92,52.9,0.545,27,30,ok,S4G,Simbad,NED,1,,14.99,0.32,57.96,0.949,13.35,54.22372,-24.91307
ESO482-035,276.35,279.98,0.7,0.366,67,75,ok,S4G,Simbad,NED,2,,12.78,0.539,19.59,1.375,31.05,55.31104,-23.83891
ESO482-046,581.36,391.1,69.8,0.843,45,52,z,S4G,Simbad,NED,1,,12.94,0.147,69.23,1.218,46.49,57.42606,-26.99336
ESO483-008,273.02,275.6,46.0,0.574,30,33,ok,S4G,Simbad,NED,2,,16.28,0.443,42.7,0.827,13.67,61.51092,-22.63114
