split,inclusion_lane,allowed_use,n_s4g75_galaxies,hard_beats_wrong_fraction,tau_l2_beats_tpg_v6_fraction,tau_l2_beats_mond_fraction
holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,12,0.9166666666666666,0.3333333333333333,0.8333333333333334
holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,2,1.0,0.5,0.5
holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,7,1.0,0.42857142857142855,0.2857142857142857
train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,35,0.9428571428571428,0.45714285714285713,0.5428571428571428
train,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,4,0.5,0.25,0.25
train,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,15,0.8666666666666667,0.3333333333333333,0.26666666666666666
